a,b,continuous_lower_m,continuous_upper_m,gap_m,quantized_lower_m,quantized_upper_m,quantized_gap_m,nodes,theta_deg,z1x,z1y,z2x,z2y
650,300,101.686529123,101.73646766,0.0499385374753,101.673243162,101.673245215,2.05324176578e-06,79,-22.013103654,1499.70302967,-26.308327606,1302.35965242,22.8464594114
750,300,88.7626046774,88.8001288374,0.0375241600243,88.7341547846,88.7341567935,2.00894628551e-06,77,-24.5252593401,1499.73395426,-26.3088700963,1329.28662267,23.3188219665
750,400,73.9558810078,73.9982814129,0.0424004051102,73.9443593952,73.9443614026,2.00741942766e-06,101,-30.6271395376,1499.76558118,-26.3094249069,1360.62515431,23.8685737111
850,400,64.461078279,64.5048913244,0.0438130454167,64.4530882029,64.4530902093,2.00645575913e-06,111,-34.2773479319,1499.67472024,-26.3078309917,1381.06978139,24.2272206808
