a,b,continuous_lower_m,continuous_upper_m,gap_m,quantized_lower_m,quantized_upper_m,quantized_gap_m,nodes,theta_deg,z1x,z1y,z2x,z2y
650,300,101.697728605,101.698511096,0.000782491739559,101.673243162,101.673245215,2.05324176578e-06,113,-22.0116680601,1499.76925241,-26.3094893089,1302.40327179,22.8472245981
750,300,88.768221494,88.7690804808,0.000858986837904,88.7341547846,88.7341567935,2.00894628551e-06,113,-24.5243237056,1499.7688194,-26.3094817129,1329.31008562,23.319233562
750,400,73.9562727055,73.9572087127,0.000936007199683,73.9443593952,73.9443614026,2.00741942766e-06,149,-30.6270423044,1499.7686367,-26.309478508,1360.62741066,23.8686132928
850,400,64.4721657185,64.4730158199,0.000850101393354,64.4530882029,64.4530902093,2.00645575913e-06,157,-34.2736687367,1499.7681798,-26.3094704929,1381.14036341,24.2284588558
