problem,seed,method,n,directional_n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,scans,skipped_discovery,certificate,runtime_s
4,2815001,78,15,2,15,5450.126234,363.3417489333,21240.63117687,185,172,10,6,21,0,convex_mesh_per_channel,1.054221166
4,2815002,78,15,12,15,6232.870492,415.5246994667,24094.35244876,217,206,16,6,21,0,convex_mesh_per_channel,0.866663833
4,2815003,78,15,12,15,5961.077711,397.4051807333,22380.38856381,228,216,18,5,21,0,convex_mesh_per_channel,0.580201583
4,2815004,78,15,12,15,5826.667332,388.4444888,22163.33668137,208,195,28,7,21,0,convex_mesh_per_channel,1.033603083
4,2815005,78,15,1,15,5513.277084,367.5518056,21306.38541825,193,179,11,4,21,0,convex_mesh_per_channel,0.93977275
4,2815006,78,15,1,15,5332.775705,355.5183803333,20078.87851801,206,194,6,7,21,0,convex_mesh_per_channel,1.030412584
4,2815007,78,15,1,15,5337.150536,355.8100357333,20565.75269304,191,173,7,4,21,0,convex_mesh_per_channel,1.071674458
4,2815008,78,15,6,15,5648.30543,376.5536953333,21846.52711331,189,175,28,6,21,0,convex_mesh_per_channel,1.040019875
4,2815009,78,15,12,15,5970.17544,398.011696,22350.8771806,230,218,19,5,21,0,convex_mesh_per_channel,1.018132834
4,2815010,78,15,9,15,5808.936373,387.2624248667,21984.68186268,209,196,32,5,21,0,convex_mesh_per_channel,1.153524
4,2815011,78,15,13,15,5775.049462,385.0032974667,22065.24731351,213,201,7,1,21,0,convex_mesh_per_channel,0.697158
4,2815012,78,15,5,15,5625.334254,375.0222836,21431.67125677,203,189,20,7,21,0,convex_mesh_per_channel,0.983641083
4,2815013,78,15,5,15,5746.862244,383.1241496,23159.3112312,175,156,3,3,21,0,convex_mesh_per_channel,1.521153917
4,2815014,78,15,9,15,5683.850407,378.9233604667,21959.25204205,202,189,6,5,21,0,convex_mesh_per_channel,0.795750833
4,2815015,78,15,8,15,5758.709975,383.9139983333,22563.54989099,193,179,9,4,21,0,convex_mesh_per_channel,0.877997125
4,2815016,78,15,1,15,5489.893344,365.9928896,21339.4667225,189,178,8,3,21,0,convex_mesh_per_channel,1.281675041
4,2815017,78,15,1,15,5479.795591,365.3197060667,21043.97794843,198,188,6,6,21,0,convex_mesh_per_channel,1.047724667
4,2815018,78,15,7,15,5244.586118,349.6390745333,20227.93059977,186,173,7,3,21,0,convex_mesh_per_channel,1.014900125
4,2815019,78,15,9,15,5713.135086,380.8756724,21475.67543746,209,196,34,5,21,0,convex_mesh_per_channel,0.338777625
4,2815020,78,15,8,15,5983.737275,398.9158183333,22738.68636353,224,214,9,2,21,0,convex_mesh_per_channel,0.711570792
4,2815021,78,15,7,15,6067.987287,404.5324858,23559.93644109,213,198,6,2,21,0,convex_mesh_per_channel,0.696426209
4,2815022,78,15,3,15,5652.011699,376.8007799333,20800.05851655,234,226,7,5,21,0,convex_mesh_per_channel,0.729262041
4,2815023,78,15,2,15,5339.352527,355.9568351333,21426.76263213,164,150,3,4,21,0,convex_mesh_per_channel,1.401262209
4,2815024,78,15,1,15,5645.505083,376.3670055333,22042.52540767,193,179,6,3,21,0,convex_mesh_per_channel,0.954435792
4,2815025,78,15,4,15,5673.353689,378.2235792667,22111.76846531,192,177,13,4,21,0,convex_mesh_per_channel,0.972782167
4,2815026,78,15,3,15,5441.742083,362.7828055333,21098.7104421,188,177,10,8,21,0,convex_mesh_per_channel,1.151636625
4,2815027,78,15,12,15,6403.028672,426.8685781333,24135.143359,243,229,19,7,21,0,convex_mesh_per_channel,0.62091975
4,2815028,78,15,1,15,5399.196005,359.9464003333,21155.98002709,181,170,6,3,21,0,convex_mesh_per_channel,1.1281875
4,2815029,78,15,13,15,5878.913366,391.9275577333,21494.56685297,242,229,22,5,21,0,convex_mesh_per_channel,0.822880125
4,2815030,78,15,8,15,5482.169229,365.4779486,21010.84614648,197,184,12,6,21,0,convex_mesh_per_channel,0.936885333
4,2815031,78,15,14,15,5809.435569,387.2957046,22587.17782771,201,188,8,2,21,0,convex_mesh_per_channel,1.196417458
4,2815032,78,15,6,15,5670.480328,378.0320218667,20242.40165371,257,247,5,1,21,0,convex_mesh_per_channel,0.741860208
4,2815033,78,15,5,15,5731.405424,382.0936949333,21687.02712831,215,205,13,5,21,0,convex_mesh_per_channel,0.957016042
4,2815034,78,15,14,15,5961.454419,397.4302946,22992.2720966,208,194,18,7,21,0,convex_mesh_per_channel,1.198041625
4,2815035,78,15,12,15,5568.416559,371.2277706,20772.08277564,217,206,16,5,21,0,convex_mesh_per_channel,0.807613959
4,2815036,78,15,10,15,6076.560247,405.1040164667,23122.80122429,223,208,18,2,21,0,convex_mesh_per_channel,0.487426
4,2815037,78,15,14,15,6428.176301,428.5450867333,23860.88145882,246,234,39,8,21,0,convex_mesh_per_channel,0.303095875
4,2815038,78,15,3,15,5709.599281,380.6399520667,22287.99640799,194,183,8,4,21,0,convex_mesh_per_channel,1.013560292
4,2815039,78,15,4,15,5721.879228,381.4586152,22219.39615136,199,187,7,3,21,0,convex_mesh_per_channel,0.733568875
4,2815040,78,15,6,15,5482.847399,365.5231599333,21114.23700637,191,179,17,4,21,0,convex_mesh_per_channel,1.165227458
