problem,seed,method,n,directional_n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,scans,skipped_discovery,certificate,runtime_s
4,2812001,84,12,11,12,6031.563877,502.6303230833,21552.81937819,274,258,11,4,21,0,convex_mesh_per_channel,1.238309375
4,2812002,84,12,6,12,5678.73648,473.22804,20493.68239301,245,232,21,3,21,0,convex_mesh_per_channel,1.467064583
4,2812003,84,12,4,12,5835.786067,486.3155055833,21508.93034567,241,227,14,2,21,0,convex_mesh_per_channel,1.123393708
4,2812004,84,12,9,12,5858.781931,488.2318275833,21098.90966719,264,253,2,2,21,0,convex_mesh_per_channel,1.313092792
4,2812005,84,12,8,12,5899.541509,491.6284590833,21912.70755808,242,226,7,0,21,0,convex_mesh_per_channel,1.3546285
4,2812006,84,12,9,12,6027.967029,502.33058575,22394.83515563,245,234,10,2,21,0,convex_mesh_per_channel,1.6396205
4,2812007,84,12,5,12,5583.795663,465.31630525,20503.97831365,237,223,5,3,21,0,convex_mesh_per_channel,1.398059166
4,2812008,84,12,6,12,5936.398225,494.6998520833,20906.99114022,277,265,15,5,21,0,convex_mesh_per_channel,1.393189083
4,2812009,84,12,1,12,5378.595613,448.2163010833,19922.97806989,217,204,15,3,21,0,convex_mesh_per_channel,1.377900166
4,2812010,84,12,1,12,5259.589623,438.29913525,19102.94811638,230,217,4,2,21,0,convex_mesh_per_channel,1.443870625
4,2812011,84,12,7,12,6028.851709,502.4043090833,21949.25858054,252,238,27,5,21,0,convex_mesh_per_channel,1.394911459
4,2812012,84,12,9,12,6118.885964,509.9071636667,22524.42983478,259,247,4,1,21,0,convex_mesh_per_channel,1.369151916
4,2812013,84,12,1,12,5529.428646,460.7857205,20057.14323105,245,230,1,3,21,0,convex_mesh_per_channel,1.663998958
4,2812014,84,12,10,12,6170.745041,514.2287534167,22503.72521843,264,254,12,5,21,0,convex_mesh_per_channel,2.044552042
4,2812015,84,12,3,12,5469.957262,455.8297718333,19939.78631044,236,221,7,6,21,0,convex_mesh_per_channel,1.948154375
4,2812016,84,12,3,12,5401.364407,450.1137005833,19801.82205077,225,211,15,4,21,0,convex_mesh_per_channel,2.271644458
4,2812017,84,12,9,12,5785.498549,482.1248790833,21457.4927673,231,219,20,6,21,0,convex_mesh_per_channel,1.638999375
4,2812018,84,12,1,12,5773.935225,481.16126875,21404.67612174,236,223,10,2,21,0,convex_mesh_per_channel,1.894201958
4,2812019,84,12,8,12,6129.482506,510.7902088333,21752.41252846,276,264,25,7,21,0,convex_mesh_per_channel,1.419413166
4,2812020,84,12,2,12,5751.075699,479.25630825,20790.37851713,253,238,10,2,21,0,convex_mesh_per_channel,1.963724042
4,2812021,84,12,2,12,5667.467421,472.28895175,21162.33710097,230,216,3,3,21,0,convex_mesh_per_channel,1.4051595
4,2812022,84,12,5,12,5436.803905,453.0669920833,20479.0195355,213,195,7,3,21,0,convex_mesh_per_channel,2.056001708
4,2812023,84,12,3,12,5743.745465,478.6454554167,20488.72730646,262,249,9,2,21,0,convex_mesh_per_channel,1.328190166
4,2812024,84,12,11,12,5948.783967,495.73199725,20763.91984722,281,271,20,5,21,0,convex_mesh_per_channel,1.358305291
4,2812025,84,12,9,12,6041.827627,503.4856355833,21759.13811327,259,245,30,4,21,0,convex_mesh_per_channel,1.453523167
4,2812026,84,12,7,12,5824.044944,485.3370786667,20050.22474287,287,280,13,4,21,0,convex_mesh_per_channel,1.731201
4,2812027,84,12,10,12,5922.285263,493.5237719167,21016.42632409,273,261,11,6,21,0,convex_mesh_per_channel,1.458513542
4,2812028,84,12,2,12,5600.024458,466.6687048333,20240.12229954,247,230,9,3,21,0,convex_mesh_per_channel,1.498160709
4,2812029,84,12,10,12,6024.071204,502.0059336667,21895.35605932,258,244,17,4,21,0,convex_mesh_per_channel,1.40411125
4,2812030,84,12,1,12,5731.880726,477.6567271667,20774.40363421,252,242,5,3,21,0,convex_mesh_per_channel,1.466796875
4,2812031,84,12,1,12,5329.078767,444.08989725,19465.39384024,230,214,4,1,21,0,convex_mesh_per_channel,1.501354958
4,2812032,84,12,4,12,5662.66843,471.8890358333,20818.34217145,235,222,14,2,21,0,convex_mesh_per_channel,1.353149416
4,2812033,84,12,8,12,5795.628078,482.9690065,21083.14040536,249,238,12,1,21,0,convex_mesh_per_channel,1.435123958
4,2812034,84,12,7,12,6106.290347,508.8575289167,22056.45173193,258,246,33,5,21,0,convex_mesh_per_channel,1.353803167
4,2812035,84,12,11,12,5741.258622,478.4382185,20806.29311503,247,234,17,4,21,0,convex_mesh_per_channel,1.523199917
4,2812036,84,12,3,12,5676.791491,473.0659575833,20788.95746525,244,227,4,4,21,0,convex_mesh_per_channel,1.42313925
4,2812037,84,12,2,12,5518.584394,459.8820328333,20407.921976,229,214,6,1,21,0,convex_mesh_per_channel,1.857092584
4,2812038,84,12,5,12,5670.904234,472.5753528333,20699.5211823,245,231,5,1,21,0,convex_mesh_per_channel,1.565354584
4,2812039,84,12,3,12,5706.199184,475.5165986667,20450.99590216,258,245,7,3,21,0,convex_mesh_per_channel,1.428770291
4,2812040,84,12,11,12,6088.142948,507.3452456667,22080.71473955,266,255,9,4,21,0,convex_mesh_per_channel,1.583277083
