problem,seed,method,n,directional_n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,scans,skipped_discovery,certificate,runtime_s
4,2811001,84,11,2,11,5620.648261,510.9680237273,20278.24129547,248,237,11,3,21,0,convex_mesh_per_channel,1.09630275
4,2811002,84,11,6,11,5598.67848,508.9707709091,19633.39239969,272,257,0,1,21,0,convex_mesh_per_channel,1.1658175
4,2811003,84,11,5,11,5835.688366,530.5171241818,20848.44181535,268,256,5,3,21,0,convex_mesh_per_channel,1.369579542
4,2811004,84,11,10,11,6107.381664,555.2165149091,21321.9083065,291,279,18,7,21,0,convex_mesh_per_channel,1.208191541
4,2811005,84,11,2,11,5580.384726,507.3077023636,19471.92363157,270,257,8,4,21,0,convex_mesh_per_channel,1.280184709
4,2811006,84,11,3,11,5525.227149,502.2933771818,19911.13574111,244,229,13,3,21,0,convex_mesh_per_channel,1.261962291
4,2811007,84,11,9,11,6050.771236,550.0701123636,20623.85620074,309,299,9,6,21,0,convex_mesh_per_channel,0.889946916
4,2811008,84,11,5,11,5546.218698,504.2016998182,19471.09350473,267,253,3,4,21,0,convex_mesh_per_channel,1.2721425
4,2811009,84,11,10,11,6096.222937,554.2020851818,21406.11468663,285,269,22,5,21,0,convex_mesh_per_channel,1.175709167
4,2811010,84,11,1,11,5509.484103,500.8621911818,20157.42051517,237,220,6,2,21,0,convex_mesh_per_channel,1.34430625
4,2811011,84,11,3,11,5748.049721,522.5499746364,20650.2485715,255,240,16,2,21,0,convex_mesh_per_channel,1.347102333
4,2811012,84,11,5,11,5664.008956,514.9099050909,20495.04478585,250,236,8,6,21,0,convex_mesh_per_channel,1.491968875
4,2811013,84,11,9,11,6514.778393,592.2525811818,23553.89196539,272,254,45,5,21,0,convex_mesh_per_channel,1.163419333
4,2811014,84,11,7,11,6262.307177,569.3006524545,22351.53589982,280,268,23,5,21,0,convex_mesh_per_channel,1.22997875
4,2811015,84,11,9,11,5657.648739,514.3317035455,20738.24370085,241,229,7,6,21,0,convex_mesh_per_channel,1.3160985
4,2811016,84,11,8,11,5796.133743,526.9212493636,20395.66871675,273,258,13,4,21,0,convex_mesh_per_channel,1.126567584
4,2811017,84,11,10,11,5858.517733,532.5925211818,21272.58866315,259,245,3,1,21,0,convex_mesh_per_channel,1.421121833
4,2811018,84,11,4,11,5570.092136,506.3720123636,20150.46067769,245,230,10,4,21,0,convex_mesh_per_channel,1.390407875
4,2811019,84,11,3,11,5633.92659,512.1751445455,19924.63293162,262,248,12,2,21,0,convex_mesh_per_channel,1.463727833
4,2811020,84,11,5,11,5851.434643,531.9486039091,20397.17322125,287,273,3,2,21,0,convex_mesh_per_channel,1.483586708
4,2811021,84,11,4,11,5703.483093,518.498463,20102.41547059,271,261,4,4,21,0,convex_mesh_per_channel,1.622000417
4,2811022,84,11,4,11,5452.702202,495.7002001818,20023.51100794,233,216,4,4,21,0,convex_mesh_per_channel,1.394298625
4,2811023,84,11,8,11,6414.750281,583.1591164545,22938.75141152,288,275,19,3,21,0,convex_mesh_per_channel,0.923745167
4,2811024,84,11,6,11,5541.493631,503.7721482727,20332.46816597,236,219,7,3,21,0,convex_mesh_per_channel,1.556895791
4,2811025,84,11,4,11,5830.192932,530.0175392727,21020.96465667,263,247,3,2,21,0,convex_mesh_per_channel,1.416493291
4,2811026,84,11,3,11,5378.990557,488.9991415455,19054.95277727,248,237,12,1,21,0,convex_mesh_per_channel,2.139092291
4,2811027,84,11,8,11,6169.849397,560.8953997273,21274.24701225,297,282,31,2,21,0,convex_mesh_per_channel,1.497155333
4,2811028,84,11,3,11,5599.141343,509.0128493636,20175.70671041,252,240,3,1,21,0,convex_mesh_per_channel,1.848774
4,2811029,84,11,8,11,5743.432531,522.1302300909,21117.16266321,245,231,3,1,21,0,convex_mesh_per_channel,2.373557584
4,2811030,84,11,1,11,5542.205164,503.8368330909,19846.02582216,252,237,7,2,21,0,convex_mesh_per_channel,1.718578625
4,2811031,84,11,2,11,5755.521424,523.2292203636,20137.60712236,280,267,2,1,21,0,convex_mesh_per_channel,1.369517666
4,2811032,84,11,8,11,6090.793716,553.7085196364,21728.96857681,273,259,22,6,21,0,convex_mesh_per_channel,1.322840666
4,2811033,84,11,5,11,5732.049552,521.0954138182,20520.24776149,259,251,9,3,21,0,convex_mesh_per_channel,1.978888208
4,2811034,84,11,2,11,5867.993824,533.453984,20964.96911029,267,255,10,5,21,0,convex_mesh_per_channel,1.448180292
4,2811035,84,11,1,11,5572.973759,506.6339780909,20204.86880076,246,232,5,2,21,0,convex_mesh_per_channel,1.660223792
4,2811036,84,11,9,11,5726.425322,520.5841201818,20307.12660674,267,257,6,2,21,0,convex_mesh_per_channel,1.529195167
4,2811037,84,11,6,11,5828.667141,529.878831,20833.3357333,263,250,14,4,21,0,convex_mesh_per_channel,1.525165417
4,2811038,84,11,2,11,5670.429845,515.4936222727,20647.14921409,242,228,16,3,21,0,convex_mesh_per_channel,1.356536125
4,2811039,84,11,1,11,5464.391503,496.7628639091,19266.95751374,257,244,9,2,21,0,convex_mesh_per_channel,1.517123416
4,2811040,84,11,4,11,5434.901762,494.0819783636,19484.50880624,246,232,7,2,21,0,convex_mesh_per_channel,1.698883792
