problem,seed,method,n,directional_n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,scans,skipped_discovery,certificate,runtime_s
4,2813001,84,13,6,13,5548.973621,426.8441246923,21069.86811002,206,192,16,4,21,0,convex_mesh_per_channel,1.703180417
4,2813002,84,13,3,13,5738.771844,441.443988,21183.85921436,235,226,12,4,21,0,convex_mesh_per_channel,2.068104083
4,2813003,84,13,9,13,6207.786515,477.5220396154,22278.93257486,274,263,18,3,21,0,convex_mesh_per_channel,1.476098667
4,2813004,84,13,10,13,6240.425657,480.0327428462,23062.1282988,255,246,14,3,21,0,convex_mesh_per_channel,2.101421042
4,2813005,84,13,11,13,6090.524126,468.5018558462,22517.62063065,252,241,7,3,21,0,convex_mesh_per_channel,1.422778666
4,2813006,84,13,5,13,5990.3139,460.7933769231,22191.56952696,235,222,30,7,21,0,convex_mesh_per_channel,1.563359917
4,2813007,84,13,8,13,5897.442608,453.6494313846,21312.21303277,257,243,14,4,21,0,convex_mesh_per_channel,1.82842625
4,2813008,84,13,12,13,5971.371532,459.3362716923,22001.85767152,248,236,10,3,21,0,convex_mesh_per_channel,1.441958708
4,2813009,84,13,11,13,5878.504806,452.1926773846,21772.52405833,240,232,9,2,21,0,convex_mesh_per_channel,1.687223083
4,2813010,84,13,6,13,6186.652586,475.8963527692,22468.26292831,267,254,13,2,21,0,convex_mesh_per_channel,1.946406292
4,2813011,84,13,11,13,5967.665055,459.0511580769,21538.32527326,262,249,12,5,21,0,convex_mesh_per_channel,1.827066667
4,2813012,84,13,3,13,5718.744543,439.9034263846,21028.72271581,240,227,7,5,21,0,convex_mesh_per_channel,1.626071333
4,2813013,84,13,8,13,6195.569488,476.5822683077,21997.84743094,285,273,11,3,21,0,convex_mesh_per_channel,1.175566792
4,2813014,84,13,2,13,5639.736482,433.8258832308,21358.68241736,216,205,6,2,21,0,convex_mesh_per_channel,1.9213965
4,2813015,84,13,4,13,5856.074612,450.4672778462,21535.37306795,247,234,5,2,21,0,convex_mesh_per_channel,1.9485545
4,2813016,84,13,9,13,5683.275885,437.1750680769,20486.37944433,249,237,13,5,21,0,convex_mesh_per_channel,1.850995542
4,2813017,84,13,4,13,5798.450373,446.0346440769,21472.25184648,226,213,32,3,21,0,convex_mesh_per_channel,1.833556125
4,2813018,84,13,9,13,6177.139777,475.1645982308,23025.69889818,243,229,21,4,21,0,convex_mesh_per_channel,2.054752292
4,2813019,84,13,4,13,5471.832979,420.9102291538,20569.16490632,215,203,5,3,21,0,convex_mesh_per_channel,2.111686125
4,2813020,84,13,11,13,6111.420467,470.1092666923,21792.10234104,275,262,17,3,21,0,convex_mesh_per_channel,1.618418792
4,2813021,84,13,9,13,5907.154562,454.3965047692,21715.77280626,243,230,18,3,21,0,convex_mesh_per_channel,1.676416166
4,2813022,84,13,2,13,5655.372046,435.0286189231,20811.86023233,232,217,17,3,21,0,convex_mesh_per_channel,1.993364125
4,2813023,84,13,3,13,6081.356436,467.7966489231,22511.78218207,247,231,16,4,21,0,convex_mesh_per_channel,1.923014667
4,2813024,84,13,9,13,5492.995995,422.5381534615,20134.97998717,229,214,14,5,21,0,convex_mesh_per_channel,1.77892775
4,2813025,84,13,11,13,5789.733023,445.3640786923,20963.66511523,252,239,11,4,21,0,convex_mesh_per_channel,1.595255875
4,2813026,84,13,12,13,6191.808709,476.2929776154,22699.04355577,259,244,16,4,21,0,convex_mesh_per_channel,1.610569291
4,2813027,84,13,6,13,5748.729963,442.2099971538,21418.64984925,221,208,29,3,21,0,convex_mesh_per_channel,2.064524667
4,2813028,84,13,12,13,5968.545733,459.1189025385,22227.72865978,232,211,29,6,21,0,convex_mesh_per_channel,1.773020667
4,2813029,84,13,9,13,6107.961809,469.8432160769,22204.80904882,262,247,15,5,21,0,convex_mesh_per_channel,1.538188625
4,2813030,84,13,3,13,5573.319321,428.7168708462,20791.59659316,226,214,2,3,21,0,convex_mesh_per_channel,2.414093333
4,2813031,84,13,8,13,5505.876597,423.528969,20609.38298428,216,203,12,4,21,0,convex_mesh_per_channel,2.480726584
4,2813032,84,13,2,13,5319.198283,409.1690986923,19975.99143487,208,195,8,3,21,0,convex_mesh_per_channel,2.552213958
4,2813033,84,13,3,13,5646.207486,434.3236527692,20876.03742836,234,221,5,3,21,0,convex_mesh_per_channel,2.223823208
4,2813034,84,13,1,13,5910.606517,454.6620397692,21298.03259564,263,247,8,2,21,0,convex_mesh_per_channel,2.403240917
4,2813035,84,13,8,13,5955.533874,458.1179903077,20797.66936133,276,264,29,4,21,0,convex_mesh_per_channel,1.795225042
4,2813036,84,13,6,13,5657.988303,435.2298694615,20469.94148221,241,225,23,6,21,0,convex_mesh_per_channel,1.819601833
4,2813037,84,13,9,13,5574.118712,428.7783624615,21155.59355,208,196,14,4,21,0,convex_mesh_per_channel,2.692324833
4,2813038,84,13,7,13,6286.660946,483.5893035385,22273.30473732,283,268,28,4,21,0,convex_mesh_per_channel,2.5354375
4,2813039,84,13,10,13,5435.536995,418.1182303846,20552.6849797,209,191,8,2,21,0,convex_mesh_per_channel,2.182829125
4,2813040,84,13,1,13,5595.432102,430.417854,20317.160512,244,229,6,4,21,0,convex_mesh_per_channel,1.984538333
