problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2310075,56,0,14,14,3238.578122,231.3270087143,12592.89061514,108,101,3,0,176,20,4,32342,0,21,21,31,0.1417251,seven_point_per_channel,0,0
3,2310076,56,0,12,12,2824.936313,235.4113594167,10524.68157026,111,102,1,1,105,14,2,22715,0,24,24,23,0.0943767,seven_point_per_channel,0,0
3,2310077,56,0,12,12,3261.315226,271.7762688333,12551.57612923,113,108,6,0,145,24,1,28568,0,17,17,32,0.1203956,seven_point_per_channel,0,0
3,2310078,56,0,13,13,3604.827163,277.2943971538,14054.13581425,121,115,3,0,89,22,2,14065,0,14,13,31,0.0618077,seven_point_per_channel,0,0
3,2310079,56,0,14,14,3243.420723,231.6729087857,12617.10361224,108,101,3,0,135,20,3,28003,0,24,22,30,0.1126434,seven_point_per_channel,0,0
3,2310080,56,0,16,16,2910.674083,181.9171301875,11138.37040744,101,92,2,0,209,18,5,36240,0,32,31,29,0.1566244,upper_bound_16,0,0
3,2310081,56,0,12,12,2903.439635,241.9533029167,11042.19817951,106,102,1,0,104,17,0,21423,0,15,15,24,0.0852821,seven_point_per_channel,0,0
3,2310082,56,0,11,11,2595.971862,235.997442,9314.859305745,112,103,5,0,144,18,3,32533,0,20,20,28,0.1316525,seven_point_per_channel,0,0
3,2310083,56,0,10,10,2687.815758,268.7815758,9784.078764417,111,102,8,0,136,20,4,31037,0,13,13,31,0.12892,seven_point_per_channel,0,0
3,2310084,56,0,12,12,3090.499659,257.54163825,11902.49830527,108,104,2,0,106,16,3,21560,0,16,16,26,0.0949995,seven_point_per_channel,0,0
3,2310085,56,0,16,16,3033.026891,189.5641806875,11575.13445858,105,98,5,0,118,24,2,19005,0,24,24,33,0.0823999,upper_bound_16,0,0
3,2310086,56,0,16,16,3466.056621,216.6285388125,13560.28310365,110,103,7,0,173,27,4,33320,0,23,23,37,0.1399873,upper_bound_16,0,0
3,2310087,56,0,14,14,3320.87734,237.2055242857,12664.38669801,116,108,10,0,145,29,2,23899,0,24,19,38,0.1000333,seven_point_per_channel,0,0
3,2310088,56,0,12,12,3134.579807,261.2149839167,12142.89903458,108,103,1,0,117,14,1,23786,0,24,23,22,0.1003823,seven_point_per_channel,0,0
3,2310089,56,0,14,14,3286.434054,234.7452895714,12492.17027278,117,115,6,0,129,24,2,26076,0,24,22,33,0.101663,seven_point_per_channel,0,0
3,2310090,56,0,11,11,2995.522455,272.3202231818,10682.61225983,132,123,7,0,88,21,2,17959,0,19,19,30,0.0693403,seven_point_per_channel,0,0
3,2310091,56,0,13,13,3205.456692,246.5735916923,12342.28345771,113,101,2,0,112,17,3,22884,0,23,22,27,0.093537,seven_point_per_channel,0,0
3,2310092,56,0,12,12,2753.618797,229.4682330833,10053.09398351,113,109,3,0,81,18,2,17832,0,19,18,27,0.0705539,seven_point_per_channel,0,0
3,2310093,56,0,10,10,2445.806769,244.5806769,8314.033849266,122,114,3,0,65,16,2,14585,0,14,14,25,0.0576595,seven_point_per_channel,0,0
3,2310094,56,0,11,11,3069.931791,279.0847082727,11679.65894162,112,104,5,0,83,18,1,16150,0,19,19,26,0.1290518,seven_point_per_channel,0,0
3,2310095,56,0,10,10,2933.022938,293.3022938,10885.11468873,118,110,2,0,48,15,2,8101,0,17,17,24,0.0347031,seven_point_per_channel,0,0
3,2310096,56,0,14,14,3192.65047,228.0464621429,12248.25235769,111,106,4,0,100,21,4,17785,0,19,19,32,0.078845,seven_point_per_channel,0,0
3,2310097,56,0,14,14,2783.098979,198.7927842143,10405.49490238,106,99,1,0,125,18,1,25281,0,30,29,26,0.1106154,seven_point_per_channel,0,0
3,2310098,56,0,11,11,3002.907062,272.9915510909,11609.53531026,103,99,4,0,134,18,2,27836,0,12,12,27,0.119605,seven_point_per_channel,0,0
3,2310099,56,0,10,10,2997.791507,299.7791507,11333.95754105,112,106,5,0,60,17,2,10508,0,12,12,26,0.0443419,seven_point_per_channel,0,0
3,2310100,56,0,13,13,3357.237838,258.2490644615,12971.18919372,116,112,2,0,120,21,1,22775,0,22,22,29,0.0979857,seven_point_per_channel,0,0
4,2310001,56,0,12,12,5705.148294,475.4290245,20825.74147092,237,223,24,3,267,34,3,78540,0,0,0,58,0.6631,convex_mesh_per_channel,0,0
4,2310002,56,0,12,12,5960.989013,496.7490844167,21749.94507225,252,240,17,3,330,33,3,67000,0,0,0,57,0.6159785,convex_mesh_per_channel,0,0
4,2310003,56,0,15,15,6057.208794,403.8139196,23051.04398563,210,193,43,9,275,36,9,72266,0,0,0,66,0.6945738,convex_mesh_per_channel,0,0
4,2310004,56,0,14,14,5865.393268,418.956662,22071.96633278,227,216,10,4,255,38,4,72902,0,0,0,63,0.6877112,convex_mesh_per_channel,0,0
4,2310005,56,0,16,16,4261.545253,266.3465783125,16882.72625293,122,111,28,9,370,39,9,109576,0,0,0,60,0.9305072,upper_bound_16,0,0
4,2310006,56,0,14,14,6363.894178,454.5638698571,22439.47089032,294,285,17,5,198,32,5,34221,0,0,0,58,0.4236116,convex_mesh_per_channel,0,0
4,2310007,56,0,14,14,5744.151355,410.2965253571,21490.75679606,217,204,29,6,232,40,6,63077,0,0,0,67,0.5867363,convex_mesh_per_channel,0,0
4,2310008,56,0,14,14,5632.775044,402.3410745714,21543.87522744,207,192,9,6,362,42,6,101567,0,0,0,69,0.8924046,convex_mesh_per_channel,0,0
4,2310009,56,0,16,16,5005.426494,312.839155875,19467.13246996,168,159,11,3,351,44,3,106704,0,0,0,63,0.9443838,upper_bound_16,0,0
4,2310010,56,0,16,16,4724.835737,295.3022335625,18779.17868701,143,138,12,4,446,43,4,121546,0,0,0,61,1.0948036,upper_bound_16,0,0
4,2310011,56,0,12,12,5702.935954,475.2446628333,20489.67977467,254,239,12,5,342,33,5,91097,0,0,0,59,0.9080451,convex_mesh_per_channel,0,0
4,2310012,56,0,13,13,6331.308012,487.0236932308,23126.54004435,271,256,10,4,130,32,4,27336,0,0,0,57,0.3031568,convex_mesh_per_channel,0,0
4,2310013,56,0,15,15,5498.073689,366.5382459333,20735.36844093,210,196,10,4,292,39,4,83382,0,0,0,64,0.7327952,convex_mesh_per_channel,0,0
4,2310014,56,0,11,11,6014.214003,546.7467275455,21216.07001328,287,275,2,3,199,35,3,46591,0,0,0,59,0.5064632,convex_mesh_per_channel,0,0
4,2310015,56,0,12,12,5888.835151,490.7362625833,21449.17574278,255,240,8,5,200,32,5,49175,0,0,0,58,0.4754952,convex_mesh_per_channel,0,0
4,2310016,56,0,11,11,6063.641452,551.240132,21723.2072773,269,256,21,4,165,31,4,45898,0,0,0,56,0.4212754,convex_mesh_per_channel,0,0
4,2310017,56,0,13,13,5702.049302,438.6191770769,21245.24651404,229,216,9,4,335,40,4,89591,0,0,0,65,0.8304734,convex_mesh_per_channel,0,0
4,2310018,56,0,11,11,5397.156406,490.6505823636,19680.78203263,233,220,7,5,260,29,5,73910,0,0,0,55,0.6046953,convex_mesh_per_channel,0,0
