problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
4,2310166,78,0,13,13,5903.069344,454.0822572308,21755.3467127,245,232,10,2,246,44,2,64582,0,0,0,67,0.6984072,convex_mesh_per_channel,1,9.097131144234
4,2310167,78,0,11,11,5630.161173,511.8328339091,20625.8058539,242,228,4,2,152,27,2,42405,0,0,0,50,0.4146598,convex_mesh_per_channel,2,0.4533802930418
4,2310168,78,0,14,14,5612.58276,400.8987685714,20862.91380654,224,214,12,4,278,46,4,86904,0,0,0,71,0.9050919,convex_mesh_per_channel,0,0
4,2310169,78,0,12,12,6021.378013,501.7815010833,21096.89007888,291,281,2,1,146,35,1,34906,0,0,0,57,0.3908659,convex_mesh_per_channel,2,4.219621458444
4,2310170,78,0,11,11,5975.623921,543.2385382727,21508.11962176,268,252,9,3,232,40,3,60806,0,0,0,64,0.6210258,convex_mesh_per_channel,1,0
4,2310171,78,0,15,15,5506.612329,367.1074886,20898.06164717,206,195,9,4,286,41,4,79801,0,0,0,66,0.7186026,convex_mesh_per_channel,1,3.949270273442
4,2310172,78,0,13,13,5702.353624,438.6425864615,21286.76809261,227,215,10,6,189,27,6,58777,0,0,0,54,0.5472041,convex_mesh_per_channel,2,0
4,2310173,78,0,15,15,6737.345405,449.1563603333,25021.72703954,235,225,86,5,259,37,5,71980,0,0,0,63,0.7679128,convex_mesh_per_channel,2,5.279561547617
4,2310174,78,0,11,11,5751.1445,522.8313181818,20285.72250408,268,254,15,3,181,36,3,48483,0,0,0,60,0.4689008,convex_mesh_per_channel,0,0
4,2310175,78,0,16,16,5279.253265,329.9533290625,20251.26634567,186,180,13,4,378,48,4,84493,0,0,0,68,0.8168875,upper_bound_16,0,0
4,2310176,78,0,15,15,5920.414419,394.6942946,21702.0720916,248,235,10,4,269,44,4,64742,0,0,0,69,0.6467624,convex_mesh_per_channel,1,1.09795442384
4,2310177,78,0,15,15,6236.7445,415.7829666667,23758.72248998,229,214,17,7,205,38,7,35278,0,0,0,66,0.3874008,convex_mesh_per_channel,0,0
4,2310178,78,0,10,10,5950.942717,595.0942717,20809.71355413,288,278,7,5,121,23,5,35339,0,0,0,49,0.3217357,convex_mesh_per_channel,1,10.06619449845
4,2310179,78,0,16,16,5608.275958,350.517247375,21656.37981081,193,181,17,3,351,49,3,94727,0,0,0,72,0.8292269,upper_bound_16,3,0.8915567656913
4,2310180,78,0,13,13,5508.3614,423.7201076923,20186.8069979,235,222,3,3,261,39,3,72952,0,0,0,63,0.6487399,convex_mesh_per_channel,1,0.1727053469367
4,2310181,78,0,12,12,5903.253145,491.9377620833,21736.26574858,241,225,22,4,238,34,4,66592,0,0,0,59,0.5522572,convex_mesh_per_channel,0,0
4,2310182,78,0,13,13,5979.184031,459.9372331538,21535.92016363,266,253,8,3,322,48,3,92224,0,0,0,72,0.8335681,convex_mesh_per_channel,2,7.828439258305
4,2310183,78,0,11,11,5967.74356,542.5221418182,21523.71781487,262,247,17,4,145,29,4,30165,0,0,0,54,0.3431969,convex_mesh_per_channel,1,11.81023228955
4,2310184,78,0,14,14,6045.062191,431.7901565,23330.31097282,203,189,35,1,326,42,1,95558,0,0,0,64,0.8118716,convex_mesh_per_channel,4,8.465652894563
4,2310185,78,0,16,16,4430.06019,276.878761875,16350.30093649,170,161,23,6,384,60,6,100690,0,0,0,78,0.9909214,upper_bound_16,1,0
4,2310186,78,0,14,14,5769.053376,412.0752411429,21245.2668946,233,225,20,3,216,38,3,57848,0,0,0,62,0.5150172,convex_mesh_per_channel,2,9.82809535462
4,2310187,78,0,11,11,5926.91114,538.8101036364,21494.55570804,258,244,13,4,160,31,4,41377,0,0,0,56,0.4018471,convex_mesh_per_channel,2,0.4763824616748
4,2310188,78,0,10,10,5736.726639,573.6726639,19758.63320188,288,271,8,4,141,29,4,33975,0,0,0,54,0.3154476,convex_mesh_per_channel,2,8.727116308481
