problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2350001,78,4,10,10,2691.864314,269.1864314,9534.321571811,121,112,6,0,59,16,2,12678,0,19,19,25,0.0570886,seven_point_per_channel,1,3.911431864657
3,2350002,78,4,16,16,2998.335505,187.3959690625,11571.67751577,100,95,3,0,155,21,2,28158,0,30,27,29,0.1383889,upper_bound_16,4,2.721654100451
3,2350003,78,4,16,16,3323.487553,207.7179720625,13052.437766,106,100,1,0,125,25,2,27863,0,24,23,33,0.125248,upper_bound_16,0,0
3,2350004,78,4,13,13,3332.263599,256.3279691538,12671.31797411,121,110,6,0,141,19,4,30643,0,26,26,30,0.1425975,seven_point_per_channel,3,3.157381075534
3,2350005,78,4,10,10,2803.99908,280.399908,10369.99538917,113,109,2,0,83,12,2,16812,0,20,20,21,0.0776372,seven_point_per_channel,4,0.9557474210451
3,2350006,78,4,10,10,2763.907814,276.3907814,10059.53906417,116,113,3,0,76,17,0,15055,0,15,14,24,0.0675429,seven_point_per_channel,3,5.41033373776
3,2350007,78,4,12,12,2939.400708,244.950059,10672.0035487,124,116,3,0,68,18,3,13409,0,22,21,28,0.0609793,seven_point_per_channel,4,0
3,2350008,78,4,12,12,2847.318521,237.2765434167,10551.59260869,111,104,6,0,94,25,2,21738,0,14,14,34,0.0924945,seven_point_per_channel,4,1.297326916876
3,2350009,78,4,10,10,2792.407208,279.2407208,10362.03604923,113,105,0,0,73,12,3,14959,0,15,15,22,0.0700313,seven_point_per_channel,4,4.995694030764
3,2350010,78,4,13,13,3084.073974,237.2364595385,11880.36987633,107,96,4,0,119,18,3,18893,0,23,21,28,0.0937276,seven_point_per_channel,5,19.81594538951
3,2350011,78,4,13,13,3042.227096,234.0174689231,11791.13548073,103,95,3,0,139,18,3,29686,0,22,22,28,0.1329598,seven_point_per_channel,4,18.88739007614
3,2350012,78,4,11,11,2589.629951,235.4209046364,9318.14976157,110,106,5,0,130,17,4,27824,0,16,15,28,0.1243779,seven_point_per_channel,5,2.39529821703
3,2350013,78,4,13,13,3153.116587,242.5474297692,11845.58294721,118,108,7,0,89,21,3,16426,0,21,21,31,0.0770572,seven_point_per_channel,4,18.87319364769
3,2350014,78,4,12,12,2770.481267,230.8734389167,10522.40634483,101,95,2,0,129,18,2,24168,0,15,15,27,0.1162436,seven_point_per_channel,4,4.902136442606
3,2350015,78,4,12,12,2734.642064,227.8868386667,10353.2103275,100,95,3,0,134,18,2,28356,0,19,19,27,0.1297538,seven_point_per_channel,4,0.04796040848123
3,2350016,78,4,11,11,2954.731503,268.6119548182,11053.65752341,114,107,4,0,97,19,2,20333,0,15,15,28,0.0940244,seven_point_per_channel,7,25.10789874385
3,2350017,78,4,11,11,3105.276155,282.2978322727,11931.3807587,109,104,5,0,83,18,3,17112,0,13,13,28,0.0780027,seven_point_per_channel,4,6.982468027816
3,2350018,78,4,16,16,2990.425717,186.9016073125,11532.12858462,101,93,2,0,148,17,6,33959,0,28,28,29,0.1522576,upper_bound_16,4,2.497214499737
3,2350019,78,4,16,16,3172.900672,198.306292,12599.50335623,95,89,3,0,175,18,5,36975,0,26,26,29,0.1632331,upper_bound_16,5,0
3,2350020,78,4,13,13,3159.829008,243.0637698462,11694.14503843,125,113,6,0,105,20,6,22198,0,26,26,33,0.0942306,seven_point_per_channel,2,0
3,2350021,78,4,10,10,2751.199329,275.1199329,9935.996642747,119,110,3,0,80,18,2,15699,0,17,15,27,0.0737755,seven_point_per_channel,1,0
3,2350022,78,4,13,13,3171.193309,243.9379468462,12345.96652885,106,98,3,0,116,19,2,23278,0,23,23,28,0.1075717,seven_point_per_channel,7,6.718453960975
3,2350023,78,4,10,10,2923.996818,292.3996818,10719.98407622,120,115,5,0,86,20,1,17701,0,18,18,28,0.0776607,seven_point_per_channel,2,0
3,2350024,78,4,15,15,3144.01111,209.6007406667,11950.05554878,110,105,8,0,172,27,2,36165,0,29,29,36,0.1598524,seven_point_per_channel,2,0
3,2350025,78,4,10,10,2778.295247,277.8295247,10001.47623331,121,117,2,0,99,13,2,20793,0,17,16,22,0.0917735,seven_point_per_channel,1,0
3,2350026,78,4,12,12,3290.914127,274.2428439167,12654.57063697,114,103,9,0,111,21,3,22934,0,26,24,31,0.0968393,seven_point_per_channel,2,0
3,2350027,78,4,15,15,3086.327761,205.7551840667,12076.63879255,99,89,4,0,195,22,5,43920,0,18,18,34,0.2048069,seven_point_per_channel,6,12.97639304686
3,2350028,78,4,16,16,3621.45724,226.3410775,14302.28619868,112,103,6,0,150,25,3,28324,0,27,27,35,0.1311016,upper_bound_16,6,13.80920755314
3,2350029,78,4,16,16,3424.957182,214.059823875,13569.78590759,102,94,9,0,188,30,4,36394,0,33,30,40,0.1676118,upper_bound_16,6,14.69442988469
3,2350030,78,4,11,11,2942.178356,267.4707596364,11130.89179531,109,104,4,0,106,17,2,22041,0,20,20,26,0.1044369,seven_point_per_channel,1,0
3,2350031,78,4,10,10,2752.073877,275.2073877,9790.369372299,124,118,2,0,45,16,2,9020,0,16,15,25,0.0378049,seven_point_per_channel,5,8.686765020735
3,2350032,78,4,16,16,3114.067263,194.6292039375,12045.33632202,103,92,6,0,164,24,4,36408,0,30,29,34,0.1713848,upper_bound_16,3,9.071796536404
3,2350033,78,4,15,15,2868.671529,191.2447686,10778.35763949,106,99,3,0,172,21,2,35094,0,36,35,30,0.1708721,seven_point_per_channel,5,4.587901951307
3,2350034,78,4,14,14,3127.870313,223.4193080714,12089.35156873,106,98,4,0,145,23,3,28796,0,23,21,33,0.1405988,seven_point_per_channel,5,3.662516685939
3,2350035,78,4,15,15,3322.15165,221.4767766667,12745.75825938,117,107,2,0,138,18,3,31176,0,32,31,28,0.1526451,seven_point_per_channel,4,9.088448933207
3,2350036,78,4,15,15,3216.394381,214.4262920667,12671.9719152,101,96,2,0,197,22,1,33470,0,27,27,30,0.1702842,seven_point_per_channel,5,3.778202282205
3,2350037,78,4,13,13,3100.256082,238.4812370769,11646.28041146,117,112,3,0,67,19,5,12047,0,14,14,31,0.056245,seven_point_per_channel,5,12.20754543079
3,2350038,78,4,14,14,2983.287192,213.0919422857,11261.43595521,110,102,3,0,83,18,3,16322,0,21,21,28,0.0735711,seven_point_per_channel,7,12.64707733035
3,2350039,78,4,11,11,2902.483399,263.8621271818,10507.41698317,123,116,5,0,92,19,4,18929,0,20,20,30,0.0867694,seven_point_per_channel,3,8.692724685952
3,2350040,78,4,12,12,2859.166977,238.26391475,10675.83487732,111,103,2,0,111,13,5,23581,0,21,21,25,0.1122247,seven_point_per_channel,5,2.143351482389
4,2350001,78,4,10,10,5464.758735,546.4758735,19448.79367431,255,238,4,3,162,27,3,50745,0,0,0,51,0.4670021,convex_mesh_per_channel,1,0
4,2350002,78,4,16,16,6357.529354,397.345584625,24242.64679717,233,219,15,5,321,45,5,73028,0,0,0,71,0.8000089,upper_bound_16,3,10.34060273159
4,2350003,78,4,16,16,4742.905126,296.431570375,17779.52562988,180,171,12,9,250,39,9,72294,0,0,0,63,0.756182,upper_bound_16,2,24.27286219295
