problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,1910001,56,0,10,10,2700.744305,270.0744305,9913.721523208,111,104,3,0,98,14,3,21507,0,15,15,24,0.0909968,seven_point_per_channel,0,0
3,1910002,56,0,13,13,2918.347245,224.4882496154,11031.73624555,108,104,1,0,98,15,3,20134,0,24,24,25,0.0860772,seven_point_per_channel,0,0
3,1910003,56,0,12,12,3141.80998,261.8174983333,12099.04988972,109,102,5,0,163,18,4,32061,0,19,15,29,0.1355704,seven_point_per_channel,0,0
3,1910004,56,0,12,12,2617.871792,218.1559826667,9619.358971617,106,101,1,0,111,16,2,22904,0,18,17,25,0.0976223,seven_point_per_channel,0,0
3,1910005,56,0,12,12,2731.14622,227.5955183333,9780.731096172,116,108,9,0,105,20,5,18642,0,18,17,32,0.0745932,seven_point_per_channel,0,0
4,1910001,56,0,10,10,5380.560055,538.0560055,19377.80027835,243,228,4,2,180,23,2,51815,0,0,0,46,0.446136,convex_mesh_per_channel,0,0
4,1910002,56,0,13,13,5912.679831,454.8215254615,21328.39915704,261,244,11,7,242,35,7,69544,0,0,0,63,0.5913122,convex_mesh_per_channel,0,0
4,1910003,56,0,12,12,5821.477902,485.1231585,21277.38952997,244,232,18,3,218,37,3,62742,0,0,0,61,0.5482504,convex_mesh_per_channel,0,0
4,1910004,56,0,12,12,5467.596378,455.6330315,19987.98189942,237,225,0,4,181,29,4,51349,0,0,0,54,0.4782301,convex_mesh_per_channel,0,0
4,1910005,56,0,12,12,5991.932272,499.3276893333,21634.66138063,257,245,25,5,198,33,5,57610,0,0,0,59,0.4949436,convex_mesh_per_channel,0,0
