problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m,residual_calls,residual_replaced,residual_retired,rollout_calls,rollout_replaced
3,2630001,84,2,12,12,3185.47712,265.4564266667,12412.38561568,106,95,6,2,80,14,5,15490,0,7,6,26,0.0670865,seven_point_per_channel,4,53.74681954509,0,0,0,0,0
3,2630002,84,2,15,15,2789.437272,185.9624848,10737.18636333,91,82,10,1,150,22,8,31742,0,9,7,37,0.144045667,seven_point_per_channel,8,39.30392372768,0,0,0,0,0
3,2630003,84,2,11,11,3165.475254,287.7704776364,12307.37625842,109,98,2,1,71,12,5,13064,0,4,4,24,0.060177291,seven_point_per_channel,8,42.68947300421,0,0,0,0,0
3,2630004,84,2,12,12,3184.47712,265.3730933333,12412.38561568,106,94,6,2,80,14,5,15490,0,7,6,26,0.06770875,seven_point_per_channel,4,53.74681954509,0,0,0,0,0
3,2630005,84,2,10,10,2860.904059,286.0904059,10639.5202872,114,101,4,3,68,13,5,15478,0,6,4,25,0.061480542,seven_point_per_channel,4,33.31183770594,0,0,0,0,0
3,2630006,84,2,12,12,3202.529101,266.8774250833,12412.64551645,109,94,7,3,79,13,6,15683,0,7,6,26,0.082152791,seven_point_per_channel,4,53.42515424642,0,0,0,0,0
3,2630007,84,2,10,10,2844.963983,284.4963983,10649.81990912,111,101,3,2,69,14,4,15383,0,6,4,25,0.06682625,seven_point_per_channel,4,33.64270144916,0,0,0,0,0
3,2630008,84,2,14,14,2899.609255,207.1149467857,11258.04627367,95,85,6,1,126,23,4,26560,0,9,7,34,0.132810625,seven_point_per_channel,6,0.803644278094,0,0,0,0,0
3,2630009,84,2,12,12,3183.47712,265.28976,12412.38561568,106,93,6,2,80,14,5,15490,0,7,6,26,0.068236417,seven_point_per_channel,4,53.74681954509,0,0,0,0,0
3,2630010,84,2,15,15,2852.359999,190.1573332667,10966.80000516,94,81,11,2,150,23,8,31620,0,9,7,38,0.132104458,seven_point_per_channel,8,27.99759323347,0,0,0,0,0
