total_cost_yuan,baseline_cost_yuan,saving_yuan,saving_percent,bootstrap_95_lower_yuan,bootstrap_95_upper_yuan,positive_days,negative_days,emergency_cost_yuan,emergency_kwh,spill_kwh,min_soc,max_soc,first_half_saving_yuan,second_half_saving_yuan,kind,configuration_id,comparison,runtime_seconds,planning_seconds,feedback_build_seconds,scenario_seconds,candidate_blocks_mean,candidate_blocks_min,representatives_mean,candidate_ESS_mean,transport_distance_mean,net_tail95_retention_fraction,gain_binding_fraction
13844170.061859094,13844170.061859094,0.0,0.0,0.0,0.0,0,0,647043.8461881,151764.07688902435,2336748.172034976,0.1,0.9,0.0,0.0,q2,cc3ebe6953b57007,legacy_matched_terminal,1712.3396890410222,1477.1287781056017,223.2966548311524,8.609820132609457,27.95508982035928,23,7.0,27.95508982035928,0.8012440160774258,0.4648203592814371,0.0001
13844170.061859094,13843597.725621978,-572.3362371157855,-0.004134302718551951,-1225.9734277406837,-72.04550774963562,6,30,647043.8461881,151764.07688902435,2336748.172034976,0.1,0.9,-290.1256364995061,-282.210600617429,q2,cc3ebe6953b57007,fixed48_reference,1712.3396890410222,1477.1287781056017,223.2966548311524,8.609820132609457,27.95508982035928,23,7.0,27.95508982035928,0.8012440160774258,0.4648203592814371,0.0001
13461842.350947868,13461842.350947868,0.0,0.0,0.0,0.0,0,0,174666.1772459749,37821.56931429688,1738320.5163277145,0.1,0.9,0.0,0.0,q3,cc3ebe6953b57007,legacy_matched_terminal,3509.2401806251146,3231.9799425525125,263.7612550142221,9.641148258699104,27.95508982035928,23,7.0,27.95508982035928,0.7171938118897495,0.4708083832335329,3.125e-05
13461842.350947868,13461304.45382083,-537.8971270378679,-0.003995876691468725,-2656.3479403673687,1301.7786967709285,80,90,174666.1772459749,37821.56931429688,1738320.5163277145,0.1,0.9,-582.3805814703719,44.48345443215294,q3,cc3ebe6953b57007,fixed48_reference,3509.2401806251146,3231.9799425525125,263.7612550142221,9.641148258699104,27.95508982035928,23,7.0,27.95508982035928,0.7171938118897495,0.4708083832335329,3.125e-05
14654611.38123864,14654611.38123864,0.0,0.0,0.0,0.0,0,0,654822.6158482771,139989.68954028297,2373217.794892113,0.1,0.9,0.0,0.0,q4_2,cc3ebe6953b57007,legacy_matched_terminal,1699.2813444579951,1463.208777340129,217.81603081407957,14.924436936853454,27.95508982035928,23,7.0,27.95508982035928,0.8400195138862658,0.4648203592814371,0.0001
14654611.38123864,14654319.804457856,-291.5767807830125,-0.001989698496236684,-1107.0497244061212,360.05095721025936,17,21,654822.6158482771,139989.68954028297,2373217.794892113,0.1,0.9,200.74644086507942,-492.32322164827565,q4_2,cc3ebe6953b57007,fixed48_reference,1699.2813444579951,1463.208777340129,217.81603081407957,14.924436936853454,27.95508982035928,23,7.0,27.95508982035928,0.8400195138862658,0.4648203592814371,0.0001
14252083.025399216,14252083.025399216,0.0,0.0,0.0,0.0,0,0,174818.29501795504,37930.268467347865,1746588.1004165576,0.1,0.9,0.0,0.0,q4_3,cc3ebe6953b57007,legacy_matched_terminal,3441.4419610421173,3159.56451917137,260.60774066415615,17.37917363550514,27.95508982035928,23,7.0,27.95508982035928,0.8179563304491237,0.4708083832335329,3.125e-05
14252083.025399216,14252101.502195751,18.476796535775065,0.00012964261118213644,-283.5552059937739,375.96952077993365,45,54,174818.29501795504,37930.268467347865,1746588.1004165576,0.1,0.9,-33.6993167468936,52.17611328048588,q4_3,cc3ebe6953b57007,fixed48_reference,3441.4419610421173,3159.56451917137,260.60774066415615,17.37917363550514,27.95508982035928,23,7.0,27.95508982035928,0.8179563304491237,0.4708083832335329,3.125e-05
13843597.725621978,13844170.061859094,572.3362371157855,0.004134131801028513,72.04550774963538,1225.9734277406833,30,6,646776.7213995783,151699.01209766747,2336108.0125929676,0.1,0.9,290.1256364995061,282.210600617429,q2,5c5eb1d7988dccd0,legacy_matched_terminal,2711.446958333021,2377.3615481096786,318.1405077839736,12.012575199594721,27.95508982035928,23,7.0,27.95508982035928,0.8138694745762034,0.47604790419161674,0.0001924853711117955
13843597.725621978,13843597.725621978,0.0,0.0,0.0,0.0,0,0,646776.7213995783,151699.01209766747,2336108.0125929676,0.1,0.9,0.0,0.0,q2,5c5eb1d7988dccd0,fixed48_reference,2711.446958333021,2377.3615481096786,318.1405077839736,12.012575199594721,27.95508982035928,23,7.0,27.95508982035928,0.8138694745762034,0.47604790419161674,0.0001924853711117955
13461304.45382083,13461842.350947868,537.8971270378679,0.0039957170275433645,-1301.7786967709287,2656.3479403673678,90,80,174503.89148619372,37788.72424605799,1737551.3984441317,0.1,0.9,582.3805814703719,-44.48345443215294,q3,5c5eb1d7988dccd0,legacy_matched_terminal,4582.342314667068,4242.226168035762,324.1694631893188,11.858416020171717,27.95508982035928,23,7.0,27.95508982035928,0.7500265031917932,0.47305389221556887,2.5020016012810247e-05
13461304.45382083,13461304.45382083,0.0,0.0,0.0,0.0,0,0,174503.89148619372,37788.72424605799,1737551.3984441317,0.1,0.9,0.0,0.0,q3,5c5eb1d7988dccd0,fixed48_reference,4582.342314667068,4242.226168035762,324.1694631893188,11.858416020171717,27.95508982035928,23,7.0,27.95508982035928,0.7500265031917932,0.47305389221556887,2.5020016012810247e-05
14654319.804457856,14654611.38123864,291.5767807830125,0.0019896589080233107,-360.0509572102597,1107.0497244061212,21,17,654657.5582253406,139972.24213812902,2372756.698143433,0.1,0.9,-200.74644086507942,492.32322164827565,q4_2,5c5eb1d7988dccd0,legacy_matched_terminal,2667.110540415859,2327.9567034151405,314.6321606503334,20.647125121206045,27.95508982035928,23,7.0,27.95508982035928,0.8524658486593304,0.47604790419161674,0.0001924853711117955
14654319.804457856,14654319.804457856,0.0,0.0,0.0,0.0,0,0,654657.5582253406,139972.24213812902,2372756.698143433,0.1,0.9,0.0,0.0,q4_2,5c5eb1d7988dccd0,fixed48_reference,2667.110540415859,2327.9567034151405,314.6321606503334,20.647125121206045,27.95508982035928,23,7.0,27.95508982035928,0.8524658486593304,0.47604790419161674,0.0001924853711117955
14252101.502195751,14252083.025399216,-18.476796535775065,-0.0001296427792544207,-375.9695207799337,283.5552059937738,54,45,174977.12167992975,37973.7580939232,1746510.692462572,0.1,0.9,33.6993167468936,-52.17611328048588,q4_3,5c5eb1d7988dccd0,legacy_matched_terminal,4473.90180658293,4129.048132802127,320.1281841949094,20.788942002225667,27.95508982035928,23,7.0,27.95508982035928,0.8351464658784419,0.47305389221556887,2.5020016012810247e-05
14252101.502195751,14252101.502195751,0.0,0.0,0.0,0.0,0,0,174977.12167992975,37973.7580939232,1746510.692462572,0.1,0.9,0.0,0.0,q4_3,5c5eb1d7988dccd0,fixed48_reference,4473.90180658293,4129.048132802127,320.1281841949094,20.788942002225667,27.95508982035928,23,7.0,27.95508982035928,0.8351464658784419,0.47305389221556887,2.5020016012810247e-05
13817945.063203087,13844170.061859094,26224.99865600653,0.1894299083211699,-33842.18257752922,95781.4408759804,156,177,620522.2356566048,143746.70419328072,2329873.1630402585,0.1,0.9,2689.351347962647,23535.64730804524,q2,7a7d9f1f5f762810,legacy_matched_terminal,5273.925569667015,4721.695789650548,529.2983635875862,18.285590598359704,27.937125748502993,22,7.0,27.937125748502993,0.8306629750124495,0.4812874251497006,5.0970997502421125e-05
13817945.063203087,13843597.725621978,25652.662418890744,0.18530343720846743,-34578.92162818854,95321.75225946862,156,177,620522.2356566048,143746.70419328072,2329873.1630402585,0.1,0.9,2399.225711463141,23253.436707427813,q2,7a7d9f1f5f762810,fixed48_reference,5273.925569667015,4721.695789650548,529.2983635875862,18.285590598359704,27.937125748502993,22,7.0,27.937125748502993,0.8306629750124495,0.4812874251497006,5.0970997502421125e-05
13472619.965776566,13461842.350947868,-10777.614828698337,-0.08006047424808439,-35924.31047443413,15630.802192456158,162,171,179884.69068851005,39569.846023515885,1747407.8977677117,0.1,0.9,-11485.7546107564,708.1397820582424,q3,7a7d9f1f5f762810,legacy_matched_terminal,9154.669084666995,8622.33064300497,509.92576623079367,17.94135399372317,27.937125748502993,22,7.0,27.937125748502993,0.7860782488085443,0.47380239520958084,3.268401098182769e-05
13472619.965776566,13461304.45382083,-11315.511955736205,-0.08405955005738268,-36567.03766250888,14928.756827525513,161,172,179884.69068851005,39569.846023515885,1747407.8977677117,0.1,0.9,-12068.135192226771,752.6232364903954,q3,7a7d9f1f5f762810,fixed48_reference,9154.669084666995,8622.33064300497,509.92576623079367,17.94135399372317,27.937125748502993,22,7.0,27.937125748502993,0.7860782488085443,0.47380239520958084,3.268401098182769e-05
14593105.445750773,14654611.38123864,61505.9354878664,0.4197036269867143,-10558.884871385815,151848.05379964723,172,161,611797.3671056945,129731.42327962583,2358186.3384920014,0.1,0.9,15460.209442914522,46045.72604494938,q4_2,7a7d9f1f5f762810,legacy_matched_terminal,4929.435733459191,4406.619658880401,488.3286891106982,30.259720775298774,27.937125748502993,22,7.0,27.937125748502993,0.866275256991745,0.4812874251497006,7.645649625363168e-05
14593105.445750773,14654319.804457856,61214.35870708339,0.41772227932723244,-10847.656095509505,151646.5596590998,172,161,611797.3671056945,129731.42327962583,2358186.3384920014,0.1,0.9,15660.955883779607,45553.402823301105,q4_2,7a7d9f1f5f762810,fixed48_reference,4929.435733459191,4406.619658880401,488.3286891106982,30.259720775298774,27.937125748502993,22,7.0,27.937125748502993,0.866275256991745,0.4812874251497006,7.645649625363168e-05
14244036.493450446,14252083.025399216,8046.531948769465,0.05645863790176786,-18138.939184999046,38543.253741754124,171,162,179507.52394874612,38051.36482674847,1742741.9235001893,0.1,0.9,1897.0213246135027,6149.510624156159,q4_3,7a7d9f1f5f762810,legacy_matched_terminal,8886.557375375181,8359.221668763552,492.2636525244452,30.789473271928728,27.937125748502993,22,7.0,27.937125748502993,0.8531751832703908,0.47380239520958084,0.00011439403843639692
14244036.493450446,14252101.502195751,8065.00874530524,0.056588207318497584,-18074.586575948608,38670.2981924325,171,162,179507.52394874612,38051.36482674847,1742741.9235001893,0.1,0.9,1863.322007866609,6201.686737436645,q4_3,7a7d9f1f5f762810,fixed48_reference,8886.557375375181,8359.221668763552,492.2636525244452,30.789473271928728,27.937125748502993,22,7.0,27.937125748502993,0.8531751832703908,0.47380239520958084,0.00011439403843639692
13831654.714459017,13844170.061859094,12515.347400076687,0.09040157224416555,-40493.48780790142,71579.47789115399,165,168,637517.7537397125,150737.32864860178,2330045.327253121,0.1,0.9,9354.653479093227,3160.693920984384,q2,d21be844de2de2b1,legacy_matched_terminal,7573.524237083038,6897.82769737835,649.6007393782493,21.85568862920627,27.91616766467066,21,7.0,27.91616766467066,0.8397082011270499,0.5104790419161677,5.71864277544796e-05
