stage_index,stage,kind,reference_configuration,candidate_configuration,total_cost_yuan,baseline_cost_yuan,saving_yuan,saving_percent,bootstrap_95_lower_yuan,bootstrap_95_upper_yuan,positive_days,negative_days,emergency_cost_yuan,emergency_kwh,spill_kwh,min_soc,max_soc,first_half_saving_yuan,second_half_saving_yuan
1,fixed_horizon_only,q2,5c5eb1d7988dccd0,7a7d9f1f5f762810,13817945.063203087,13843597.725621978,25652.662418890744,0.18530343720846743,-34578.92162818854,95321.75225946862,156,177,620522.2356566048,143746.70419328072,2329873.1630402585,0.1,0.9,2399.225711463141,23253.436707427813
1,fixed_horizon_only,q3,5c5eb1d7988dccd0,7a7d9f1f5f762810,13472619.965776566,13461304.45382083,-11315.511955736205,-0.08405955005738268,-36567.03766250888,14928.756827525513,161,172,179884.69068851005,39569.846023515885,1747407.8977677117,0.1,0.9,-12068.135192226771,752.6232364903954
1,fixed_horizon_only,q4_2,5c5eb1d7988dccd0,7a7d9f1f5f762810,14593105.445750773,14654319.804457856,61214.35870708339,0.41772227932723244,-10847.656095509505,151646.5596590998,172,161,611797.3671056945,129731.42327962583,2358186.3384920014,0.1,0.9,15660.955883779607,45553.402823301105
1,fixed_horizon_only,q4_3,5c5eb1d7988dccd0,7a7d9f1f5f762810,14244036.493450446,14252101.502195751,8065.00874530524,0.056588207318497584,-18074.586575948608,38670.2981924325,171,162,179507.52394874612,38051.36482674847,1742741.9235001893,0.1,0.9,1863.322007866609,6201.686737436645
1,fixed_horizon_only,q2,5c5eb1d7988dccd0,d21be844de2de2b1,13831654.714459017,13843597.725621978,11943.011162960902,0.0862710070002725,-40857.50422150039,70674.97613139609,165,168,637517.7537397125,150737.32864860178,2330045.327253121,0.1,0.9,9064.527842593721,2878.483320366955
1,fixed_horizon_only,q4_2,5c5eb1d7988dccd0,d21be844de2de2b1,14636544.132188916,14654319.804457856,17775.672268940136,0.121299879531309,-44132.55940534076,87468.1366377034,171,162,657269.7588524213,141262.3368479351,2355539.216493426,0.1,0.9,3830.2652820119074,13945.406986926864
2,forecast_fusion_only,q2,7a7d9f1f5f762810,6cfbc0fe34fd0999,13817945.063203087,13817945.063203087,0.0,0.0,0.0,0.0,0,0,620522.2356566048,143746.70419328072,2329873.1630402585,0.1,0.9,0.0,0.0
