日期,时间段,计划购电_kWh,最终合同购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,弃电_kWh,电价_元每kWh,时段初SOC_kWh,时段末SOC_kWh
2025-02-01,00:00-00:10,1260.3481070749167,1260.3481070749167,833.3333333333333,0.0,0.0,4.98440707491676,0.4248,6000.0,6750.0
2025-02-01,00:10-00:20,1247.9846812902088,1247.9846812902088,832.5773646235423,0.0,2.2737367544323206e-13,0.0,0.4245,6750.0,7499.319628161188
2025-02-01,00:20-00:30,1244.9633333333334,1244.9633333333334,833.3333333333343,0.0,0.0,0.913333333332389,0.4269,7499.319628161188,8249.319628161189
2025-02-01,00:30-00:40,1250.5634077864263,1250.5634077864263,820.2686077864261,0.0,0.0,2.8421709430404007e-13,0.4272,8249.319628161189,8987.561375168973
2025-02-01,00:40-00:50,1295.0827575652881,1295.0827575652881,833.3333333333333,0.0,0.0,37.338840898621584,0.4271,8987.561375168973,9737.561375168973
2025-02-01,00:50-01:00,476.2397758180163,476.2397758180163,70.18810915134964,0.0,-0.0,0.0,0.4285,9737.561375168973,9800.730673405187
2025-02-01,01:00-01:10,502.62418549509266,502.62418549509266,65.87400216175915,0.0,0.0,1.7053025658242404e-13,0.4311,9800.730673405187,9860.01727535077
2025-02-01,01:10-01:20,530.9397402627732,530.9397402627732,79.1420569294395,0.0,0.0,3.979039320256561e-13,0.4302,9860.01727535077,9931.245126587266
2025-02-01,01:20-01:30,514.7416666666669,514.7416666666669,68.66166666666686,0.0,0.0,5.684341886080802e-14,0.4279,9931.245126587266,9993.040626587266
2025-02-01,01:30-01:40,522.6896976848883,522.6896976848883,50.92336435155529,0.0,2.8421709430404007e-13,0.0,0.4312,9993.040626587266,10038.871654503666
2025-02-01,01:40-01:50,507.5976500000007,507.5976500000007,59.571683333334576,0.0,5.115907697472721e-13,0.0,0.4333,10038.871654503666,10092.486169503667
2025-02-01,01:50-02:00,563.5649999999996,563.5649999999996,166.16166666666686,0.0,6.252776074688882e-13,0.0,0.4311,10092.486169503667,10242.031669503667
2025-02-01,02:00-02:10,550.714858782438,550.714858782438,116.62422544910442,0.0,0.0,2.8421709430404007e-13,0.4293,10242.031669503667,10346.993472407861
2025-02-01,02:10-02:20,545.7077618936579,545.7077618936579,55.14684522699099,0.0,0.0,2.8421709430404007e-13,0.4324,10346.993472407861,10396.625633112153
2025-02-01,02:20-02:30,528.3157289885806,528.3157289885806,25.09572898858096,0.0,3.410605131648481e-13,0.0,0.4367,10396.625633112153,10419.211789201876
2025-02-01,02:30-02:40,489.4823500000001,489.4823500000001,15.409533333333659,0.0,2.8421709430404007e-13,0.0,0.4348,10419.211789201876,10433.080369201876
2025-02-01,02:40-02:50,499.437959459715,499.437959459715,38.05355945971516,0.0,1.7053025658242404e-13,0.0,0.4335,10433.080369201876,10467.32857271562
2025-02-01,02:50-03:00,505.46521712829383,505.46521712829383,28.52355046162807,0.0,9.094947017729282e-13,0.0,0.4357,10467.32857271562,10492.999768131085
2025-02-01,03:00-03:10,519.9832538394465,519.9832538394465,7.778035409905391,0.0,0.0,28.805668429541072,0.4374,10492.999768131085,10500.0
2025-02-01,03:10-03:20,516.8435500000005,516.8435500000005,0.0,-0.0,0.0,30.241633333333823,0.4371,10500.0,10500.0
2025-02-01,03:20-03:30,528.4149999999983,528.4149999999983,0.0,27.0,0.0,56.5666666666649,0.4356,10500.0,10470.0
2025-02-01,03:30-03:40,558.3984939557212,558.3984939557212,0.0,-0.0,0.0,40.08876062238778,0.4353,10470.0,10470.0
2025-02-01,03:40-03:50,574.3587152368206,574.3587152368206,0.0,-0.0,0.0,65.2252485701539,0.436,10470.0,10470.0
2025-02-01,03:50-04:00,570.5159514141804,570.5159514141804,0.0,27.0,0.0,113.89928474751383,0.4378,10470.0,10440.0
2025-02-01,04:00-04:10,558.4237337946457,558.4237337946457,0.0,27.0,0.0,94.23693379464572,0.4401,10440.0,10410.0
2025-02-01,04:10-04:20,554.7516000000027,554.7516000000027,0.0,-0.0,0.0,50.10631666666933,0.4389,10410.0,10410.0
2025-02-01,04:20-04:30,541.7599999999993,541.7599999999993,0.0,54.0,0.0,90.18166666666599,0.4364,10410.0,10350.0
2025-02-01,04:30-04:40,578.2019166666664,578.2019166666664,0.0,-0.0,0.0,74.97094999999973,0.4393,10350.0,10350.0
2025-02-01,04:40-04:50,592.1405500000013,592.1405500000013,0.0,-0.0,0.0,89.29380000000134,0.4422,10350.0,10350.0
2025-02-01,04:50-05:00,560.6562409158728,560.6562409158728,0.0,27.0,0.0,88.01457424920613,0.4395,10350.0,10320.0
2025-02-01,05:00-05:10,538.784461261102,538.784461261102,0.0,27.0,0.0,77.00087792776867,0.4333,10320.0,10290.0
2025-02-01,05:10-05:20,526.1990458697918,526.1990458697918,0.0,81.0,0.0,108.68361253645838,0.4439,10290.0,10200.0
2025-02-01,05:20-05:30,603.2722135586092,603.2722135586092,0.0,27.0,0.0,101.04888022527587,0.4301,10200.0,10170.0
2025-02-01,05:30-05:40,1367.9360015168459,1367.9360015168459,700.0,0.0,0.0,120.52568485017923,0.3713,10170.0,10800.0
2025-02-01,05:40-05:50,585.1585127051495,585.1585127051495,0.0,-0.0,0.0,53.97734603848289,0.5708,10800.0,10800.0
2025-02-01,05:50-06:00,0.0,0.0,0.0,510.98333333333323,1.1368683772161603e-13,0.0,0.9099,10800.0,10232.24074074074
2025-02-01,06:00-06:10,0.0,0.0,0.0,833.3333333333327,0.0,298.14614999999935,0.9368,10232.24074074074,9306.314814814816
2025-02-01,06:10-06:20,0.0,0.0,0.0,833.3333333333327,0.0,299.9779999999994,0.8758,9306.314814814816,8380.38888888889
2025-02-01,06:20-06:30,0.0,0.0,0.0,630.3500000000015,0.0,125.83000000000152,0.8759,8380.38888888889,7680.0
2025-02-01,06:30-06:40,0.0,0.0,0.0,519.5536833333335,0.0,2.2737367544323206e-13,0.8601,7680.0,7102.718129629629
2025-02-01,06:40-06:50,0.0,0.0,0.0,560.4463166666665,0.0,8.966233333333207,0.8442,7102.718129629629,6480.0
2025-02-01,06:50-07:00,0.0,0.0,0.0,621.0,0.0,68.95833333333337,0.8334,6480.0,5790.0
2025-02-01,07:00-07:10,0.0,0.0,0.0,514.5580499999999,1.1368683772161603e-13,0.0,0.8092,5790.0,5218.2688333333335
2025-02-01,07:10-07:20,0.0,0.0,0.0,457.4419500000002,0.0,9.533400000000256,0.7972,5218.2688333333335,4710.0
2025-02-01,07:20-07:30,0.0,0.0,0.0,513.0,0.0,123.57583333333332,0.7644,4710.0,4140.0
2025-02-01,07:30-07:40,0.0,0.0,0.0,378.0,0.0,0.34625000000005457,0.6899,4140.0,3720.0
2025-02-01,07:40-07:50,0.0,0.0,0.0,361.1613500000002,0.0,1.7053025658242404e-13,0.86,3720.0,3318.709611111111
2025-02-01,07:50-08:00,0.0,0.0,0.0,299.9229166666667,-0.0,0.0,1.1617,3318.709611111111,2985.4619259259257
2025-02-01,08:00-08:10,0.0,0.0,0.0,202.91573333333312,0.0,0.6894999999997253,1.1683,2985.4619259259257,2760.0
