时间段,购电_kWh,充电_kWh,放电_kWh,时段初SOC_kWh,时段末SOC_kWh
00:00-00:10,1406.6411,833.3333333333334,0.0,6000.0,6750.0
00:10-00:20,1406.3298666666667,833.3333333333334,0.0,6750.0,7500.0
00:20-00:30,1407.3838500000002,833.3333333333334,0.0,7500.0,8250.0
00:30-00:40,1409.07395,833.3333333333334,0.0,8250.0,9000.0
00:40-00:50,1409.80455,833.3333333333334,0.0,9000.0,9750.0
00:50-01:00,576.6400166666666,0.0,0.0,9750.0,9750.0
01:00-01:10,577.8597,0.0,0.0,9750.0,9750.0
01:10-01:20,577.9938666666667,0.0,0.0,9750.0,9750.0
01:20-01:30,911.1613833333333,333.3333333333333,0.0,9750.0,10050.0
01:30-01:40,580.41545,0.0,0.0,10050.0,10050.0
01:40-01:50,582.5140166666666,0.0,0.0,10050.0,10050.0
01:50-02:00,583.07405,0.0,0.0,10050.0,10050.0
02:00-02:10,584.2049166666667,0.0,0.0,10050.0,10050.0
02:10-02:20,585.4397833333334,0.0,0.0,10050.0,10050.0
02:20-02:30,586.14475,0.0,0.0,10050.0,10050.0
02:30-02:40,586.3207666666666,0.0,0.0,10050.0,10050.0
02:40-02:50,586.4253,0.0,0.0,10050.0,10050.0
02:50-03:00,586.8496,0.0,0.0,10050.0,10050.0
03:00-03:10,587.8210166666667,0.0,0.0,10050.0,10050.0
03:10-03:20,589.5475666666667,0.0,0.0,10050.0,10050.0
03:20-03:30,590.8134666666666,0.0,0.0,10050.0,10050.0
03:30-03:40,590.2131166666667,0.0,0.0,10050.0,10050.0
03:40-03:50,591.0662666666666,0.0,0.0,10050.0,10050.0
03:50-04:00,593.3678333333334,0.0,0.0,10050.0,10050.0
04:00-04:10,593.6596833333333,0.0,0.0,10050.0,10050.0
04:10-04:20,592.7863833333333,0.0,0.0,10050.0,10050.0
04:20-04:30,593.3378666666666,0.0,0.0,10050.0,10050.0
04:30-04:40,596.6757666666666,0.0,0.0,10050.0,10050.0
04:40-04:50,597.78025,0.0,0.0,10050.0,10050.0
04:50-05:00,595.1625,0.0,0.0,10050.0,10050.0
05:00-05:10,590.6065,0.0,0.0,10050.0,10050.0
