日期,时间段,计划购电_kWh,最终合同购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,弃电_kWh,电价_元每kWh,时段初SOC_kWh,时段末SOC_kWh
2025-02-01,00:00-00:10,1261.081546394049,1261.081546394049,833.3333333333333,0.0,0.0,5.7178463940489905,0.3281,6000.0,6750.0
2025-02-01,00:10-00:20,840.8160160676773,840.8160160676773,425.40869940101095,0.0,3.410605131648481e-13,0.0,0.3257,6750.0,7132.86782946091
2025-02-01,00:20-00:30,1244.963333333333,1244.963333333333,833.3333333333333,0.0,0.0,0.9133333333329574,0.3041,7132.86782946091,7882.86782946091
2025-02-01,00:30-00:40,1282.956188126938,1282.956188126938,833.3333333333323,0.0,0.0,19.32805479360576,0.3126,7882.86782946091,8632.867829460909
2025-02-01,00:40-00:50,1296.3387526334534,1296.3387526334534,833.3333333333333,0.0,0.0,38.59483596678683,0.3286,8632.867829460909,9382.867829460909
2025-02-01,00:50-01:00,475.94858257241765,475.94858257241765,69.89691590574996,0.0,0.0,1.0231815394945443e-12,0.3438,9382.867829460909,9445.775053776084
2025-02-01,01:00-01:10,501.9599237761332,501.9599237761332,65.20974044279986,0.0,0.0,5.684341886080802e-14,0.3704,9445.775053776084,9504.463820174604
2025-02-01,01:10-01:20,529.2396794032921,529.2396794032921,77.4419960699581,0.0,0.0,7.389644451905042e-13,0.3746,9504.463820174604,9574.161616637566
2025-02-01,01:20-01:30,514.7416666666667,514.7416666666667,68.66166666666686,0.0,1.7053025658242404e-13,0.0,0.3606,9574.161616637566,9635.957116637566
2025-02-01,01:30-01:40,472.0022209306826,472.0022209306826,0.0,32.36140497380966,0.0,32.59729257115896,0.3582,9635.957116637566,9600.0
2025-02-01,01:40-01:50,486.3068550168169,486.3068550168169,0.0,81.0,0.0,119.28088835015018,0.3041,9600.0,9510.0
2025-02-01,01:50-02:00,1280.6718204573897,1280.6718204573897,700.0,0.0,0.0,183.26848712405632,0.2537,9510.0,10140.0
2025-02-01,02:00-02:10,1288.0423602304265,1288.0423602304265,733.3333333333334,0.0,0.0,120.61839356375987,0.3346,10140.0,10800.0
2025-02-01,02:10-02:20,544.0154993269616,544.0154993269616,0.0,-0.0,0.0,53.45458266029499,0.3971,10800.0,10800.0
2025-02-01,02:20-02:30,528.226584571456,528.226584571456,0.0,-0.0,0.0,25.00658457145596,0.367,10800.0,10800.0
2025-02-01,02:30-02:40,489.48235000000017,489.48235000000017,0.0,-0.0,0.0,15.409533333333457,0.3185,10800.0,10800.0
2025-02-01,02:40-02:50,486.1610324468151,486.1610324468151,0.0,-0.0,0.0,24.776632446815142,0.3285,10800.0,10800.0
2025-02-01,02:50-03:00,504.34287196667447,504.34287196667447,0.0,-0.0,0.0,27.401205300007803,0.3772,10800.0,10800.0
