problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
3,2610047,78,12,0,3012.29284,251.024403333333,11246.4641859418,116,114,3,7,89,88,33,27,26,1,0.13005725
3,2610048,78,12,0,2596.961123,216.413426916667,9374.80560920369,111,107,0,7,89,87,33,22,20,2,0.15274525
3,2610049,78,16,0,2791.101969,174.4438730625,10650.5098392803,97,87,3,7,56,55,28,41,32,1,0.346776375
3,2610050,78,12,0,2643.073333,220.256111083333,9825.36667984446,103,97,2,7,75,73,19,28,24,2,0.2344135
3,2610051,78,14,0,3175.048098,226.789149857143,12355.2404822142,106,95,3,7,70,69,28,36,26,1,0.302583916
3,2610052,78,15,0,2982.538724,198.835914933333,11497.6936251931,99,92,7,7,59,57,24,40,35,2,0.305656875
3,2610053,78,13,0,2732.118619,210.162970692308,10210.5930964729,104,99,2,7,79,77,30,25,22,2,0.256067792
3,2610054,78,13,0,3382.731193,260.210091769231,12903.6559560291,119,112,10,7,89,88,40,30,24,1,0.194609666
3,2610055,78,12,0,2799.333012,233.277751,10296.665059213,113,109,2,7,88,87,32,25,22,1,0.174678666
3,2610056,78,13,0,2618.663885,201.435683461538,9743.31942251225,101,97,1,7,70,69,21,31,28,1,0.303624333
3,2610057,78,13,0,2947.68466,226.744973846154,11153.4232996232,106,98,8,7,76,74,27,30,24,2,0.284741291
3,2610058,78,11,0,3230.271641,293.661058272727,12356.3582123615,116,112,4,7,93,90,30,23,22,3,0.159055084
3,2610059,78,12,0,2926.021117,243.835093083333,10940.105586642,112,106,4,7,91,90,35,21,16,1,0.148222708
3,2610060,78,15,0,2889.074676,192.6049784,11105.3733784751,98,94,3,7,66,64,31,32,30,2,0.251707541
3,2610061,78,15,0,3375.08205,225.00547,13360.4102559392,102,94,8,7,69,67,34,33,27,2,0.380125709
3,2610062,78,15,0,3243.807343,216.253822866667,12589.0367293395,105,99,9,7,71,70,36,34,29,1,0.400324416
3,2610063,78,16,0,2472.971646,154.560727875,9979.85823315152,66,61,2,3,33,31,21,33,30,2,0.401695333
3,2610064,78,13,0,3133.093812,241.007216307692,11970.4690589,111,104,5,7,81,80,32,30,24,1,0.26428325
3,2610065,78,12,0,3107.269343,258.939111916667,11721.346720872,117,109,3,7,85,84,29,32,25,1,0.203251583
3,2610066,78,12,0,2825.293612,235.441134333333,10616.4680556695,106,97,5,7,76,74,20,30,23,2,0.213245416
3,2610067,78,13,0,3167.876495,243.682807307692,12019.3824744559,116,110,3,7,85,83,36,31,27,2,0.146923292
3,2610068,78,12,0,3463.072936,288.589411333333,13450.364681311,117,110,6,7,92,91,36,25,19,1,0.175169375
3,2610069,78,14,0,2911.89651,207.992607857143,10844.4825559639,113,108,0,7,78,75,36,35,33,3,0.247973125
3,2610070,78,14,0,3138.001812,224.142986571429,11555.0090617617,125,111,7,7,89,87,47,36,24,2,0.151069875
3,2610071,78,16,0,2820.949462,176.309341375,11239.747308522,81,76,4,5,46,44,26,35,32,2,0.337412625
3,2610072,78,16,0,3178.503698,198.656481125,12057.5184860663,112,103,8,7,71,70,43,41,33,1,0.267335042
3,2610073,78,11,0,2576.924646,234.265876909091,9149.62320987807,115,108,3,7,91,88,28,24,20,3,0.153940666
3,2610074,78,13,0,3089.534922,237.656532461538,11037.6746140652,135,127,5,7,104,102,55,31,25,2,0.072326833
3,2610075,78,10,0,2766.938886,276.6938886,9909.69443095155,121,118,4,7,101,99,31,20,19,2,0.122552208
3,2610076,78,14,0,3074.025902,219.573278714286,12020.1294995074,100,94,2,7,76,74,34,24,20,2,0.204545042
3,2610077,78,10,0,2925.347277,292.5347277,10816.7363931169,117,109,6,7,91,89,21,26,20,2,0.118962292
3,2610078,78,10,0,2977.898078,297.7898078,10789.4903943764,129,125,0,7,105,104,35,24,21,1,0.078376208
3,2610079,78,15,0,2713.167028,180.877801866667,10185.8351457813,99,88,6,7,59,57,24,40,31,2,0.374733625
3,2610080,78,14,0,3172.790441,226.627888642857,12443.9522045963,103,96,1,7,69,67,27,34,29,2,0.283605791
3,2610081,78,13,0,3014.442287,231.880175923077,11432.2114337469,111,102,2,7,72,70,23,39,32,2,0.2081205
3,2610082,78,16,0,2995.395453,187.2122158125,11851.977254004,91,84,2,6,57,55,33,34,29,2,0.278809917
3,2610083,78,12,0,2811.564967,234.297080583333,10312.824842324,114,107,4,7,88,86,32,26,21,2,0.184998208
3,2610084,78,12,0,3054.258788,254.521565666667,11581.2939555167,113,107,2,7,80,78,24,33,29,2,0.230119125
3,2610085,78,10,0,2833.594006,283.3594006,10407.9700462487,116,113,3,7,96,94,26,20,19,2,0.164379291
3,2610086,78,15,0,3146.590374,209.7726916,12187.9518784055,106,101,1,7,68,67,33,38,34,1,0.230465458
3,2610087,78,14,0,3221.017588,230.072684857143,12355.0879287172,113,106,3,7,78,77,36,35,29,1,0.218653792
3,2610088,78,14,0,2959.453904,211.389564571429,11192.2695059573,108,102,3,7,75,72,33,33,30,3,0.239826042
3,2610089,78,12,0,2683.67433,223.6395275,9983.37165968427,104,98,3,7,74,73,18,30,25,1,0.21236525
3,2610090,78,16,0,3150.188492,196.88678075,12300.9424529105,102,94,2,7,62,61,34,40,33,1,0.2702125
3,2610091,78,11,0,2830.158796,257.287163272727,10365.7939744161,116,110,4,7,95,93,32,21,17,2,0.144141042
3,2610092,78,15,0,3033.731401,202.248760066667,11688.6570301237,103,97,3,7,67,65,32,36,32,2,0.280943875
3,2610093,78,11,0,2947.147211,267.922473727273,11270.7360513042,107,100,1,7,84,81,21,23,19,3,0.139327792
3,2610094,78,13,0,2943.768891,226.443760846154,11153.8444680237,107,98,5,7,74,73,25,33,25,1,0.282026458
3,2610095,78,16,0,3053.805116,190.86281975,11659.0255659581,107,98,3,7,64,62,36,43,36,2,0.354943583
3,2610096,78,13,0,2950.400347,226.953872846154,10892.0017346057,119,112,0,7,90,89,41,29,23,1,0.21498025
