problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m,residual_calls,residual_replaced,residual_retired,rollout_calls,rollout_replaced
3,2660001,56,5,13,13,2959.247287,227.6344066923,11171.23642918,107,98,9,0,163,21,4,32269,0,23,23,32,0.166247459,seven_point_per_channel,0,0,0,0,0,0,0
3,2660002,56,5,13,13,2762.848818,212.5268321538,10429.24408754,102,96,2,0,141,17,1,27996,0,29,29,25,0.146724,seven_point_per_channel,0,0,0,0,0,0,0
3,2660003,56,5,11,11,2991.225731,271.9296119091,11181.12866141,114,109,7,0,105,19,4,22316,0,14,14,30,0.113003417,seven_point_per_channel,0,0,0,0,0,0,0
3,2660004,56,5,13,13,2984.31485,229.5626807692,11261.57425818,110,102,5,0,114,17,5,23048,0,20,20,29,0.118056708,seven_point_per_channel,0,0,0,0,0,0,0
3,2660005,56,5,14,14,3171.119768,226.5085548571,12120.59882298,109,96,12,1,181,27,5,36255,0,22,16,39,0.23310625,seven_point_per_channel,0,0,0,0,0,0,0
3,2660006,56,5,16,16,3146.380404,196.64877525,12076.90200602,106,97,8,0,144,26,4,29874,0,25,25,36,0.152193541,upper_bound_16,0,0,0,0,0,0,0
3,2660007,56,5,11,11,2915.073859,265.0067144545,10345.3692873,128,121,10,0,118,23,4,23982,0,19,18,34,0.113532083,seven_point_per_channel,0,0,0,0,0,0,0
3,2660008,56,5,14,14,3107.057393,221.9326709286,11665.28697777,113,103,12,0,166,28,4,33248,0,29,26,39,0.167235166,seven_point_per_channel,0,0,0,0,0,0,0
3,2660009,56,5,14,14,3206.534161,229.0381543571,12472.67080482,107,101,2,0,113,19,3,22981,0,18,18,29,0.113425875,seven_point_per_channel,0,0,0,0,0,0,0
3,2660010,56,5,15,15,3173.714777,211.5809851333,12058.57388854,112,106,7,0,128,23,5,28302,0,25,25,35,0.132498667,seven_point_per_channel,0,0,0,0,0,0,0
3,2660011,56,5,14,14,3174.66399,226.7617135714,11783.31994732,120,109,13,1,150,29,5,29763,0,23,22,41,0.147988,seven_point_per_channel,0,0,0,0,0,0,0
3,2660012,56,5,11,11,3164.601487,287.6910442727,12018.00744409,118,110,2,0,79,14,3,17603,0,16,16,24,0.087191208,seven_point_per_channel,0,0,0,0,0,0,0
3,2660013,56,5,14,14,3145.664637,224.6903312143,11478.32317574,121,112,21,0,160,25,9,29655,0,25,25,41,0.160017292,seven_point_per_channel,0,0,0,0,0,0,0
3,2660014,56,5,10,10,2684.137816,268.4137816,9820.689091346,111,106,3,0,109,12,5,22174,0,15,14,24,0.116359417,seven_point_per_channel,0,0,0,0,0,0,0
3,2660015,56,5,11,11,2858.553349,259.8684862727,10262.76671942,124,116,5,0,68,20,4,14406,0,12,12,31,0.066253125,seven_point_per_channel,0,0,0,0,0,0,0
3,2660016,56,5,10,10,2883.130824,288.3130824,10520.65411858,120,114,5,0,112,16,4,24873,0,23,23,27,0.120351583,seven_point_per_channel,0,0,0,0,0,0,0
3,2660017,56,5,10,10,3026.180954,302.6180954,11375.90477409,116,109,4,0,73,14,3,15063,0,13,12,24,0.0717405,seven_point_per_channel,0,0,0,0,0,0,0
3,2660018,56,5,12,12,3124.162907,260.3469089167,11985.81453474,111,106,2,0,106,22,0,21227,0,15,15,29,0.099904917,seven_point_per_channel,0,0,0,0,0,0,0
3,2660019,56,5,10,10,3139.789527,313.9789527,12088.94763438,111,108,3,0,100,17,2,21195,0,10,10,26,0.09545675,seven_point_per_channel,0,0,0,0,0,0,0
3,2660020,56,5,12,12,2949.429634,245.7858028333,10757.14818146,122,113,5,1,111,19,3,20070,0,20,20,29,0.101899375,seven_point_per_channel,0,0,0,0,0,0,0
3,2660021,56,5,16,16,3030.537619,189.4086011875,11677.68809389,98,92,11,0,195,29,2,36966,0,34,32,37,0.197838875,upper_bound_16,0,0,0,0,0,0,0
3,2660022,56,5,16,16,3275.928559,204.7455349375,12624.6428031,106,99,14,0,254,24,8,48246,0,35,32,38,0.244735292,upper_bound_16,0,0,0,0,0,0,0
3,2660023,56,5,11,11,2891.550474,262.8682249091,10437.75238007,122,109,10,0,111,20,3,21114,0,25,25,30,0.104817709,seven_point_per_channel,0,0,0,0,0,0,0
3,2660024,56,5,15,15,3153.932312,210.2621541333,11349.66156076,129,122,14,0,177,24,9,31302,0,30,29,40,0.159022666,seven_point_per_channel,0,0,0,0,0,0,0
