problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m,residual_calls,residual_replaced,residual_retired,rollout_calls,rollout_replaced
3,2640037,84,3,11,11,2143.71855,194.8835045455,7818.592748163,83,77,11,0,65,12,3,6637,0,5,5,22,0.037108,seven_point_per_channel,3,27.04172766723,0,0,0,0,0
3,2640038,84,3,11,11,2024.218448,184.0198589091,7476.092238708,80,74,0,0,27,7,0,2519,0,5,5,14,0.015614584,seven_point_per_channel,6,0.4924619293542,0,0,0,0,0
3,2640039,84,3,10,10,2052.981478,205.2981478,7464.907395067,86,80,0,0,27,7,0,3509,0,5,5,14,0.023158,seven_point_per_channel,0,0,0,0,0,0,0
3,2640040,84,3,10,10,2065.714078,206.5714078,7473.570392232,86,79,4,0,51,11,0,5241,0,5,5,18,0.031800583,seven_point_per_channel,0,0,0,0,0,0,0
4,2640001,84,3,15,15,5090.460886,339.3640590667,20572.30443055,147,127,13,7,149,25,7,26935,0,0,0,53,1.418546834,convex_mesh_per_channel,2,0.007929180075735,374,4,0,0,0
4,2640002,84,3,15,15,5142.738067,342.8492044667,20533.69034696,150,130,27,7,231,40,7,44145,0,0,0,68,1.77455675,convex_mesh_per_channel,1,1.75797158002,374,4,0,0,0
4,2640003,84,3,10,10,5607.070231,560.7070231,20505.35116223,238,218,16,5,77,21,5,12977,0,0,0,47,1.283537,convex_mesh_per_channel,1,2.176270297554,374,4,0,0,0
4,2640004,84,3,15,15,5124.250697,341.6167131333,20526.25350051,149,130,23,5,201,36,5,39026,0,0,0,62,1.756372583,convex_mesh_per_channel,1,2.196143086327,374,4,0,0,0
4,2640005,84,3,16,16,1109.19168,69.32448,2965.958411571,60,58,26,9,264,45,9,51622,0,0,0,56,0.820943458,upper_bound_16,0,0,48,1,0,0,0
4,2640006,84,3,10,10,5607.642543,560.7642543,20533.21272154,236,217,18,4,68,19,4,14010,0,0,0,44,1.396508583,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640007,84,3,11,11,5430.542741,493.6857037273,20027.71372502,222,203,19,5,82,22,5,13236,0,0,0,48,1.366859083,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640008,84,3,16,16,1120.377815,70.0236134375,3001.889087018,59,58,29,9,242,43,9,45387,0,0,0,54,0.727116625,upper_bound_16,0,0,48,1,0,0,0
4,2640009,84,3,16,16,1025.104955,64.0690596875,2995.524778131,52,50,12,5,158,28,5,22534,0,0,0,35,0.476098292,upper_bound_16,0,0,48,1,0,0,0
4,2640010,84,3,10,10,5622.837082,562.2837082,20549.18542012,238,219,18,4,72,21,4,14533,0,0,0,46,1.216388125,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640011,84,3,12,12,5264.196067,438.6830055833,19995.9803455,198,179,12,3,66,18,3,10668,0,0,0,42,1.288171125,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640012,84,3,15,15,5126.3767,341.7584466667,20756.88352568,147,129,12,4,155,28,4,21806,0,0,0,53,1.402382958,convex_mesh_per_channel,3,0.05067599844551,374,4,0,0,0
4,2640013,84,3,10,10,5628.608927,562.8608927,20553.04464876,237,217,22,5,84,25,5,16097,0,0,0,51,1.347988833,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640014,84,3,11,11,5374.525649,488.5932408182,19972.62825596,218,199,12,3,66,18,3,11008,0,0,0,42,1.250196334,convex_mesh_per_channel,1,3.112822074898,374,4,0,0,0
4,2640015,84,3,15,15,5134.959938,342.3306625333,20499.79970344,154,133,19,4,220,41,4,42919,0,0,0,66,1.728715334,convex_mesh_per_channel,1,0,374,4,0,0,0
4,2640016,84,3,12,12,5287.780716,440.648393,19963.9035834,200,181,18,4,84,22,4,15586,0,0,0,47,1.374036875,convex_mesh_per_channel,2,10.17881262463,374,4,0,0,0
4,2640017,84,3,12,12,5308.531069,442.3775890833,19997.6553581,201,181,21,5,96,25,5,17283,0,0,0,51,1.424033875,convex_mesh_per_channel,1,0.004529400404863,374,4,0,0,0
4,2640018,84,3,11,11,5376.52197,488.7747245455,19957.60986621,218,198,14,3,74,20,3,11831,0,0,0,44,1.243670041,convex_mesh_per_channel,3,1.929852839487,374,4,0,0,0
4,2640019,84,3,16,16,1081.334293,67.5833933125,2946.671472925,58,56,22,7,231,39,7,36795,0,0,0,48,0.6363025,upper_bound_16,0,0,48,1,0,0,0
4,2640020,84,3,13,13,5330.309586,410.0238143077,20541.54794658,186,167,20,4,137,31,4,26522,0,0,0,56,1.505409583,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640021,84,3,12,12,5263.672887,438.63940725,20013.36444379,195,175,17,7,70,15,7,10150,0,0,0,43,1.376469375,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640022,84,3,15,15,5149.029425,343.2686283333,20530.14713081,151,132,27,6,237,43,6,47913,0,0,0,70,1.862840917,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640023,84,3,15,15,5143.718507,342.9145671333,20553.5925437,151,131,24,7,210,37,7,40041,0,0,0,65,1.753614834,convex_mesh_per_channel,3,7.042336163606,374,4,0,0,0
4,2640024,84,3,11,11,5402.420478,491.1291343636,20022.10239997,218,196,19,4,65,18,4,10627,0,0,0,43,1.192407834,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640025,84,3,15,15,5172.400091,344.8266727333,20637.0004663,150,130,30,7,238,43,7,51513,0,0,0,71,1.665407875,convex_mesh_per_channel,1,10.87314029938,374,4,0,0,0
4,2640026,84,3,13,13,5334.287285,410.3297911538,20521.43643042,187,167,21,4,166,36,4,33289,0,0,0,61,1.599523875,convex_mesh_per_channel,4,25.26460078827,374,4,0,0,0
4,2640027,84,3,16,16,1042.091637,65.1307273125,2970.458196393,52,51,19,7,200,33,7,30208,0,0,0,42,0.54305225,upper_bound_16,0,0,48,1,0,0,0
4,2640028,84,3,16,16,1095.374757,68.4609223125,2966.873784858,57,56,27,8,268,45,8,52424,0,0,0,55,0.832717792,upper_bound_16,1,1.678932978817,48,1,0,0,0
4,2640029,84,3,12,12,5276.601727,439.7168105833,20043.00864347,196,177,17,7,70,15,7,11040,0,0,0,43,1.343095708,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640030,84,3,15,15,5159.325998,343.9550665333,20501.62999881,153,132,29,8,250,44,8,57794,0,0,0,73,1.772316125,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640031,84,3,16,16,1080.475841,67.5297400625,2957.379208839,58,56,21,5,247,43,5,42481,0,0,0,50,0.761008375,upper_bound_16,0,0,48,1,0,0,0
4,2640032,84,3,16,16,1128.457966,70.528622875,3122.289845227,56,54,30,9,204,38,9,38654,0,0,0,49,0.652273,upper_bound_16,2,5.066093142839,48,1,0,0,0
4,2640033,84,3,15,15,5087.877332,339.1918221333,20539.38666881,147,128,14,6,159,28,6,27072,0,0,0,55,1.556903042,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640034,84,3,10,10,5637.328523,563.7328523,20651.642632,235,216,22,5,58,17,5,11138,0,0,0,43,1.173020292,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640035,84,3,16,16,1072.416984,67.0260615,3032.084932115,55,54,19,8,160,28,8,23549,0,0,0,38,0.477511042,upper_bound_16,2,2.096773313027,48,1,0,0,0
4,2640036,84,3,16,16,1066.798585,66.6749115625,2928.992933715,57,56,20,6,215,37,6,38544,0,0,0,45,0.61041875,upper_bound_16,3,9.374854142859,48,1,0,0,0
4,2640037,84,3,11,11,5458.686718,496.2442470909,20153.43359696,219,200,26,5,102,25,5,22762,0,0,0,51,1.366988792,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640038,84,3,11,11,5422.731856,492.9756232727,20023.65928298,220,200,21,5,104,27,5,21207,0,0,0,53,1.524830583,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640039,84,3,10,10,5617.92781,561.792781,20509.63906942,238,219,19,4,83,24,4,15840,0,0,0,49,1.393017709,convex_mesh_per_channel,0,0,374,4,0,0,0
4,2640040,84,3,10,10,5631.035552,563.1035552,20535.17779284,236,216,26,6,87,23,6,18556,0,0,0,50,1.296575584,convex_mesh_per_channel,0,0,374,4,0,0,0
