date,baseline_cost_yuan,candidate_cost_yuan,saving_yuan,baseline_emergency_kwh,candidate_emergency_kwh,baseline_spill_kwh,candidate_spill_kwh,baseline_ending_inventory_kwh,candidate_ending_inventory_kwh
2025-02-01,20866.872237886364,20866.872237886364,0.0,7.691625114603085e-12,7.691625114603085e-12,3526.6514341774064,3526.6514341774064,10320.0,10320.0
2025-02-02,61846.66983119197,61846.66983119197,0.0,1.2015277661703294e-11,1.2015277661703294e-11,3603.865058685272,3603.865058685272,8005.053003530739,8005.053003530739
2025-02-03,63986.34640511639,63986.34640511639,0.0,1.758593271006248e-11,1.758593271006248e-11,2328.5062732250935,2328.5062732250935,6713.450009568383,6713.450009568383
2025-02-04,66916.82205923522,66916.82205923522,0.0,1.4480860954790842e-11,1.4480860954790842e-11,3670.173417106274,3670.173417106274,6034.154947579098,6034.154947579098
2025-02-05,63600.26571882317,63600.26571882317,0.0,1.986100173212435e-11,1.986100173212435e-11,1400.2446470002878,1400.2446470002878,7267.709554211694,7267.709554211694
2025-02-06,63439.320372771836,63439.320372771836,0.0,6.968953697103922,6.968953697103922,1385.239552346091,1385.239552346091,4257.531565660658,4257.531565660658
2025-02-07,20235.873857918086,20235.873857918086,0.0,82.41569127925064,82.41569127925064,6713.668532232361,6713.668532232361,7072.228879219194,7072.228879219194
2025-02-08,17260.755423793296,17260.755423793296,0.0,1.4914292023604503e-11,1.4914292023604503e-11,1872.7576435948797,1872.7576435948797,10291.651844436929,10291.651844436929
2025-02-09,60147.39353480625,60147.39353480625,0.0,1.737987531669205e-11,1.737987531669205e-11,1930.5277776364337,1930.5277776364337,5676.145261622307,5676.145261622307
2025-02-10,57241.8512318538,57241.8512318538,0.0,1.4639400802707314e-11,1.4639400802707314e-11,1211.9925468687677,1211.9925468687677,6121.586819309954,6121.586819309954
2025-02-11,58400.37130320928,58400.37130320928,0.0,457.8429983253967,457.8429983253967,229.6446699495168,229.6446699495168,5698.358249345633,5698.358249345633
2025-02-12,57216.06891453073,57216.06891453073,0.0,1.7831958132319414e-11,1.7831958132319414e-11,729.0268692433837,729.0268692433837,7342.225285046913,7342.225285046913
2025-02-13,51498.7631684573,51498.7631684573,0.0,27.16382616242045,27.16382616242045,1702.1156302818495,1702.1156302818495,2087.389963133786,2087.389963133786
2025-02-14,17281.510434449636,17281.510434449636,0.0,1.517719283583574e-11,1.517719283583574e-11,3536.6388838021953,3536.6388838021953,5255.777958187044,5255.777958187044
2025-02-15,18305.365810662555,18305.365810662555,0.0,1.5447199075424578e-11,1.5447199075424578e-11,3138.503691120802,3138.503691120802,10539.194184548074,10539.194184548074
2025-02-16,56230.97799326547,56230.97799326547,0.0,12.854282298829089,12.854282298829089,2.226085982215409e-11,2.226085982215409e-11,7109.229258324955,7109.229258324955
2025-02-17,54527.48832292206,54527.48832292206,0.0,26.61401640921025,26.61401640921025,725.4565510689376,725.4565510689376,6242.395210924009,6242.395210924009
2025-02-18,51533.04353334301,51533.04353334301,0.0,2.0410340084708878e-11,2.0410340084708878e-11,788.6565121055816,788.6565121055816,4565.923531176059,4565.923531176059
2025-02-19,53942.217436602965,53942.217436602965,0.0,46.88121986785536,46.88121986785536,638.1908988943263,638.1908988943263,5737.406548794579,5737.406548794579
2025-02-20,51699.30561827199,51699.30561827199,0.0,33.098494074089885,33.098494074089885,1262.7626000065222,1262.7626000065222,2212.3876934315413,2212.3876934315413
2025-02-21,16495.188374907688,16495.188374907688,0.0,1.028865881380625e-11,1.028865881380625e-11,6035.032933209715,6035.032933209715,5935.617868081343,5935.617868081343
2025-02-22,17011.59992835242,17011.59992835242,0.0,1.1425527191022411e-11,1.1425527191022411e-11,3693.7721329318147,3693.7721329318147,10368.309994505036,10368.309994505036
2025-02-23,50850.37126766582,50850.37126766582,0.0,17.00100516402397,17.00100516402397,702.3720972277791,702.3720972277791,6405.917927059622,6405.917927059622
2025-02-24,50047.549239443906,50047.549239443906,0.0,29.07246666668257,29.07246666668257,1357.332999603962,1357.332999603962,5374.949775326317,5374.949775326317
