kind,channel,x,y,result,angle,time
measure,1,-950,-1645.44826719,0,0,4378.855244
measure,2,-950,-1645.44826719,0,0,4384.855244
measure,6,-950,-1645.44826719,0,0,4390.855244
measure,9,-950,-1645.44826719,0,0,4396.855244
measure,9,-1900,-1645.44826719,0,0,4591.855244
measure,14,-1900,-1645.44826719,0,0,4597.855244
measure,16,-1900,-1645.44826719,0,0,4603.855244
measure,17,-1900,-1645.44826719,0,0,4609.855244
measure,18,-1900,-1645.44826719,0,0,4615.855244
measure,19,-1900,-1645.44826719,0,0,4621.855244
measure,1,-1900,-1645.44826719,0,0,4627.855244
measure,2,-1900,-1645.44826719,0,0,4633.855244
measure,6,-1900,-1645.44826719,0,0,4639.855244
measure,6,-2375,-822.724133595,0,0,4834.855244
measure,9,-2375,-822.724133595,0,0,4840.855244
measure,14,-2375,-822.724133595,0,0,4846.855244
measure,16,-2375,-822.724133595,0,0,4852.855244
measure,17,-2375,-822.724133595,0,0,4858.855244
measure,18,-2375,-822.724133595,0,0,4864.855244
measure,19,-2375,-822.724133595,0,0,4870.855244
measure,1,-2375,-822.724133595,0,0,4876.855244
measure,2,-2375,-822.724133595,0,0,4882.855244
measure,2,-1900,0,0,0,5077.855244
measure,6,-1900,0,0,0,5083.855244
measure,9,-1900,0,0,0,5089.855244
measure,14,-1900,0,0,0,5095.855244
measure,16,-1900,0,0,0,5101.855244
measure,17,-1900,0,0,0,5107.855244
measure,18,-1900,0,0,0,5113.855244
measure,19,-1900,0,0,0,5119.855244
measure,1,-1900,0,0,0,5125.855244
measure,1,-2375,822.724133595,0,0,5320.855244
measure,2,-2375,822.724133595,0,0,5326.855244
measure,6,-2375,822.724133595,0,0,5332.855244
measure,9,-2375,822.724133595,0,0,5338.855244
measure,14,-2375,822.724133595,0,0,5344.855244
measure,16,-2375,822.724133595,0,0,5350.855244
measure,17,-2375,822.724133595,0,0,5356.855244
measure,18,-2375,822.724133595,0,0,5362.855244
measure,19,-2375,822.724133595,0,0,5368.855244
measure,19,-1900,1645.44826719,0,0,5563.855244
measure,1,-1900,1645.44826719,0,0,5569.855244
measure,2,-1900,1645.44826719,0,0,5575.855244
measure,6,-1900,1645.44826719,0,0,5581.855244
measure,9,-1900,1645.44826719,0,0,5587.855244
measure,14,-1900,1645.44826719,0,0,5593.855244
measure,16,-1900,1645.44826719,0,0,5599.855244
measure,17,-1900,1645.44826719,0,0,5605.855244
measure,18,-1900,1645.44826719,0,0,5611.855244
measure,18,-475,822.724133595,0,0,5945.944897
measure,19,-475,822.724133595,0,0,5951.944897
measure,1,-475,822.724133595,0,0,5957.944897
measure,2,-475,822.724133595,0,0,5963.944897
measure,6,-475,822.724133595,0,0,5969.944897
measure,9,-475,822.724133595,0,0,5975.944897
measure,14,-475,822.724133595,0,0,5981.944897
measure,16,-475,822.724133595,0,0,5987.944897
measure,17,-475,822.724133595,0,0,5993.944897
measure,17,-950,0,0,0,6188.944897
measure,18,-950,0,0,0,6194.944897
measure,19,-950,0,0,0,6200.944897
measure,1,-950,0,0,0,6206.944897
measure,2,-950,0,0,0,6212.944897
measure,6,-950,0,0,0,6218.944897
measure,9,-950,0,0,0,6224.944897
measure,14,-950,0,0,0,6230.944897
measure,16,-950,0,0,0,6236.944897
measure,16,-475,-822.724133595,0,0,6431.944897
measure,17,-475,-822.724133595,0,0,6437.944897
measure,18,-475,-822.724133595,0,0,6443.944897
measure,19,-475,-822.724133595,0,0,6449.944897
measure,1,-475,-822.724133595,0,0,6455.944897
measure,2,-475,-822.724133595,0,0,6461.944897
measure,6,-475,-822.724133595,0,0,6467.944897
measure,9,-475,-822.724133595,0,0,6473.944897
measure,14,-475,-822.724133595,0,0,6479.944897
measure,14,0,-1645.44826719,0,0,6674.944897
measure,16,0,-1645.44826719,0,0,6680.944897
measure,17,0,-1645.44826719,0,0,6686.944897
measure,18,0,-1645.44826719,0,0,6692.944897
measure,19,0,-1645.44826719,0,0,6698.944897
measure,1,0,-1645.44826719,0,0,6704.944897
measure,2,0,-1645.44826719,0,0,6710.944897
measure,6,0,-1645.44826719,0,0,6716.944897
measure,9,0,-1645.44826719,0,0,6722.944897
measure,9,-475,-2468.17240079,0,0,6917.944897
measure,14,-475,-2468.17240079,0,0,6923.944897
measure,16,-475,-2468.17240079,0,0,6929.944897
measure,17,-475,-2468.17240079,0,0,6935.944897
measure,18,-475,-2468.17240079,2,44.91,6941.944897
measure,19,-475,-2468.17240079,0,0,6947.944897
measure,1,-475,-2468.17240079,0,0,6953.944897
measure,2,-475,-2468.17240079,0,0,6959.944897
measure,6,-475,-2468.17240079,0,0,6965.944897
measure,18,-155.636084735,-1726.21102064,2,12.36,7133.499841
measure,18,391.954183845,-1605.22317737,0,0,7250.659221
measure,18,356.654424418,-1569.81234591,0,0,7265.659221
measure,18,391.954183845,-1605.22317737,0,0,7280.659221
measure,18,356.654424418,-1569.81234591,0,0,7295.659221
measure,18,391.954183845,-1605.22317737,0,0,7310.659221
measure,18,356.654424418,-1569.81234591,0,0,7325.659221
clear,18,371.858227859,-1640.20159011,0,0,7343.061723
clear,18,356.504693056,-1624.79974483,1,0,7352.411196
measure,19,950,-1645.44826719,0,0,7477.182075
measure,1,950,-1645.44826719,0,0,7483.182075
measure,2,950,-1645.44826719,0,0,7489.182075
measure,6,950,-1645.44826719,0,0,7495.182075
measure,9,950,-1645.44826719,0,0,7501.182075
measure,14,950,-1645.44826719,0,0,7507.182075
measure,16,950,-1645.44826719,0,0,7513.182075
measure,17,950,-1645.44826719,0,0,7519.182075
measure,17,475,-822.724133595,0,0,7714.182075
measure,19,475,-822.724133595,0,0,7720.182075
measure,1,475,-822.724133595,0,0,7726.182075
measure,2,475,-822.724133595,0,0,7732.182075
measure,6,475,-822.724133595,0,0,7738.182075
measure,9,475,-822.724133595,0,0,7744.182075
measure,14,475,-822.724133595,0,0,7750.182075
measure,16,475,-822.724133595,0,0,7756.182075
measure,16,1425,-822.724133595,0,0,7951.182075
measure,17,1425,-822.724133595,0,0,7957.182075
measure,19,1425,-822.724133595,0,0,7963.182075
measure,1,1425,-822.724133595,0,0,7969.182075
measure,2,1425,-822.724133595,0,0,7975.182075
measure,6,1425,-822.724133595,0,0,7981.182075
measure,9,1425,-822.724133595,0,0,7987.182075
measure,14,1425,-822.724133595,0,0,7993.182075
measure,14,1900,-1645.44826719,0,0,8188.182075
measure,16,1900,-1645.44826719,0,0,8194.182075
measure,17,1900,-1645.44826719,0,0,8200.182075
measure,19,1900,-1645.44826719,0,0,8206.182075
measure,1,1900,-1645.44826719,0,0,8212.182075
measure,2,1900,-1645.44826719,0,0,8218.182075
measure,6,1900,-1645.44826719,0,0,8224.182075
measure,9,1900,-1645.44826719,0,0,8230.182075
measure,9,2375,-822.724133595,0,0,8425.182075
measure,14,2375,-822.724133595,0,0,8431.182075
measure,16,2375,-822.724133595,0,0,8437.182075
measure,17,2375,-822.724133595,0,0,8443.182075
measure,19,2375,-822.724133595,0,0,8449.182075
measure,1,2375,-822.724133595,0,0,8455.182075
measure,2,2375,-822.724133595,0,0,8461.182075
measure,6,2375,-822.724133595,0,0,8467.182075
measure,6,2375,822.724133595,0,0,8801.271728
measure,9,2375,822.724133595,0,0,8807.271728
measure,14,2375,822.724133595,0,0,8813.271728
measure,16,2375,822.724133595,0,0,8819.271728
measure,17,2375,822.724133595,0,0,8825.271728
measure,19,2375,822.724133595,0,0,8831.271728
measure,1,2375,822.724133595,0,0,8837.271728
measure,2,2375,822.724133595,0,0,8843.271728
measure,2,1900,1645.44826719,0,0,9038.271728
measure,6,1900,1645.44826719,0,0,9044.271728
measure,9,1900,1645.44826719,0,0,9050.271728
measure,14,1900,1645.44826719,0,0,9056.271728
measure,16,1900,1645.44826719,0,0,9062.271728
measure,17,1900,1645.44826719,0,0,9068.271728
measure,19,1900,1645.44826719,0,0,9074.271728
measure,1,1900,1645.44826719,0,0,9080.271728
measure,1,950,1645.44826719,0,0,9275.271728
measure,2,950,1645.44826719,0,0,9281.271728
measure,6,950,1645.44826719,0,0,9287.271728
measure,9,950,1645.44826719,0,0,9293.271728
measure,14,950,1645.44826719,0,0,9299.271728
measure,16,950,1645.44826719,0,0,9305.271728
measure,17,950,1645.44826719,0,0,9311.271728
measure,19,950,1645.44826719,0,0,9317.271728
measure,19,475,2468.17240079,0,0,9512.271728
measure,1,475,2468.17240079,0,0,9518.271728
measure,2,475,2468.17240079,0,0,9524.271728
measure,6,475,2468.17240079,0,0,9530.271728
measure,9,475,2468.17240079,0,0,9536.271728
measure,14,475,2468.17240079,0,0,9542.271728
measure,16,475,2468.17240079,0,0,9548.271728
measure,17,475,2468.17240079,0,0,9554.271728
measure,17,-475,2468.17240079,0,0,9749.271728
measure,19,-475,2468.17240079,0,0,9755.271728
measure,1,-475,2468.17240079,0,0,9761.271728
measure,2,-475,2468.17240079,0,0,9767.271728
measure,6,-475,2468.17240079,0,0,9773.271728
measure,9,-475,2468.17240079,0,0,9779.271728
measure,14,-475,2468.17240079,0,0,9785.271728
measure,16,-475,2468.17240079,0,0,9791.271728
measure,16,475,-2468.17240079,0,0,10801.657226
measure,17,475,-2468.17240079,0,0,10807.657226
measure,19,475,-2468.17240079,0,0,10813.657226
measure,1,475,-2468.17240079,0,0,10819.657226
measure,2,475,-2468.17240079,0,0,10825.657226
measure,6,475,-2468.17240079,0,0,10831.657226
measure,9,475,-2468.17240079,0,0,10837.657226
measure,14,475,-2468.17240079,0,0,10843.657226
