problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
4,2610054,78,13,11,6143.827251,472.602096230769,21434.1362811588,298,284,6,21,276,267,129,22,17,9,0.581531916
4,2610055,78,12,8,5960.791198,496.732599833333,21183.9559937663,275,262,9,21,257,245,89,18,17,12,0.482299834
4,2610056,78,13,12,6056.724958,465.901919846154,22138.6248075329,250,233,27,21,225,212,78,25,21,13,1.140989083
4,2610057,78,13,5,5393.71792,414.901378461538,20043.5895973889,219,207,6,21,196,185,49,23,22,11,1.271860791
4,2610058,78,11,7,5864.392261,533.126569181818,20846.9612976806,275,262,1,21,254,242,65,21,20,12,0.541699375
4,2610059,78,12,4,5723.762957,476.980246416667,20523.8147909387,258,248,7,21,237,227,69,21,21,10,0.90338675
4,2610060,78,15,1,5467.646241,364.5097494,21603.2312047063,176,159,11,21,145,131,40,31,28,14,1.874298792
4,2610061,78,15,9,5859.11332,390.607554666667,22725.5666138537,202,187,14,21,175,163,70,27,24,12,1.436226916
4,2610062,78,15,14,5861.990347,390.799356466667,22114.9517200994,222,209,15,21,192,181,87,30,28,11,1.590232292
4,2610063,78,16,2,3967.124399,247.9452749375,15425.621990499,126,121,17,11,97,94,53,29,27,3,1.830119791
4,2610064,78,13,11,5915.932387,455.071722076923,21574.6619401217,253,244,9,21,228,220,81,25,24,8,1.014518125
4,2610065,78,12,5,5602.918413,466.90986775,20389.5920958073,238,224,17,21,215,203,47,23,21,12,1.203446542
4,2610066,78,12,11,6239.364928,519.947077333333,22736.8246675097,263,248,23,21,245,232,77,18,16,13,0.562677
4,2610067,78,13,6,6002.649682,461.742283230769,22623.2484259749,226,214,23,21,205,194,58,21,20,11,1.021671291
4,2610068,78,12,4,6022.635958,501.886329833333,22063.179807452,253,243,14,21,225,217,57,28,26,8,1.29347875
4,2610069,78,14,11,5605.754447,400.411031928571,21553.7722347165,203,189,7,21,172,161,46,31,28,11,1.185355542
4,2610070,78,14,10,5895.328057,421.094861214286,22016.6402986015,236,221,7,21,211,199,85,25,22,12,0.732031667
4,2610071,78,16,10,6298.918803,393.6824251875,24674.59408267,165,153,102,18,129,122,57,36,31,7,2.340887166
4,2610072,78,16,10,4979.57578,311.22348625,18742.8788701643,184,171,20,13,147,142,95,37,29,5,1.272049167
4,2610073,78,11,1,5471.573003,497.415727545455,20027.8650247009,235,221,5,21,217,204,28,18,17,13,0.78880175
4,2610074,78,13,10,6123.581554,471.044734923077,21927.9077841598,276,266,9,21,251,242,104,25,24,9,0.990411625
4,2610075,78,10,6,5858.311858,585.8311858,19706.5592839801,302,288,23,21,283,272,73,19,16,11,0.6218155
4,2610076,78,14,13,6041.983693,431.570263785714,22334.9184832665,239,223,29,21,216,204,90,23,19,12,0.869006417
4,2610077,78,10,2,5999.398267,599.9398267,20461.991338297,308,293,8,21,291,277,81,17,16,14,0.729722959
4,2610078,78,10,3,6128.943876,612.8943876,21199.7193756441,300,288,17,21,286,274,76,14,14,12,0.493640584
