problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,weighted_gap_ratio,max_relative_gap,skipped,runtime_s,certificate
3,510006,4,16,16,3941.297284,246.33108025,16686.48641906,88,78,2,0,23,20,23,0,669.4030152523,56.40041931164,0.01025819830967,0.08507325463767,0,0.006818,upper_bound_16
3,510006,5,16,16,3904.085942,244.005371375,16105.42970593,101,92,2,0,23,19,23,0,593.8885293053,77.80694845543,0.01398522784674,0.06539286562963,0,0.0035685,upper_bound_16
3,510007,0,11,11,3745.00132,340.4546654545,15170.0066034,110,106,0,0,0,0,0,0,0,0,0,0,0,0.0004533,seven_point_per_channel
3,510007,1,11,11,4020.691319,365.5173926364,16523.45659895,111,106,0,0,0,0,0,0,0,0,0,0,0,0.0004526,seven_point_per_channel
3,510007,2,11,11,4182.447581,380.2225073636,17357.23791561,110,106,0,0,0,0,0,0,0,0,0,0,0,0.0004343,seven_point_per_channel
3,510007,3,11,11,3745.00132,340.4546654545,15170.0066034,110,106,0,0,0,0,0,0,0,0,0,0,0,0.0004355,seven_point_per_channel
3,510007,4,11,11,3745.00132,340.4546654545,15170.0066034,110,106,0,0,18,18,18,0,0,0,0,0,0,0.0015662,seven_point_per_channel
3,510007,5,11,11,3784.826624,344.0751476364,15519.13312667,105,101,0,0,18,18,18,0,0,0,0,0,0,0.0030106,seven_point_per_channel
3,510008,0,13,13,3717.526177,285.9635520769,15542.63088965,92,81,1,1,0,0,0,0,0,0,0,0,0,0.0014282,seven_point_per_channel
3,510008,1,13,13,3837.137374,295.1644133846,16190.68687159,90,81,1,1,0,0,0,0,0,0,0,0,0,0.0013615,seven_point_per_channel
3,510008,2,13,13,3989.006731,306.8466716154,16950.03366062,90,81,1,1,0,0,0,0,0,0,0,0,0,0.0013508,seven_point_per_channel
3,510008,3,13,13,3717.526177,285.9635520769,15542.63088965,92,81,1,1,0,0,0,0,0,0,0,0,0,0.0013627,seven_point_per_channel
3,510008,4,13,13,3717.526177,285.9635520769,15542.63088965,92,81,1,1,20,15,20,0,996.0006251337,174.8610337546,0.03540156657491,0.1202507364094,0,0.0054004,seven_point_per_channel
3,510008,5,13,13,3504.843513,269.6033471538,14644.21756503,86,81,0,0,20,15,20,0,575.2096784489,117.4309497159,0.02073712293226,0.05867711918502,0,0.0047264,seven_point_per_channel
3,510009,0,10,10,2966.88624,296.688624,11249.43121638,112,107,0,0,0,0,0,0,0,0,0,0,0,0.0004365,seven_point_per_channel
3,510009,1,10,10,3055.194313,305.5194313,11715.97157809,111,107,0,0,0,0,0,0,0,0,0,0,0,0.0004213,seven_point_per_channel
3,510009,2,10,10,3161.630127,316.1630127,12273.15064894,110,107,0,0,0,0,0,0,0,0,0,0,0,0.0004092,seven_point_per_channel
3,510009,3,10,10,2966.88624,296.688624,11249.43121638,112,107,0,0,0,0,0,0,0,0,0,0,0,0.0004223,seven_point_per_channel
3,510009,4,10,10,2966.88624,296.688624,11249.43121638,112,107,0,0,17,17,17,0,0,0,0,0,0,0.001434,seven_point_per_channel
3,510009,5,10,10,3155.33491,315.533491,12386.67455207,106,98,0,0,17,16,17,0,411.4492215985,24.20289538814,0.004671620777328,0.04402592315054,0,0.0034402,seven_point_per_channel
3,510010,0,11,11,3450.515795,313.6832540909,13727.57897974,109,102,1,0,0,0,0,0,0,0,0,0,0,0.0006101,seven_point_per_channel
3,510010,1,11,11,3584.639845,325.8763495455,14438.19922931,108,102,0,0,0,0,0,0,0,0,0,0,0,0.0006414,seven_point_per_channel
3,510010,2,11,11,3742.351599,340.2137817273,15226.75800576,108,102,0,0,0,0,0,0,0,0,0,0,0,0.0005962,seven_point_per_channel
3,510010,3,11,11,3450.515795,313.6832540909,13727.57897974,109,102,1,0,0,0,0,0,0,0,0,0,0,0.0005876,seven_point_per_channel
3,510010,4,11,11,3450.515795,313.6832540909,13727.57897974,109,102,1,0,18,18,18,0,0,0,0,0,0,0.0031457,seven_point_per_channel
3,510010,5,11,11,3495.793114,317.799374,14098.96556532,104,98,1,0,18,18,18,0,0,0,0,0,0,0.0029959,seven_point_per_channel
3,510011,0,13,13,2717.870361,209.0669508462,10324.35181345,99,93,0,0,0,0,0,0,0,0,0,0,0,0.0006363,seven_point_per_channel
3,510011,1,13,13,2890.346679,222.3343599231,11186.7333891,99,93,0,0,0,0,0,0,0,0,0,0,0,0.0005993,seven_point_per_channel
3,510011,2,13,13,3059.173935,235.3210719231,12030.86967994,99,93,0,0,0,0,0,0,0,0,0,0,0,0.0006016,seven_point_per_channel
3,510011,3,13,13,2717.870361,209.0669508462,10324.35181345,99,93,0,0,0,0,0,0,0,0,0,0,0,0.0005892,seven_point_per_channel
3,510011,4,13,13,2717.870361,209.0669508462,10324.35181345,99,93,0,0,20,20,20,0,0,0,0,0,0,0.0043466,seven_point_per_channel
3,510011,5,13,13,2848.541316,219.1185627692,11057.70657006,96,89,1,0,20,16,20,0,793.7819184443,130.4478301174,0.02279132290719,0.08111248066056,0,0.0062128,seven_point_per_channel
3,510012,0,15,15,3887.875935,259.191729,16394.37968511,90,81,1,0,0,0,0,0,0,0,0,0,0,0.0011647,seven_point_per_channel
3,510012,1,15,15,4201.903926,280.1269284,17924.51964425,91,81,2,1,0,0,0,0,0,0,0,0,0,0.0011516,seven_point_per_channel
3,510012,2,15,15,4557.901679,303.8601119333,19754.50842038,89,81,2,0,0,0,0,0,0,0,0,0,0,0.0011409,seven_point_per_channel
3,510012,3,15,15,3887.875935,259.191729,16394.37968511,90,81,1,0,0,0,0,0,0,0,0,0,0,0.0011344,seven_point_per_channel
3,510012,4,15,15,3887.875935,259.191729,16394.37968511,90,81,1,0,22,17,22,0,945.8317342034,115.8848948407,0.02601252993506,0.11920215517,0,0.0052481,seven_point_per_channel
3,510012,5,15,15,3902.864328,260.1909552,16404.32165045,92,81,2,0,22,16,22,0,581.9225039567,133.2363034487,0.02207824836836,0.05923863017136,0,0.0055861,seven_point_per_channel
3,510013,0,16,16,4199.292424,262.4557765,17576.46211874,102,94,0,1,0,0,0,0,0,0,0,0,0,0.0006988,upper_bound_16
3,510013,1,16,16,4431.813332,276.98833325,18789.06666083,100,94,0,0,0,0,0,0,0,0,0,0,0,0.000671,upper_bound_16
3,510013,2,16,16,4611.521434,288.220089625,19687.60718995,100,94,0,0,0,0,0,0,0,0,0,0,0,0.0006504,upper_bound_16
