problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,skipped,runtime_s,certificate
3,7,2,11,11,4207.650706,382.5137005455,17553.25353498,108,102,0,0,0,0,0,0,0,0,0,0.0004652,seven_point_per_channel
3,7,3,11,11,3814.707781,346.7916164545,15548.53890299,109,102,1,0,0,0,0,0,0,0,0,0.000472,seven_point_per_channel
3,7,4,11,11,3814.707781,346.7916164545,15548.53890299,109,102,1,0,18,18,18,0,0,0,0,0.0016677,seven_point_per_channel
3,7,5,11,11,3300.815939,300.0741762727,12864.07970058,113,108,0,0,18,18,18,0,0,0,0,0.0016928,seven_point_per_channel
3,8,0,16,16,3205.474551,200.3421594375,13117.37277206,85,77,0,1,0,0,0,0,0,0,0,0.0017179,upper_bound_16
3,8,1,16,16,3349.21971,209.326231875,13836.09855345,85,77,0,1,0,0,0,0,0,0,0,0.001859,upper_bound_16
3,8,2,16,16,3484.643714,217.790232125,14513.21857979,85,77,0,1,0,0,0,0,0,0,0,0.001757,upper_bound_16
3,8,3,16,16,3205.935033,200.3709395625,13199.6751777,82,73,1,1,0,0,0,0,0,0,1,0.0016974,upper_bound_16
3,8,4,16,16,3205.935033,200.3709395625,13199.6751777,82,73,1,1,22,15,22,0,953.2611272815,186.5038808517,1,0.0055581,upper_bound_16
3,8,5,16,16,3352.13968,209.50873,13930.69841071,82,73,1,0,22,15,22,0,912.7334354462,231.2789900218,1,0.0060705,upper_bound_16
3,9,0,11,11,3388.96965,308.08815,13324.84826346,112,106,1,0,0,0,0,0,0,0,0,0.0004584,seven_point_per_channel
3,9,1,11,11,3627.10068,329.7364254545,14515.50340809,112,106,1,0,0,0,0,0,0,0,0,0.000439,seven_point_per_channel
3,9,2,11,11,3830.633405,348.2394004545,15533.16702673,112,106,1,0,0,0,0,0,0,0,0,0.0004364,seven_point_per_channel
3,9,3,11,11,3388.96965,308.08815,13324.84826346,112,106,1,0,0,0,0,0,0,0,0,0.000425,seven_point_per_channel
3,9,4,11,11,3388.96965,308.08815,13324.84826346,112,106,1,0,18,18,18,0,0,0,0,0.0010736,seven_point_per_channel
3,9,5,11,11,3461.091448,314.6446770909,13575.4572465,116,108,1,0,18,18,18,0,0,0,0,0.001111,seven_point_per_channel
