日期,时间段,计划购电_kWh,最终合同购电_kWh,充电_kWh,放电_kWh,紧急购电_kWh,弃电_kWh,电价_元每kWh,时段初SOC_kWh,时段末SOC_kWh
2025-02-01,00:00-00:10,1263.7304856649882,1263.7304856649882,833.3333333333333,0.0,0.0,8.3667856649883,0.4248,6000.0,6750.0
2025-02-01,00:10-00:20,1251.234441698073,1251.234441698073,833.3333333333333,0.0,0.0,2.4937916980729824,0.4245,6750.0,7500.0
2025-02-01,00:20-00:30,1246.2507624439834,1246.2507624439834,833.3333333333333,0.0,0.0,2.2007624439834217,0.4269,7500.0,8250.0
2025-02-01,00:30-00:40,1108.7722676588844,1108.7722676588844,678.4774676588838,0.0,0.0,6.252776074688882e-13,0.4272,8250.0,8860.629720892995
2025-02-01,00:40-00:50,1298.519956420928,1298.519956420928,833.3333333333333,0.0,0.0,40.77603975426155,0.4271,8860.629720892995,9610.629720892995
2025-02-01,00:50-01:00,475.70417776061043,475.70417776061043,69.65251109394457,0.0,7.958078640513122e-13,0.0,0.4285,9610.629720892995,9673.316980877546
2025-02-01,01:00-01:10,518.8864471896353,518.8864471896353,82.13626385630252,0.0,5.684341886080801e-13,0.0,0.4311,9673.316980877546,9747.239618348218
2025-02-01,01:10-01:20,526.33103839283,526.33103839283,74.53335505949629,0.0,0.0,4.547473508864641e-13,0.4302,9747.239618348218,9814.319637901765
2025-02-01,01:20-01:30,514.7416666666667,514.7416666666667,68.66166666666686,0.0,1.7053025658242404e-13,0.0,0.4279,9814.319637901765,9876.115137901765
2025-02-01,01:30-01:40,546.7227524145464,546.7227524145464,74.95641908121291,0.0,0.0,2.2737367544323206e-13,0.4312,9876.115137901765,9943.575915074856
2025-02-01,01:40-01:50,511.45278831535643,511.45278831535643,63.42682164868974,0.0,0.0,5.684341886080802e-14,0.4333,9943.575915074856,10000.660054558677
2025-02-01,01:50-02:00,563.5649999999999,563.5649999999999,166.16166666666686,0.0,2.8421709430404007e-13,0.0,0.4311,10000.660054558677,10150.205554558677
2025-02-01,02:00-02:10,547.9566336603281,547.9566336603281,113.86600032699384,0.0,0.0,9.094947017729282e-13,0.4293,10150.205554558677,10252.684954852972
2025-02-01,02:10-02:20,554.9679380188805,554.9679380188805,64.40702135221322,0.0,0.0,6.821210263296962e-13,0.4324,10252.684954852972,10310.651274069964
2025-02-01,02:20-02:30,538.8551635265568,538.8551635265568,35.635163526557236,0.0,4.547473508864641e-13,0.0,0.4367,10310.651274069964,10342.722921243865
2025-02-01,02:30-02:40,488.8557466543506,488.8557466543506,14.782929987684636,0.0,7.389644451905042e-13,0.0,0.4348,10342.722921243865,10356.027558232781
2025-02-01,02:40-02:50,534.4887166666666,534.4887166666666,73.10431666666571,0.0,0.0,9.663381206337363e-13,0.4335,10356.027558232781,10421.82144323278
2025-02-01,02:50-03:00,503.3528668719295,503.3528668719295,26.411200205263107,0.0,2.8421709430404007e-13,0.0,0.4357,10421.82144323278,10445.591523417517
2025-02-01,03:00-03:10,533.5848375885389,533.5848375885389,50.1852875885379,0.0,0.0,9.663381206337363e-13,0.4374,10445.591523417517,10490.758282247201
2025-02-01,03:10-03:20,516.8435500000013,516.8435500000013,10.268575280887388,0.0,0.0,19.973058052447243,0.4371,10490.758282247201,10500.0
2025-02-01,03:20-03:30,528.4150000000014,528.4150000000014,0.0,27.0,0.0,56.566666666668084,0.4356,10500.0,10470.0
2025-02-01,03:30-03:40,554.2956574552624,554.2956574552624,0.0,27.0,0.0,62.985924121928974,0.4353,10470.0,10440.0
2025-02-01,03:40-03:50,572.2891148815455,572.2891148815455,0.0,-0.0,0.0,63.15564821487885,0.436,10440.0,10440.0
2025-02-01,03:50-04:00,567.8449994100396,567.8449994100396,0.0,27.0,0.0,111.22833274337296,0.4378,10440.0,10410.0
2025-02-01,04:00-04:10,557.8406637237223,557.8406637237223,0.0,27.0,0.0,93.65386372372228,0.4401,10410.0,10380.0
2025-02-01,04:10-04:20,554.7516,554.7516,33.333333333333336,0.0,0.0,16.772983333333343,0.4389,10380.0,10410.0
2025-02-01,04:20-04:30,541.7600000000003,541.7600000000003,0.0,54.0,0.0,90.18166666666701,0.4364,10410.0,10350.0
2025-02-01,04:30-04:40,578.2019166666677,578.2019166666677,0.0,-0.0,0.0,74.97095000000098,0.4393,10350.0,10350.0
2025-02-01,04:40-04:50,592.1403428571413,592.1403428571413,0.0,-0.0,0.0,89.29359285714128,0.4422,10350.0,10350.0
2025-02-01,04:50-05:00,558.5557073620565,558.5557073620565,0.0,27.0,0.0,85.91404069538987,0.4395,10350.0,10320.0
2025-02-01,05:00-05:10,537.3935727463223,537.3935727463223,0.0,54.0,0.0,102.60998941298897,0.4333,10320.0,10260.0
2025-02-01,05:10-05:20,553.5783439703728,553.5783439703728,0.0,54.0,0.0,109.06291063703935,0.4439,10260.0,10200.0
