kind,date,baseline_yuan,main_yuan,saving_yuan
q2,2025-02-01,26283.872570017378,24719.059512919477,1564.813057097901
q2,2025-02-02,58480.87771358886,57257.918170130564,1222.9595434582952
q2,2025-02-03,57082.96972926299,56025.30456404348,1057.6651652195142
q2,2025-02-04,56313.95143931027,55851.80305681804,462.1483824922325
q2,2025-02-05,55851.82761681816,55099.2417147477,752.5859020704593
q2,2025-02-06,57916.297052712755,57163.206316065145,753.0907366476094
q2,2025-02-07,23584.257023399525,22281.8241824595,1302.432840940026
q2,2025-02-08,21332.97817567671,20369.71350255766,963.2646731190507
q2,2025-02-09,54908.951743664285,55484.55958769821,-575.6078440339261
q2,2025-02-10,54623.062291302,54105.51664430571,517.5456469962883
q2,2025-02-11,53687.60612758469,53232.23367924897,455.3724483357146
q2,2025-02-12,53165.607586015285,52711.32753286449,454.28005315079645
q2,2025-02-13,51844.385634103426,51400.68082699117,443.70480711225537
q2,2025-02-14,19631.14565117888,18959.408955718023,671.7366954608551
q2,2025-02-15,19536.289735887593,19152.29889324467,383.99084264292105
q2,2025-02-16,50776.18573477879,50429.013652966554,347.17208181223396
q2,2025-02-17,50464.50302193621,50008.94360664979,455.5594152864214
q2,2025-02-18,49503.56394361806,48645.0455784913,858.518365126758
q2,2025-02-19,48940.182639714156,48314.5375675854,625.6450721287547
q2,2025-02-20,49363.68622629916,48626.97976061047,736.7064656886942
q2,2025-02-21,18543.877388756282,18085.198467765673,458.6789209906092
q2,2025-02-22,19430.72754130445,19070.198847308955,360.5286939954967
q2,2025-02-23,48032.97601455386,47242.84867587064,790.1273386832181
q2,2025-02-24,48470.3541608822,48116.1744931461,354.17966773609805
q2,2025-02-25,47812.618407091126,46906.2152252604,906.4031818307267
q2,2025-02-26,47569.7327559361,46980.99599641771,588.7367595183896
q2,2025-02-27,44832.71733384809,44012.805949557485,819.9113842906081
q2,2025-02-28,17987.776503960893,17501.731991662513,486.04451229838014
q2,2025-03-01,18865.197788167243,18532.020735386366,333.1770527808767
q2,2025-03-02,64525.52719334887,60674.49514847352,3851.032044875348
q2,2025-03-03,59796.33093572929,55861.49854121808,3934.832394511206
q2,2025-03-04,46843.13294125055,46159.90630114573,683.2266401048182
q2,2025-03-05,48626.79937704501,47637.23019302447,989.56918402054
q2,2025-03-06,47233.86878807891,46406.15173943514,827.7170486437681
q2,2025-03-07,17145.426625769407,16786.1002490937,359.32637667570816
q2,2025-03-08,18242.18332596428,18187.000987933734,55.182338030546816
q2,2025-03-09,45879.92892215127,44909.64680571543,970.2821164358465
q2,2025-03-10,45129.275965326655,45867.983496164845,-738.70753083819
q2,2025-03-11,44007.93054402827,43679.63527249769,328.29527153058007
q2,2025-03-12,44148.45365924736,43286.46476273553,861.9888965118298
q2,2025-03-13,45553.285017168346,48419.40241048546,-2866.117393317116
q2,2025-03-14,16263.187818217277,15816.38410959101,446.8037086262666
q2,2025-03-15,17943.059628779378,17614.98536692784,328.07426185153963
q2,2025-03-16,43181.32807434438,42517.783638549896,663.5444357944871
q2,2025-03-17,43877.517271009056,43112.27227060588,765.245000403178
q2,2025-03-18,43291.086964725924,41636.99534776772,1654.0916169582051
q2,2025-03-19,41773.496781964444,40942.389532472385,831.107249492059
q2,2025-03-20,40801.997935587686,40779.74321101731,22.2547245703754
q2,2025-03-21,15827.35572070688,15841.910252134587,-14.554531427706024
q2,2025-03-22,18225.151916418774,17888.65449778607,336.4974186327054
q2,2025-03-23,41418.91585719174,40550.20779688722,868.7080603045251
q2,2025-03-24,40668.75129453831,39482.72147737141,1186.0298171669056
q2,2025-03-25,40005.189457566055,39968.043273421266,37.146184144789004
q2,2025-03-26,40290.19369484099,39690.787258559794,599.4064362811987
q2,2025-03-27,38593.77664567965,37929.00056874957,664.7760769300803
q2,2025-03-28,15295.946984752172,15120.176906789176,175.77007796299586
q2,2025-03-29,16962.30686756783,16737.191985536378,225.114882031452
q2,2025-03-30,39311.366043729235,38685.979786102296,625.3862576269385
q2,2025-03-31,38582.90330872036,37738.5252483954,844.3780603249543
q2,2025-04-01,38993.61661501929,41577.37702142737,-2583.7604064080806
q2,2025-04-02,44508.09276743543,47003.76215615,-2495.6693887145666
q2,2025-04-03,37169.14165597498,36840.04989408123,329.09176189374557
q2,2025-04-04,14865.78346854555,14448.815752868337,416.96771567721225
q2,2025-04-05,17023.83317317319,16757.187360393604,266.64581277958496
q2,2025-04-06,37130.231094135226,36565.060108309124,565.170985826102
q2,2025-04-07,38942.131681156454,38125.678442803866,816.4532383525875
q2,2025-04-08,38811.57875109905,38575.001285286315,236.57746581273386
q2,2025-04-09,38738.13422902716,39919.50773766921,-1181.3735086420565
q2,2025-04-10,34764.87636766792,33983.77926356063,781.0971041072917
q2,2025-04-11,14093.646698663106,13625.721805853309,467.9248928097968
q2,2025-04-12,16951.2727302094,16646.43077495769,304.841955251708
q2,2025-04-13,37296.50897247954,36839.2793419422,457.2296305373384
q2,2025-04-14,37565.80300824844,36030.072738770235,1535.7302694782047
q2,2025-04-15,37336.30945736225,36216.075701875074,1120.2337554871774
q2,2025-04-16,38010.0171857707,37088.74831801445,921.2688677562546
q2,2025-04-17,34504.52581527196,33457.91804998458,1046.6077652873792
q2,2025-04-18,13921.09478906571,13377.376648395935,543.7181406697746
q2,2025-04-19,16041.809474894984,15793.384073425994,248.42540146899046
q2,2025-04-20,36761.433685214164,35876.74575058404,884.6879346301212
q2,2025-04-21,36618.194734549776,35677.689022294,940.5057122557773
q2,2025-04-22,35971.64076677107,34867.096488941424,1104.544277829642
q2,2025-04-23,36136.91221517187,35269.79249434204,867.1197208298327
q2,2025-04-24,32966.65201678371,31920.570602299933,1046.081414483775
q2,2025-04-25,13029.978432937703,12559.141097736861,470.83733520084206
q2,2025-04-26,15715.048718902364,18405.672619189296,-2690.6239002869315
q2,2025-04-27,41634.949099628735,37394.01132472495,4240.9377749037885
q2,2025-04-28,58732.11216046019,50473.9658035114,8258.14635694879
q2,2025-04-29,36990.919985883695,34638.23119445748,2352.6887914262115
q2,2025-04-30,36493.848161018046,35428.77378835276,1065.0743726652872
q2,2025-05-01,42757.86156877086,41088.41821394526,1669.4433548255984
q2,2025-05-02,25491.451389702583,26413.882016618256,-922.4306269156732
q2,2025-05-03,22240.647191582815,22141.548352964805,99.09883861801063
q2,2025-05-04,43974.38774064118,43545.569698058076,428.8180425831015
q2,2025-05-05,45924.054172712385,43732.95150548586,2191.102667226529
q2,2025-05-06,43455.471226380265,41638.52226631572,1816.9489600645466
q2,2025-05-07,48925.97739425313,47281.86422841262,1644.1131658405138
q2,2025-05-08,38342.9275080203,38106.42363234416,236.50387567614234
q2,2025-05-09,16558.89707853619,16505.946484608103,52.950593928086164
q2,2025-05-10,18163.925116512193,17982.728909206067,181.19620730612587
q2,2025-05-11,39001.32560127806,37803.9067737205,1197.4188275575652
q2,2025-05-12,40642.94767939793,40580.96360674889,61.984072649036534
q2,2025-05-13,41866.064891078066,41928.10729023888,-62.04239916081133
q2,2025-05-14,39840.084294887034,39972.04281941191,-131.95852452487452
q2,2025-05-15,35543.31668923214,34296.99290932737,1246.323779904771
q2,2025-05-16,15923.220096275358,16345.353280913136,-422.13318463777796
q2,2025-05-17,19072.726660306245,18922.317903903415,150.40875640283048
q2,2025-05-18,40000.34241236845,39598.555786375575,401.7866259928778
q2,2025-05-19,38026.61983500152,37351.1404465824,675.4793884191167
q2,2025-05-20,37188.28308123786,38632.721336450675,-1444.4382552128154
q2,2025-05-21,39369.99954705084,38980.65986218405,389.3396848667835
q2,2025-05-22,36133.58979313007,35929.85569898099,203.73409414908383
q2,2025-05-23,14501.357619707273,13989.383460636887,511.9741590703852
q2,2025-05-24,18166.199551296464,17608.845524967484,557.3540263289797
q2,2025-05-25,37695.20663600771,36534.06441913714,1161.1422168705685
q2,2025-05-26,37209.55474215449,42193.87838334914,-4984.323641194649
q2,2025-05-27,40294.54828593855,40411.199725792736,-116.65143985418399
q2,2025-05-28,37823.64565821538,36473.065303437965,1350.5803547774121
q2,2025-05-29,33227.90807850596,33893.60930651557,-665.7012280096096
q2,2025-05-30,15888.471900586914,16082.306933800584,-193.8350332136706
q2,2025-05-31,18587.10272594978,18661.695382772214,-74.59265682243495
q2,2025-06-01,97562.57594216173,81346.25360837516,16216.322333786564
q2,2025-06-02,85529.28583323724,78097.66764450769,7431.618188729553
q2,2025-06-03,63524.58235636524,66550.31440399747,-3025.7320476322348
q2,2025-06-04,57814.312203131354,62246.86213134734,-4432.549928215987
q2,2025-06-05,60516.89664526371,60912.5383999595,-395.64175469578913
q2,2025-06-06,42079.586810066256,41629.98305666065,449.6037534056086
q2,2025-06-07,37440.01605501094,39056.06432573131,-1616.04827072037
q2,2025-06-08,58912.11491130544,59299.20050478683,-387.08559348138806
q2,2025-06-09,55729.68413717404,55879.4374995983,-149.7533624242642
q2,2025-06-10,52032.874031424784,51046.54444073796,986.3295906868225
q2,2025-06-11,57660.380975261636,55153.23466116034,2507.1463141012937
q2,2025-06-12,55807.60332511331,54864.464290478856,943.139034634456
q2,2025-06-13,27217.047871447226,26418.892579138912,798.1552923083145
q2,2025-06-14,26490.993740141428,27830.609183281565,-1339.6154431401374
q2,2025-06-15,53044.96241807701,51799.45781947363,1245.5045986033801
q2,2025-06-16,55855.79252648148,56676.214976843155,-820.4224503616788
q2,2025-06-17,58339.21765678993,59053.135776879826,-713.9181200898965
q2,2025-06-18,57718.656349917015,58528.2976650047,-809.6413150876833
q2,2025-06-19,51715.21815930973,48924.02347791837,2791.19468139136
q2,2025-06-20,23505.25134539289,21363.09158145697,2142.1597639359206
q2,2025-06-21,27220.45465378183,28888.198870329452,-1667.7442165476205
q2,2025-06-22,55606.0668050495,56363.180835402716,-757.1140303532156
q2,2025-06-23,50585.21852213162,49150.50725517124,1434.7112669603812
q2,2025-06-24,58566.59553969105,57001.08768848115,1565.507851209899
q2,2025-06-25,49406.05541894378,48391.851190981855,1014.2042279619272
q2,2025-06-26,56762.28291752775,55742.83371863137,1019.4491988963782
q2,2025-06-27,22055.81360366086,22860.137182879516,-804.323579218657
q2,2025-06-28,22181.488928393694,21385.218568079486,796.2703603142072
q2,2025-06-29,49556.022506772526,48602.60866868283,953.4138380896984
q2,2025-06-30,53610.228295207824,54243.0797906018,-632.8514953939739
q2,2025-07-01,62283.588976729196,59944.94638360853,2338.6425931206686
q2,2025-07-02,59742.79989304433,57779.12074898954,1963.6791440547895
q2,2025-07-03,69931.77354931054,68630.53118175219,1301.242367558356
q2,2025-07-04,37079.01317355531,34541.96482655901,2537.0483469963
q2,2025-07-05,37426.90400800245,36565.62882229624,861.2751857062103
q2,2025-07-06,74887.75241200213,70750.05074017188,4137.7016718302475
q2,2025-07-07,67749.48784308867,67286.7450455341,462.74279755457246
q2,2025-07-08,58289.68406918185,58440.044427507135,-150.36035832528432
q2,2025-07-09,57032.15376787213,56974.1563503153,57.99741755682771
q2,2025-07-10,53622.70769138353,52298.53314663513,1324.1745447484063
q2,2025-07-11,27148.73354420958,26535.62316407521,613.1103801343706
q2,2025-07-12,32180.90800900038,32855.288869406584,-674.3808604062033
q2,2025-07-13,58205.36180987289,57823.46271237625,381.89909749664366
q2,2025-07-14,57723.01603069786,57943.600761570175,-220.58473087231687
q2,2025-07-15,53359.926316730256,52020.256218672854,1339.6700980574024
q2,2025-07-16,55621.60610349693,55519.11327400258,102.49282949435292
q2,2025-07-17,53418.456000868,52803.38722069055,615.0687801774475
q2,2025-07-18,28869.467151782857,28698.656416636644,170.81073514621312
q2,2025-07-19,28832.473259198065,28218.695846988812,613.7774122092524
q2,2025-07-20,53123.687233217104,51656.85315481135,1466.834078405751
q2,2025-07-21,56154.43124344653,56106.351843622964,48.079399823567655
q2,2025-07-22,55334.204372039145,55107.746262136185,226.45810990296013
q2,2025-07-23,55012.92931864942,53576.13211791153,1436.7972007378849
q2,2025-07-24,51859.271625779395,49718.8742167193,2140.397409060097
q2,2025-07-25,25801.85433364093,25292.91209141894,508.94224222199045
q2,2025-07-26,31655.089577279377,32177.79987942461,-522.7103021452313
q2,2025-07-27,56433.00248773141,56891.30060952685,-458.2981217954366
q2,2025-07-28,53067.72055016212,54093.326194964626,-1025.6056448025047
q2,2025-07-29,55184.72032575894,53924.13628325429,1260.5840425046554
q2,2025-07-30,57620.28757879118,57452.05519373054,168.2323850606408
q2,2025-07-31,55670.95662454347,54860.01523276136,810.9413917821075
q2,2025-08-01,28317.546432148967,28303.947395796364,13.599036352603434
q2,2025-08-02,28101.065250036627,27359.5095252294,741.5557248072255
q2,2025-08-03,52710.0115168372,51193.19377529371,1516.8177415434911
q2,2025-08-04,53018.096456385625,51425.86166753774,1592.2347888478835
q2,2025-08-05,51358.40483674122,49938.720232760505,1419.6846039807133
q2,2025-08-06,49398.73247490326,48641.126196083555,757.6062788197087
q2,2025-08-07,46750.77562086638,45222.22149036224,1528.5541305041406
q2,2025-08-08,24794.45882623642,24421.437788534524,373.0210377018957
q2,2025-08-09,26044.95182554136,25292.650713478753,752.301112062607
q2,2025-08-10,47546.15979531196,46519.182157291165,1026.9776380207986
