x,y
0,0
999.73515896514073,23.013298958311893
605.33215453332809,795.97297861676122
-244.89830878773068,969.54877048702883
-910.71535057653057,413.03456298991154
-890.74515817360543,-454.50309480825172
-200.02569377604371,-979.79065204226788
641.31719781544189,-767.27586420149396
1875,0
1660.2300480997685,871.35594758206605
1065.1214001209171,1543.0947485506058
226.00627547873106,1861.3291389338513
-664.88416320475437,1753.1554550351527
-1403.4576528208147,1243.3549842014909
-1820.5159076738473,448.71687053917145
-1820.5159076738478,-448.7168705391702
-1403.4576528208142,-1243.3549842014911
-664.88416320475483,-1753.1554550351525
226.006275478731,-1861.3291389338513
1065.121400120918,-1543.0947485506051
1660.2300480997681,-871.35594758206719
