n,ni,no,ri,ro,phase,score
21,8,12,992,1867,3.75,1004.73
21,8,12,992,1867,5.625,1004.73
21,8,12,992,1867,7.5,1004.73
21,8,12,992,1870,0,1000.16
21,8,12,992,1870,1.875,1005
21,8,12,992,1870,3.75,1005
21,8,12,992,1870,5.625,1005
21,8,12,992,1870,7.5,1005
21,8,12,992,1873,0,1003.05
21,8,12,992,1873,1.875,1005
21,8,12,992,1873,3.75,1005
21,8,12,992,1873,5.625,1005
21,8,12,992,1873,7.5,1005
21,8,12,992,1876,0,1005
21,8,12,992,1876,1.875,1005
21,8,12,992,1876,3.75,1005
21,8,12,992,1876,5.625,1005
21,8,12,992,1876,7.5,1005
21,8,12,992,1879,0,1005
21,8,12,992,1879,1.875,1005
21,8,12,992,1879,3.75,1005
21,8,12,992,1879,5.625,1005
21,8,12,992,1879,7.5,1005
21,8,12,992,1882,0,1005
21,8,12,992,1882,1.875,1005
21,8,12,992,1882,3.75,1005
21,8,12,992,1882,5.625,1005
21,8,12,992,1882,7.5,1005
21,8,12,992,1885,0,1005
21,8,12,992,1885,1.875,1005
21,8,12,992,1885,3.75,1005
21,8,12,992,1885,5.625,1005
21,8,12,992,1885,7.5,1005
21,8,12,992,1888,0,1005
21,8,12,992,1888,1.875,1005
21,8,12,992,1888,3.75,1005
21,8,12,992,1888,5.625,1005
21,8,12,992,1888,7.5,1005
21,8,12,992,1891,0,1005
21,8,12,992,1891,1.875,1005
21,8,12,992,1891,3.75,1005
21,8,12,992,1891,5.625,1005
21,8,12,992,1891,7.5,1005
21,8,12,992,1894,0,1005
21,8,12,992,1894,1.875,1005
21,8,12,992,1894,3.75,1005
21,8,12,992,1894,5.625,1005
21,8,12,992,1894,7.5,1005
21,8,12,992,1897,0,1005
21,8,12,992,1897,1.875,1005
21,8,12,992,1897,3.75,1005
21,8,12,992,1897,5.625,1005
21,8,12,992,1897,7.5,1005
21,8,12,992,1900,0,1005
21,8,12,992,1900,1.875,1005
21,8,12,992,1900,3.75,1005
21,8,12,992,1900,5.625,1005
21,8,12,992,1900,7.5,1005
21,8,12,993,1864,0,993
21,8,12,993,1864,1.875,1001.84
21,8,12,993,1864,3.75,1001.84
21,8,12,993,1864,5.625,1001.84
21,8,12,993,1864,7.5,1001.84
21,8,12,993,1867,0,993
21,8,12,993,1867,1.875,1004.73
21,8,12,993,1867,3.75,1004.73
21,8,12,993,1867,5.625,1004.73
21,8,12,993,1867,7.5,1004.73
21,8,12,993,1870,0,995.391
21,8,12,993,1870,1.875,1005
21,8,12,993,1870,3.75,1005
21,8,12,993,1870,5.625,1005
21,8,12,993,1870,7.5,1005
21,8,12,993,1873,0,998.32
21,8,12,993,1873,1.875,1005
21,8,12,993,1873,3.75,1005
21,8,12,993,1873,5.625,1005
21,8,12,993,1873,7.5,1005
21,8,12,993,1876,0,1001.25
21,8,12,993,1876,1.875,1005
21,8,12,993,1876,3.75,1005
21,8,12,993,1876,5.625,1005
21,8,12,993,1876,7.5,1005
21,8,12,993,1879,0,1004.18
21,8,12,993,1879,1.875,1005
21,8,12,993,1879,3.75,1005
21,8,12,993,1879,5.625,1005
21,8,12,993,1879,7.5,1005
21,8,12,993,1882,0,1005
21,8,12,993,1882,1.875,1005
21,8,12,993,1882,3.75,1005
21,8,12,993,1882,5.625,1005
21,8,12,993,1882,7.5,1005
21,8,12,993,1885,0,1005
21,8,12,993,1885,1.875,1005
21,8,12,993,1885,3.75,1005
21,8,12,993,1885,5.625,1005
21,8,12,993,1885,7.5,1005
21,8,12,993,1888,0,1005
21,8,12,993,1888,1.875,1005
21,8,12,993,1888,3.75,1005
21,8,12,993,1888,5.625,1005
21,8,12,993,1888,7.5,1005
21,8,12,993,1891,0,1005
21,8,12,993,1891,1.875,1005
21,8,12,993,1891,3.75,1005
21,8,12,993,1891,5.625,1005
21,8,12,993,1891,7.5,1005
21,8,12,993,1894,0,1005
21,8,12,993,1894,1.875,1005
21,8,12,993,1894,3.75,1005
21,8,12,993,1894,5.625,1005
21,8,12,993,1894,7.5,1005
21,8,12,993,1897,0,1005
