n,ni,no,ri,ro,phase,score
21,8,12,984,1888,1.875,1005
21,8,12,984,1888,3.75,1005
21,8,12,984,1888,5.625,1005
21,8,12,984,1888,7.5,1005
21,8,12,984,1891,0,1005
21,8,12,984,1891,3.75,1005
21,8,12,984,1891,7.5,1005
21,8,12,984,1894,0,1005
21,8,12,984,1894,3.75,1005
21,8,12,984,1894,7.5,1005
21,8,12,984,1897,0,1005
21,8,12,984,1897,3.75,1005
21,8,12,984,1897,7.5,1005
21,8,12,984,1900,0,1005
21,8,12,984,1900,3.75,1005
21,8,12,984,1900,7.5,1005
21,8,12,985,1864,0,1001.84
21,8,12,985,1864,1.875,1001.84
21,8,12,985,1864,3.75,1001.84
21,8,12,985,1864,5.625,1001.84
21,8,12,985,1864,7.5,1001.84
21,8,12,985,1867,0,1004.73
21,8,12,985,1867,1.875,1004.73
21,8,12,985,1867,3.75,1004.73
21,8,12,985,1867,5.625,1004.73
21,8,12,985,1867,7.5,1004.73
21,8,12,985,1870,0,1005
21,8,12,985,1870,1.875,1005
21,8,12,985,1870,3.75,1005
21,8,12,985,1870,5.625,1005
21,8,12,985,1870,7.5,1005
21,8,12,985,1873,0,1005
21,8,12,985,1873,1.875,1005
21,8,12,985,1873,3.75,1005
21,8,12,985,1873,5.625,1005
21,8,12,985,1873,7.5,1005
21,8,12,985,1876,0,1005
21,8,12,985,1876,1.875,1005
21,8,12,985,1876,3.75,1005
21,8,12,985,1876,5.625,1005
21,8,12,985,1876,7.5,1005
21,8,12,985,1879,0,1005
21,8,12,985,1879,1.875,1005
21,8,12,985,1879,3.75,1005
21,8,12,985,1879,5.625,1005
21,8,12,985,1879,7.5,1005
21,8,12,985,1882,0,1005
21,8,12,985,1882,1.875,1005
21,8,12,985,1882,3.75,1005
21,8,12,985,1882,5.625,1005
21,8,12,985,1882,7.5,1005
21,8,12,985,1885,0,1005
21,8,12,985,1885,1.875,1005
21,8,12,985,1885,3.75,1005
21,8,12,985,1885,5.625,1005
21,8,12,985,1885,7.5,1005
21,8,12,985,1888,0,1005
21,8,12,985,1888,1.875,1005
21,8,12,985,1888,3.75,1005
21,8,12,985,1888,7.5,1005
21,8,12,985,1891,0,1005
21,8,12,985,1891,3.75,1005
21,8,12,985,1891,7.5,1005
21,8,12,985,1894,0,1005
21,8,12,985,1894,3.75,1005
21,8,12,985,1894,7.5,1005
21,8,12,985,1897,0,1005
21,8,12,985,1897,3.75,1005
21,8,12,985,1897,7.5,1005
21,8,12,985,1900,0,1005
21,8,12,985,1900,3.75,1005
21,8,12,985,1900,7.5,1005
21,8,12,986,1864,0,1001.84
21,8,12,986,1864,1.875,1001.84
21,8,12,986,1864,3.75,1001.84
21,8,12,986,1864,5.625,1001.84
21,8,12,986,1864,7.5,1001.84
21,8,12,986,1867,0,1004.73
21,8,12,986,1867,1.875,1004.73
21,8,12,986,1867,3.75,1004.73
21,8,12,986,1867,5.625,1004.73
21,8,12,986,1867,7.5,1004.73
21,8,12,986,1870,0,1005
21,8,12,986,1870,1.875,1005
21,8,12,986,1870,3.75,1005
21,8,12,986,1870,5.625,1005
21,8,12,986,1870,7.5,1005
21,8,12,986,1873,0,1005
21,8,12,986,1873,1.875,1005
21,8,12,986,1873,3.75,1005
21,8,12,986,1873,5.625,1005
21,8,12,986,1873,7.5,1005
21,8,12,986,1876,0,1005
21,8,12,986,1876,1.875,1005
21,8,12,986,1876,3.75,1005
21,8,12,986,1876,5.625,1005
21,8,12,986,1876,7.5,1005
21,8,12,986,1879,0,1005
21,8,12,986,1879,1.875,1005
21,8,12,986,1879,3.75,1005
21,8,12,986,1879,5.625,1005
21,8,12,986,1879,7.5,1005
21,8,12,986,1882,0,1005
21,8,12,986,1882,1.875,1005
21,8,12,986,1882,3.75,1005
21,8,12,986,1882,5.625,1005
21,8,12,986,1882,7.5,1005
21,8,12,986,1885,0,1005
21,8,12,986,1885,1.875,1005
21,8,12,986,1885,3.75,1005
21,8,12,986,1885,5.625,1005
21,8,12,986,1885,7.5,1005
21,8,12,986,1888,0,1005
21,8,12,986,1888,3.75,1005
21,8,12,986,1888,7.5,1005
21,8,12,986,1891,0,1005
21,8,12,986,1891,3.75,1005
21,8,12,986,1891,7.5,1005
21,8,12,986,1894,0,1005
21,8,12,986,1894,3.75,1005
21,8,12,986,1894,7.5,1005
21,8,12,986,1897,0,1005
21,8,12,986,1897,3.75,1005
21,8,12,986,1897,7.5,1005
21,8,12,986,1900,0,1005
21,8,12,986,1900,3.75,1005
21,8,12,986,1900,7.5,1005
21,8,12,987,1864,0,1001.84
21,8,12,987,1864,1.875,1001.84
21,8,12,987,1864,3.75,1001.84
21,8,12,987,1864,5.625,1001.84
21,8,12,987,1864,7.5,1001.84
21,8,12,987,1867,0,1004.73
21,8,12,987,1867,1.875,1004.73
21,8,12,987,1867,3.75,1004.73
21,8,12,987,1867,5.625,1004.73
21,8,12,987,1867,7.5,1004.73
21,8,12,987,1870,0,1005
21,8,12,987,1870,1.875,1005
21,8,12,987,1870,3.75,1005
21,8,12,987,1870,5.625,1005
21,8,12,987,1870,7.5,1005
21,8,12,987,1873,0,1005
21,8,12,987,1873,1.875,1005
21,8,12,987,1873,3.75,1005
21,8,12,987,1873,5.625,1005
21,8,12,987,1873,7.5,1005
21,8,12,987,1876,0,1005
21,8,12,987,1876,1.875,1005
21,8,12,987,1876,3.75,1005
21,8,12,987,1876,5.625,1005
21,8,12,987,1876,7.5,1005
21,8,12,987,1879,0,1005
21,8,12,987,1879,1.875,1005
21,8,12,987,1879,3.75,1005
21,8,12,987,1879,5.625,1005
21,8,12,987,1879,7.5,1005
21,8,12,987,1882,0,1005
21,8,12,987,1882,1.875,1005
21,8,12,987,1882,3.75,1005
21,8,12,987,1882,5.625,1005
21,8,12,987,1882,7.5,1005
21,8,12,987,1885,0,1005
21,8,12,987,1885,1.875,1005
21,8,12,987,1885,3.75,1005
21,8,12,987,1885,5.625,1005
21,8,12,987,1885,7.5,1005
21,8,12,987,1888,0,1005
21,8,12,987,1888,3.75,1005
21,8,12,987,1888,7.5,1005
21,8,12,987,1891,0,1005
21,8,12,987,1891,3.75,1005
21,8,12,987,1891,7.5,1005
21,8,12,987,1894,0,1005
21,8,12,987,1894,3.75,1005
21,8,12,987,1894,7.5,1005
21,8,12,987,1897,0,1005
21,8,12,987,1897,3.75,1005
21,8,12,987,1897,7.5,1005
21,8,12,987,1900,0,1005
21,8,12,987,1900,3.75,1005
21,8,12,987,1900,7.5,1005
21,8,12,988,1864,0,1001.84
21,8,12,988,1864,1.875,1001.84
21,8,12,988,1864,3.75,1001.84
21,8,12,988,1864,5.625,1001.84
21,8,12,988,1864,7.5,1001.84
21,8,12,988,1867,0,1004.73
21,8,12,988,1867,1.875,1004.73
21,8,12,988,1867,3.75,1004.73
21,8,12,988,1867,5.625,1004.73
21,8,12,988,1867,7.5,1004.73
21,8,12,988,1870,0,1005
21,8,12,988,1870,1.875,1005
21,8,12,988,1870,3.75,1005
21,8,12,988,1870,5.625,1005
21,8,12,988,1870,7.5,1005
21,8,12,988,1873,0,1005
21,8,12,988,1873,1.875,1005
21,8,12,988,1873,3.75,1005
21,8,12,988,1873,5.625,1005
21,8,12,988,1873,7.5,1005
21,8,12,988,1876,0,1005
21,8,12,988,1876,1.875,1005
21,8,12,988,1876,3.75,1005
21,8,12,988,1876,5.625,1005
21,8,12,988,1876,7.5,1005
21,8,12,988,1879,0,1005
21,8,12,988,1879,1.875,1005
21,8,12,988,1879,3.75,1005
21,8,12,988,1879,5.625,1005
21,8,12,988,1879,7.5,1005
21,8,12,988,1882,0,1005
21,8,12,988,1882,1.875,1005
21,8,12,988,1882,3.75,1005
21,8,12,988,1882,5.625,1005
21,8,12,988,1882,7.5,1005
21,8,12,988,1885,0,1005
21,8,12,988,1885,1.875,1005
21,8,12,988,1885,3.75,1005
21,8,12,988,1885,7.5,1005
21,8,12,988,1888,0,1005
21,8,12,988,1888,3.75,1005
21,8,12,988,1888,7.5,1005
21,8,12,988,1891,0,1005
21,8,12,988,1891,3.75,1005
21,8,12,988,1891,7.5,1005
21,8,12,988,1894,0,1005
21,8,12,988,1894,3.75,1005
21,8,12,988,1894,7.5,1005
21,8,12,988,1897,0,1005
21,8,12,988,1897,3.75,1005
21,8,12,988,1897,7.5,1005
21,8,12,988,1900,0,1005
21,8,12,988,1900,3.75,1005
21,8,12,988,1900,7.5,1005
21,8,12,989,1864,0,1001.84
21,8,12,989,1864,1.875,1001.84
21,8,12,989,1864,3.75,1001.84
21,8,12,989,1864,5.625,1001.84
21,8,12,989,1864,7.5,1001.84
21,8,12,989,1867,0,1004.73
21,8,12,989,1867,1.875,1004.73
21,8,12,989,1867,3.75,1004.73
21,8,12,989,1867,5.625,1004.73
21,8,12,989,1867,7.5,1004.73
21,8,12,989,1870,0,1005
21,8,12,989,1870,1.875,1005
21,8,12,989,1870,3.75,1005
21,8,12,989,1870,5.625,1005
21,8,12,989,1870,7.5,1005
21,8,12,989,1873,0,1005
21,8,12,989,1873,1.875,1005
21,8,12,989,1873,3.75,1005
21,8,12,989,1873,5.625,1005
21,8,12,989,1873,7.5,1005
21,8,12,989,1876,0,1005
21,8,12,989,1876,1.875,1005
21,8,12,989,1876,3.75,1005
21,8,12,989,1876,5.625,1005
21,8,12,989,1876,7.5,1005
21,8,12,989,1879,0,1005
21,8,12,989,1879,1.875,1005
21,8,12,989,1879,3.75,1005
21,8,12,989,1879,5.625,1005
21,8,12,989,1879,7.5,1005
21,8,12,989,1882,0,1005
21,8,12,989,1882,1.875,1005
21,8,12,989,1882,3.75,1005
21,8,12,989,1882,5.625,1005
21,8,12,989,1882,7.5,1005
21,8,12,989,1885,0,1005
21,8,12,989,1885,1.875,1005
21,8,12,989,1885,3.75,1005
21,8,12,989,1885,7.5,1005
21,8,12,989,1888,0,1005
21,8,12,989,1888,3.75,1005
21,8,12,989,1888,7.5,1005
21,8,12,989,1891,0,1005
21,8,12,989,1891,3.75,1005
21,8,12,989,1891,7.5,1005
21,8,12,989,1894,0,1005
21,8,12,989,1894,3.75,1005
21,8,12,989,1894,7.5,1005
21,8,12,989,1897,0,1005
21,8,12,989,1897,3.75,1005
21,8,12,989,1897,7.5,1005
21,8,12,989,1900,0,1005
21,8,12,989,1900,3.75,1005
21,8,12,989,1900,7.5,1005
21,8,12,990,1864,0,999.258
21,8,12,990,1864,1.875,1001.84
21,8,12,990,1864,3.75,1001.84
21,8,12,990,1864,5.625,1001.84
21,8,12,990,1864,7.5,1001.84
21,8,12,990,1867,0,1002.19
21,8,12,990,1867,1.875,1004.73
21,8,12,990,1867,3.75,1004.73
21,8,12,990,1867,5.625,1004.73
21,8,12,990,1867,7.5,1004.73
21,8,12,990,1870,0,1005
21,8,12,990,1870,1.875,1005
21,8,12,990,1870,3.75,1005
21,8,12,990,1870,5.625,1005
21,8,12,990,1870,7.5,1005
21,8,12,990,1873,0,1005
21,8,12,990,1873,1.875,1005
21,8,12,990,1873,3.75,1005
21,8,12,990,1873,5.625,1005
21,8,12,990,1873,7.5,1005
21,8,12,990,1876,0,1005
21,8,12,990,1876,1.875,1005
21,8,12,990,1876,3.75,1005
21,8,12,990,1876,5.625,1005
21,8,12,990,1876,7.5,1005
21,8,12,990,1879,0,1005
21,8,12,990,1879,1.875,1005
21,8,12,990,1879,3.75,1005
21,8,12,990,1879,5.625,1005
21,8,12,990,1879,7.5,1005
21,8,12,990,1882,0,1005
21,8,12,990,1882,1.875,1005
21,8,12,990,1882,3.75,1005
21,8,12,990,1882,5.625,1005
21,8,12,990,1882,7.5,1005
21,8,12,990,1885,0,1005
21,8,12,990,1885,3.75,1005
21,8,12,990,1885,7.5,1005
21,8,12,990,1888,0,1005
21,8,12,990,1888,3.75,1005
21,8,12,990,1888,7.5,1005
21,8,12,990,1891,0,1005
21,8,12,990,1891,3.75,1005
21,8,12,990,1891,7.5,1005
21,8,12,990,1894,0,1005
21,8,12,990,1894,3.75,1005
21,8,12,990,1894,7.5,1005
21,8,12,990,1897,0,1005
21,8,12,990,1897,3.75,1005
21,8,12,990,1897,7.5,1005
21,8,12,990,1900,0,1005
21,8,12,990,1900,3.75,1005
21,8,12,990,1900,7.5,1005
21,8,12,991,1864,0,996.758
21,8,12,991,1864,1.875,1001.84
21,8,12,991,1864,3.75,1001.84
21,8,12,991,1864,5.625,1001.84
21,8,12,991,1864,7.5,1001.84
21,8,12,991,1867,0,999.688
21,8,12,991,1867,1.875,1004.73
21,8,12,991,1867,3.75,1004.73
21,8,12,991,1867,5.625,1004.73
21,8,12,991,1867,7.5,1004.73
21,8,12,991,1870,0,1002.58
21,8,12,991,1870,1.875,1005
21,8,12,991,1870,3.75,1005
21,8,12,991,1870,5.625,1005
21,8,12,991,1870,7.5,1005
21,8,12,991,1873,0,1005
21,8,12,991,1873,1.875,1005
21,8,12,991,1873,3.75,1005
21,8,12,991,1873,5.625,1005
21,8,12,991,1873,7.5,1005
21,8,12,991,1876,0,1005
21,8,12,991,1876,1.875,1005
21,8,12,991,1876,3.75,1005
21,8,12,991,1876,5.625,1005
21,8,12,991,1876,7.5,1005
21,8,12,991,1879,0,1005
21,8,12,991,1879,1.875,1005
21,8,12,991,1879,3.75,1005
21,8,12,991,1879,5.625,1005
21,8,12,991,1879,7.5,1005
21,8,12,991,1882,0,1005
21,8,12,991,1882,1.875,1005
21,8,12,991,1882,3.75,1005
21,8,12,991,1882,7.5,1005
21,8,12,991,1885,0,1005
21,8,12,991,1885,1.875,1005
21,8,12,991,1885,3.75,1005
21,8,12,991,1885,7.5,1005
21,8,12,991,1888,0,1005
21,8,12,991,1888,1.875,1005
21,8,12,991,1888,3.75,1005
21,8,12,991,1888,7.5,1005
21,8,12,991,1891,0,1005
21,8,12,991,1891,1.875,1005
21,8,12,991,1891,3.75,1005
21,8,12,991,1891,7.5,1005
21,8,12,991,1894,0,1005
21,8,12,991,1894,1.875,1005
21,8,12,991,1894,3.75,1005
21,8,12,991,1894,7.5,1005
21,8,12,991,1897,0,1005
21,8,12,991,1897,1.875,1005
21,8,12,991,1897,3.75,1005
21,8,12,991,1897,7.5,1005
21,8,12,991,1900,0,1005
21,8,12,991,1900,1.875,1005
21,8,12,991,1900,3.75,1005
21,8,12,991,1900,7.5,1005
21,8,12,992,1864,0,994.297
21,8,12,992,1864,1.875,1001.84
21,8,12,992,1864,3.75,1001.84
21,8,12,992,1864,5.625,1001.84
21,8,12,992,1864,7.5,1001.84
21,8,12,992,1867,0,997.227
21,8,12,992,1867,1.875,1004.73
