case_id,problem,seed,n,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
310017,3,310017,10,0,10,4081.36078,408.136078,16971.80391212,106,101,2,0,0.0003783,seven_point_per_channel
310017,3,310017,10,1,10,3427.735622,342.7735622,13748.67811746,105,100,1,0,0.000756,seven_point_per_channel
310017,3,310017,10,2,10,3427.735622,342.7735622,13748.67811746,105,100,1,0,0.0006294,seven_point_per_channel
310018,3,310018,14,0,14,4924.040477,351.7171769286,21435.20239427,95,92,0,0,0.0003658,seven_point_per_channel
310018,3,310018,14,1,14,4633.570281,330.9693057857,19682.85141877,106,94,1,1,0.0008718,seven_point_per_channel
310018,3,310018,14,2,14,4633.570281,330.9693057857,19682.85141877,106,94,1,1,0.0008981,seven_point_per_channel
310019,3,310019,16,0,16,4978.895997,311.1809998125,21714.47998497,94,86,0,0,0.0005143,upper_bound_16
310019,3,310019,16,1,16,3653.486759,228.3429224375,15152.43380239,92,83,0,1,0.0010154,upper_bound_16
310019,3,310019,16,2,16,3653.486759,228.3429224375,15152.43380239,92,83,0,1,0.0010606,upper_bound_16
310020,3,310020,14,0,14,4665.176797,333.2269140714,20025.88399799,99,95,0,0,0.0004758,seven_point_per_channel
310020,3,310020,14,1,14,3936.157482,281.1541058571,16400.78742503,99,91,0,0,0.0008425,seven_point_per_channel
310020,3,310020,14,2,14,3936.157482,281.1541058571,16400.78742503,99,91,0,0,0.0007815,seven_point_per_channel
310021,3,310021,12,0,12,4236.285894,353.0238245,17996.42947942,97,92,0,0,0.0002858,seven_point_per_channel
310021,3,310021,12,1,12,3184.025199,265.33543325,12625.12599437,101,94,0,1,0.0006475,seven_point_per_channel
310021,3,310021,12,2,12,3184.025199,265.33543325,12625.12599437,101,94,0,1,0.0006249,seven_point_per_channel
310022,3,310022,16,0,16,5238.657876,327.41611725,22668.28937173,105,97,1,0,0.0003931,upper_bound_16
310022,3,310022,16,1,16,4825.720918,301.607557375,20498.60459064,109,98,1,0,0.0006449,upper_bound_16
310022,3,310022,16,2,16,4825.720918,301.607557375,20498.60459064,109,98,1,0,0.0006302,upper_bound_16
310023,3,310023,14,0,14,5261.052714,375.7894795714,22830.26358278,105,97,1,0,0.0003426,seven_point_per_channel
310023,3,310023,14,1,14,4035.983081,288.2845057857,16789.91540069,103,93,0,0,0.0007934,seven_point_per_channel
310023,3,310023,14,2,14,4035.983081,288.2845057857,16789.91540069,103,93,0,0,0.0007808,seven_point_per_channel
310024,3,310024,13,0,13,4809.698172,369.9767824615,20728.49087219,100,93,2,0,0.0003308,seven_point_per_channel
310024,3,310024,13,1,13,3751.463949,288.5741499231,15417.31975281,102,93,0,0,0.0008988,seven_point_per_channel
310024,3,310024,13,2,13,3751.463949,288.5741499231,15417.31975281,102,93,0,0,0.0008363,seven_point_per_channel
310025,3,310025,13,0,13,3967.811524,305.2162710769,16829.05761995,90,87,0,0,0.0002842,seven_point_per_channel
310025,3,310025,13,1,13,3120.734199,240.0564768462,12728.67099775,86,80,0,1,0.0014153,seven_point_per_channel
310025,3,310025,13,2,13,3120.734199,240.0564768462,12728.67099775,86,80,0,1,0.0013951,seven_point_per_channel
310026,3,310026,12,0,12,4602.316762,383.5263968333,19576.58381288,105,96,2,0,0.0003603,seven_point_per_channel
310026,3,310026,12,1,12,3634.575192,302.881266,14922.87596977,99,89,2,0,0.0007307,seven_point_per_channel
310026,3,310026,12,2,12,3634.575192,302.881266,14922.87596977,99,89,2,0,0.0007058,seven_point_per_channel
310027,3,310027,16,0,16,4565.58864,285.34929,20177.94320616,76,70,0,0,0.0003912,upper_bound_16
