日期,时间段,购电量_kWh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,06:00-06:10,12.45236083386817
2025-02-06,无,0.0
2025-02-07,无,0.0
2025-02-08,无,0.0
2025-02-09,无,0.0
2025-02-10,无,0.0
2025-02-11,21:30-21:40,1.7014033974817266
2025-02-12,06:20-06:30,2.680020889867478
2025-02-13,无,0.0
2025-02-14,无,0.0
2025-02-15,无,0.0
2025-02-16,无,0.0
2025-02-17,20:30-20:40,8.673564378009928
2025-02-18,无,0.0
2025-02-19,23:50-24:00,56.04658852815123
2025-02-20,06:00-06:10,15.411039830606683
2025-02-21,无,0.0
2025-02-22,23:50-24:00,5.572826184843279
2025-02-23,无,0.0
2025-02-24,06:10-06:20,4.3107648515035635
2025-02-25,06:20-06:30,16.956778875723558
2025-02-26,无,0.0
2025-02-27,无,0.0
2025-02-28,无,0.0
2025-03-01,无,0.0
2025-03-02,无,0.0
2025-03-03,无,0.0
2025-03-04,无,0.0
2025-03-05,无,0.0
2025-03-06,23:50-24:00,6.454727163419932
2025-03-07,无,0.0
2025-03-08,无,0.0
2025-03-09,无,0.0
2025-03-10,无,0.0
2025-03-11,无,0.0
2025-03-12,无,0.0
2025-03-13,无,0.0
2025-03-14,无,0.0
2025-03-15,23:50-24:00,44.22498711316712
2025-03-16,05:50-06:00,1.6400000000006685
2025-03-17,无,0.0
2025-03-18,无,0.0
2025-03-19,无,0.0
2025-03-20,无,0.0
2025-03-21,无,0.0
2025-03-22,无,0.0
2025-03-23,无,0.0
2025-03-24,无,0.0
2025-03-25,无,0.0
2025-03-26,无,0.0
2025-03-27,无,0.0
2025-03-28,无,0.0
2025-03-29,无,0.0
2025-03-30,无,0.0
2025-03-31,无,0.0
2025-04-01,无,0.0
2025-04-02,无,0.0
2025-04-03,无,0.0
2025-04-04,无,0.0
2025-04-05,无,0.0
2025-04-06,无,0.0
2025-04-07,无,0.0
2025-04-08,无,0.0
2025-04-09,无,0.0
2025-04-10,无,0.0
2025-04-11,无,0.0
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,20:20-20:50,171.82602462010914
2025-04-15,无,0.0
2025-04-16,无,0.0
2025-04-17,无,0.0
2025-04-18,无,0.0
2025-04-19,无,0.0
2025-04-20,23:50-24:00,27.4082217557102
2025-04-21,无,0.0
2025-04-22,23:50-24:00,13.683959110999126
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,无,0.0
2025-04-26,无,0.0
2025-04-27,21:10-21:20,5.446620885088123
2025-04-28,无,0.0
2025-04-29,无,0.0
2025-04-30,无,0.0
2025-05-01,20:10-21:50,1224.6179777727932
2025-05-01,22:40-24:00,778.8860604567224
2025-05-02,20:40-21:50,692.196362023685
2025-05-02,22:50-24:00,569.5768997349658
2025-05-03,20:30-20:50,290.8758965401419
2025-05-03,21:00-21:50,494.8556300763153
2025-05-03,23:30-24:00,199.0215811115471
2025-05-04,20:30-20:50,55.04528734652331
2025-05-04,21:10-21:50,154.58880145918897
2025-05-04,22:50-23:00,0.14722783250567772
2025-05-04,23:20-24:00,388.36504303472174
2025-05-05,20:20-20:40,66.88208348469402
2025-05-05,23:10-24:00,374.84081663523983
2025-05-06,21:30-21:50,56.57817390848311
2025-05-06,22:10-22:20,2.1499179528068453
2025-05-06,22:30-23:10,96.27896167996118
2025-05-06,23:20-24:00,494.1621899602008
2025-05-07,23:00-23:10,27.02155296018566
2025-05-07,23:50-24:00,18.041953688256626
2025-05-08,20:00-20:10,35.99924999999985
2025-05-09,无,0.0
2025-05-10,无,0.0
2025-05-11,19:20-19:30,27.561666666666497
2025-05-12,无,0.0
2025-05-13,无,0.0
2025-05-14,无,0.0
2025-05-15,无,0.0
2025-05-16,23:40-24:00,93.14275219356784
2025-05-17,无,0.0
2025-05-18,无,0.0
2025-05-19,20:20-20:30,58.20758937132632
2025-05-20,无,0.0
2025-05-21,无,0.0
2025-05-22,无,0.0
2025-05-23,无,0.0
2025-05-24,无,0.0
2025-05-25,无,0.0
2025-05-26,无,0.0
2025-05-27,无,0.0
2025-05-28,无,0.0
2025-05-29,无,0.0
2025-05-30,无,0.0
2025-05-31,23:50-24:00,79.03470035578243
2025-06-01,16:10-17:30,460.4687122218328
2025-06-02,16:20-17:20,457.35411460156797
2025-06-03,17:10-17:50,329.5104243170679
2025-06-04,20:30-20:40,28.204774124088658
2025-06-04,20:50-21:40,179.87044958468175
2025-06-04,23:00-23:10,4.102173809327155
2025-06-04,23:20-24:00,373.0562769458087
2025-06-05,18:50-19:00,83.79833333333397
2025-06-05,20:30-21:00,226.7863550619736
2025-06-05,21:40-21:50,44.998924570905615
2025-06-05,22:40-23:00,112.65954966664435
2025-06-05,23:20-24:00,735.4426851821474
2025-06-06,20:30-20:50,35.452379508269814
2025-06-06,21:00-21:20,113.97844401922987
2025-06-06,21:40-21:50,32.7551182047265
2025-06-06,23:40-24:00,72.30368714989504
2025-06-07,无,0.0
2025-06-08,无,0.0
2025-06-09,无,0.0
2025-06-10,无,0.0
2025-06-11,无,0.0
2025-06-12,无,0.0
2025-06-13,无,0.0
2025-06-14,无,0.0
2025-06-15,无,0.0
2025-06-16,无,0.0
2025-06-17,无,0.0
2025-06-18,无,0.0
2025-06-19,无,0.0
2025-06-20,无,0.0
2025-06-21,无,0.0
2025-06-22,无,0.0
2025-06-23,无,0.0
2025-06-24,无,0.0
2025-06-25,无,0.0
2025-06-26,无,0.0
2025-06-27,无,0.0
2025-06-28,无,0.0
2025-06-29,无,0.0
2025-06-30,23:50-24:00,53.760062693221016
2025-07-01,04:00-04:10,26.241426266516214
2025-07-01,05:20-05:40,121.97291973939275
2025-07-01,09:30-10:10,305.0280930884043
2025-07-01,19:40-20:00,46.033082266320775
2025-07-02,03:40-05:30,1175.6518228664
2025-07-02,08:50-09:50,491.5756260378147
2025-07-02,19:00-19:20,30.014936345490696
2025-07-02,23:50-24:00,29.849311518628838
2025-07-03,02:20-05:50,1516.5036106080797
2025-07-03,20:30-20:40,26.407200154640122
2025-07-03,21:10-21:40,158.5007160612222
2025-07-03,23:50-24:00,64.17390840106191
2025-07-04,02:20-04:00,1270.8611197506334
2025-07-04,04:10-04:40,324.0399630168449
2025-07-04,04:50-05:40,917.6448828607125
2025-07-04,06:30-07:10,259.2130008253855
2025-07-04,20:20-21:20,304.03262512746574
2025-07-04,21:30-21:50,103.01312054731534
2025-07-04,23:30-24:00,388.0425541241041
2025-07-05,02:50-05:40,2134.6294094994864
2025-07-05,20:30-20:50,96.7352701057606
2025-07-05,21:40-21:50,3.8039822958543255
