日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-02-01,affine_saa_mpc,affine_saa_mpc,19521.083513360376,"[565650.5248274627, 630965.1376309497, 566515.0743795176, 616424.8105532797, 553398.7014247368, 560209.6276785823]"
2025-02-02,affine_saa_mpc,affine_saa_mpc,63717.90527600838,"[586173.3919253165, 653918.1293850569, 586472.9287902163, 637651.1375537345, 572919.7849380971, 579815.5160391205]"
2025-02-03,affine_saa_mpc,affine_saa_mpc,65628.65363690877,"[651290.4877139814, 721743.3187657364, 650601.926840679, 705211.0339637105, 636637.6902141055, 643646.8882261565]"
2025-02-04,affine_saa_mpc,affine_saa_mpc,67835.94532060105,"[718348.0334247103, 794191.1273895511, 717020.5204740617, 777361.0918337993, 702266.3438510143, 709506.6496708723]"
2025-02-05,affine_saa_mpc,affine_saa_mpc,64101.198097945584,"[787958.5313623697, 868088.8493570448, 785552.4271846672, 850083.5994922611, 770102.2891716154, 777557.1392181945]"
2025-02-06,affine_saa_mpc,affine_saa_mpc,66715.17131942438,"[853412.827016055, 939375.8440324016, 850535.7971540451, 919652.5616726703, 834203.4872695609, 842136.1646747628]"
2025-02-07,affine_saa_mpc,affine_saa_mpc,19075.34482776051,"[921735.2109077518, 1012223.7577172967, 917878.5137198706, 989960.162684238, 900918.6585889853, 909239.4829921199]"
2025-02-08,affine_saa_mpc,affine_saa_mpc,15848.358444275416,"[941777.8533185847, 1034095.5999389095, 937150.4223394342, 1011164.2878672074, 919994.0034167458, 928544.6951601838]"
2025-02-09,affine_saa_mpc,affine_saa_mpc,62456.9241340699,"[958312.8137924267, 1054854.654855773, 954031.3407069503, 1030759.124030921, 935842.3618610213, 944890.7333541809]"
2025-02-10,affine_saa_mpc,affine_saa_mpc,57300.231601395855,"[1022184.2990084193, 1122057.360013458, 1017300.3689124337, 1097006.4847326481, 998299.2859950912, 1007879.1740410095]"
2025-02-11,affine_saa_mpc,affine_saa_mpc,57535.632375186135,"[1080533.1981633606, 1184495.1888668768, 1075563.0532093025, 1159680.0102636507, 1055599.517596487, 1065722.4680768792]"
2025-02-12,affine_saa_mpc,affine_saa_mpc,58642.66470969877,"[1139143.431601001, 1251442.7870321446, 1135106.0980256198, 1224921.470168459, 1113135.149971673, 1125317.5868560371]"
2025-02-13,affine_saa_mpc,affine_saa_mpc,53610.29513976998,"[1197678.4833757745, 1319047.5762962308, 1195042.3281403638, 1292180.8390700049, 1171777.814681372, 1185470.620853974]"
2025-02-14,affine_saa_mpc,affine_saa_mpc,16110.392685313122,"[1252235.9755695062, 1378696.81245456, 1249733.059906301, 1352231.9654942176, 1225388.109821142, 1239921.355530061]"
2025-02-15,affine_saa_mpc,affine_saa_mpc,16534.93615109596,"[1269110.7097489475, 1399088.3081256128, 1266498.3260607831, 1371272.44309972, 1241498.502506455, 1256258.2610003536]"
2025-02-16,affine_saa_mpc,affine_saa_mpc,58032.58639102043,"[1286258.3016881442, 1421990.5199672626, 1284165.4204945536, 1393501.793201514, 1258033.4386575508, 1273585.5640547925]"
2025-02-17,affine_saa_mpc,affine_saa_mpc,55334.10597512596,"[1344968.5197329468, 1490372.2069142498, 1344769.6671302991, 1460382.2393875201, 1316066.0250485712, 1333475.1407618746]"
2025-02-18,affine_saa_mpc,affine_saa_mpc,52149.741530344516,"[1401215.6341289019, 1553640.2976987946, 1402212.3768902894, 1521832.0604929642, 1371400.131023697, 1390289.7472966635]"
2025-02-19,affine_saa_mpc,affine_saa_mpc,53137.01853086977,"[1454131.3512903543, 1616945.5278632129, 1458114.118834601, 1584789.7306269424, 1423549.8725540417, 1444019.039084867]"
2025-02-20,affine_saa_mpc,affine_saa_mpc,53226.347776805975,"[1432252.369360109, 1594739.4525926982, 1437544.0222644946, 1564530.9694981768, 1402649.425350929, 1423918.5046890276]"
2025-02-21,affine_saa_mpc,affine_saa_mpc,15210.387500903895,"[1410732.142097007, 1570389.8478234238, 1415743.2656571479, 1541649.7111640018, 1381135.2536000283, 1402431.1340570343]"
2025-02-22,affine_saa_mpc,affine_saa_mpc,15704.868361613488,"[1404301.211376322, 1562739.7942176205, 1409466.9384172703, 1535453.1078128002, 1375237.9271150255, 1396336.8488264992]"
2025-02-23,affine_saa_mpc,affine_saa_mpc,52685.30377785883,"[1398012.7806452222, 1557953.734828001, 1403926.5225810548, 1531307.2956324653, 1369694.6228413945, 1390808.3108412619]"
2025-02-24,affine_saa_mpc,affine_saa_mpc,50874.81446893299,"[1375984.6485377091, 1537890.221233803, 1382185.4757157161, 1512593.6426315692, 1347807.5264328562, 1370091.1041093941]"
2025-02-25,affine_saa_mpc,affine_saa_mpc,49880.48469551011,"[1359993.4049866097, 1520228.0904750717, 1366783.0173723951, 1494663.23513061, 1331980.3828510107, 1354360.3197069906]"
2025-02-26,affine_saa_mpc,affine_saa_mpc,49571.8524013003,"[1339586.4869700593, 1494713.1961443073, 1345731.8583514204, 1469478.1720419307, 1311834.6554257555, 1332776.2538277265]"
2025-02-27,affine_saa_mpc,affine_saa_mpc,47433.63115983729,"[1323968.5959422896, 1477508.1006899448, 1330746.9608076601, 1453874.4127364983, 1297204.8525616522, 1318452.3831698904]"
2025-02-28,affine_saa_mpc,affine_saa_mpc,14272.743879191352,"[1303735.5358819007, 1458216.2789304163, 1310861.6511685727, 1435171.3070913139, 1278031.2583374535, 1298868.1278919782]"
2025-03-01,affine_saa_mpc,affine_saa_mpc,15468.446298039944,"[1297266.8906996704, 1451047.1436692185, 1304448.4042527864, 1428718.7184310663, 1272148.623682129, 1293140.2380559605]"
