日期,baseline,common_mpc,affine_feedback,affine_mpc,affine_saa_mpc,affine_sdp,总费用_元,按当日权重计算的专家费用_元,凸组合节省_元
2025-02-01,0.0,0.0,0.0,0.0,1.0,0.0,23963.698196622998,23963.698196622998,0.0
2025-02-02,0.0,0.0,0.0,0.0,1.0,0.0,57392.65080823148,57392.650808231476,-7.275957614183426e-12
2025-02-03,0.0,0.0,0.0,0.0,1.0,0.0,58107.27730815534,58107.27730815534,0.0
2025-02-04,0.0,0.0,0.0,0.0,1.0,0.0,59986.360025456204,59986.3600254562,-7.275957614183426e-12
2025-02-05,0.0,0.0,0.0,0.0,1.0,0.0,56851.20366533384,56851.20366533383,-7.275957614183426e-12
2025-02-06,0.0,0.0,0.0,0.0,1.0,0.0,58986.114151116955,58986.114151116955,0.0
2025-02-07,0.0,0.0,0.0,0.0,1.0,0.0,23382.154765730484,23382.154765730484,0.0
2025-02-08,0.0,0.0,0.0,0.0,1.0,0.0,19674.664384985568,19674.664384985568,0.0
2025-02-09,0.0,0.0,0.0,0.0,1.0,0.0,55876.32747164285,55876.32747164285,0.0
2025-02-10,0.0,0.0,0.0,0.0,1.0,0.0,52442.63990541971,52442.639905419725,1.4551915228366852e-11
2025-02-11,0.0,0.0,0.0,0.0,1.0,0.0,52572.25985242272,52572.25985242271,-1.4551915228366852e-11
2025-02-12,0.0,0.0,0.0,0.0,1.0,0.0,52711.28225035559,52711.28225035559,0.0
2025-02-13,0.0,0.0,0.0,0.0,1.0,0.0,49580.94348207007,49580.94348207007,0.0
2025-02-14,0.0,0.0,0.0,0.0,0.9999999999999929,7.171699219855698e-15,19849.01207316184,19849.012073161815,-2.546585164964199e-11
2025-02-15,0.0,0.0,0.0,0.0,0.9999999999999993,6.434425237707002e-16,19978.601404951933,19978.601404951904,-2.9103830456733704e-11
2025-02-16,0.0,0.0,0.0,0.0,0.9999999999999944,5.619144758548674e-15,53195.06281288986,53195.0628128898,-5.820766091346741e-11
2025-02-17,0.0,0.0,1.3144062009866861e-14,0.0,0.9999999999999868,0.0,50700.456828112074,50700.45682811202,-5.093170329928398e-11
2025-02-18,0.0,0.0,0.0,0.0,0.9999999999999989,1.0629841233812994e-15,48815.003950314545,48815.0039503145,-4.3655745685100555e-11
2025-02-19,0.0,0.0,0.0,0.0,1.0,0.0,49255.100515661885,49255.10051566187,-1.4551915228366852e-11
2025-02-20,0.0,0.0,4.456364200139495e-15,0.0,0.9999999999999956,0.0,49145.963611819294,49145.96361181929,-7.275957614183426e-12
2025-02-21,0.0,0.0,0.0,0.0,1.0,0.0,18544.031296686764,18544.031296686764,0.0
2025-02-22,0.0,0.0,1.4404357635798532e-14,0.0,0.9999999999999856,0.0,18939.461849041687,18939.461849041676,-1.0913936421275139e-11
2025-02-23,0.0,0.0,0.0,0.0,1.0,0.0,48845.055673666604,48845.055673666604,0.0
2025-02-24,0.0,0.0,0.0,0.0,1.0,0.0,47298.80648244208,47298.80648244207,-7.275957614183426e-12
2025-02-25,0.0,0.0,0.0,0.0,1.0,0.0,47166.951839462345,47166.951839462345,0.0
2025-02-26,0.0,0.0,0.0,5.167505365852777e-16,0.9999999999999996,0.0,46357.365241442974,46357.36524144294,-3.637978807091713e-11
2025-02-27,0.0,0.0,0.0,0.0,1.0,0.0,45596.44985083161,45596.4498508316,-7.275957614183426e-12
