日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-02-01,affine_saa_mpc,affine_saa_mpc,23963.698196622998,"[504434.270257735, 558880.1129117834, 505467.64519242244, 546404.8968699253, 493542.7980801378, 500314.22644897195]"
2025-02-02,affine_saa_mpc,affine_saa_mpc,57392.650808231476,"[529404.958486909, 586614.7194066042, 529874.264276602, 572312.0723311389, 517506.4962767608, 524285.64208837546]"
2025-02-03,affine_saa_mpc,affine_saa_mpc,58107.27730815534,"[587953.0131057656, 647516.2948465004, 587674.2616489406, 632641.5315732046, 574899.1470849923, 581825.3743078758]"
2025-02-04,affine_saa_mpc,affine_saa_mpc,59986.3600254562,"[647286.9736297053, 711113.5993603866, 646418.9076433858, 697012.9968314068, 633006.4243931476, 640159.073014942]"
2025-02-05,affine_saa_mpc,affine_saa_mpc,56851.20366533383,"[708758.9545168702, 776732.6113772751, 707055.408131679, 762066.6738328198, 692992.7844186038, 700322.6357148963]"
2025-02-06,affine_saa_mpc,affine_saa_mpc,58986.114151116955,"[766522.4513747289, 840074.8105053352, 764715.9980350974, 824129.9210291952, 749843.9880839376, 757838.6896932601]"
2025-02-07,affine_saa_mpc,affine_saa_mpc,23382.154765730484,"[826782.0201070346, 903843.8097320753, 824225.5292291233, 887333.1230179133, 808830.1022350546, 817157.9967177929]"
2025-02-08,affine_saa_mpc,affine_saa_mpc,19674.664384985568,"[851295.7026366, 931092.2597811789, 847898.8077692955, 913667.1552614956, 832212.2570007851, 840832.3669168985]"
2025-02-09,affine_saa_mpc,affine_saa_mpc,55876.32747164285,"[871538.4038780737, 956250.8884515841, 868784.7902877486, 937558.8108079089, 851886.9213857707, 861118.1570722817]"
2025-02-10,affine_saa_mpc,affine_saa_mpc,52442.639905419725,"[928476.8072780564, 1017078.35255984, 925270.9676099803, 996917.8214371509, 907763.2488574135, 917439.3397135525]"
2025-02-11,affine_saa_mpc,affine_saa_mpc,52572.25985242271,"[981669.248937383, 1074530.1812092175, 978499.9158057916, 1054366.6888247258, 960205.8887628333, 970548.3645661713]"
2025-02-12,affine_saa_mpc,affine_saa_mpc,52711.28225035559,"[1034977.0340657061, 1137700.86071129, 1033283.6733978951, 1116709.4887740752, 1012778.1486152561, 1024275.9187561722]"
2025-02-13,affine_saa_mpc,affine_saa_mpc,49580.94348207007,"[1088502.729586351, 1198639.62584276, 1087977.827405677, 1176740.2066622826, 1065489.4308656116, 1078101.0440188176]"
2025-02-14,affine_saa_mpc,affine_saa_mpc,19849.01207316181,"[1138895.404565472, 1254541.9635877442, 1138442.1534060556, 1231929.6041257628, 1115070.3743476816, 1128429.6335106515]"
2025-02-15,affine_saa_mpc,affine_saa_mpc,19978.601404951904,"[1159977.5782330593, 1279509.1655408102, 1159046.94413407, 1255161.5395548758, 1134919.3864208432, 1148586.4885169356]"
2025-02-16,affine_saa_mpc,affine_saa_mpc,53195.062812889795,"[1180885.2240657911, 1306950.799741367, 1179945.9332033133, 1280998.7236938186, 1154897.987825795, 1168968.7454955091]"
2025-02-17,affine_saa_mpc,affine_saa_mpc,50700.456828112,"[1234172.867346355, 1371687.8387254754, 1235152.7800491196, 1345171.5042849507, 1208093.0506386848, 1223600.156998902]"
2025-02-18,affine_saa_mpc,affine_saa_mpc,48815.0039503145,"[1285634.594931892, 1430184.259870817, 1287683.053080802, 1402926.7873344526, 1258793.5074667968, 1276087.5531075988]"
2025-02-19,affine_saa_mpc,affine_saa_mpc,49255.10051566187,"[1335008.8501126026, 1490598.9606300062, 1339504.266096654, 1462233.0236403965, 1307608.5114171114, 1326379.3904036344]"
2025-02-20,affine_saa_mpc,affine_saa_mpc,49145.96361181928,"[1321048.7273369383, 1480316.7338773466, 1326239.366598704, 1453139.9738851336, 1294066.7873165733, 1313652.1537619974]"
2025-02-21,affine_saa_mpc,affine_saa_mpc,18544.031296686764,"[1307427.7541606775, 1467392.8803451094, 1312511.0480805952, 1440830.5634366968, 1280481.8658335344, 1299994.6400170522]"
2025-02-22,affine_saa_mpc,affine_saa_mpc,18939.46184904167,"[1300563.2712290536, 1460920.435303928, 1305962.0680158937, 1434925.9567119505, 1274345.6321066413, 1293768.01377051]"
