h,a,b,points,route_m
975,0.208333,0.625,28,25667.3
975,0.25,0.166667,28,25704.2
975,0.25,0.208333,28,25737.5
975,0.25,0.25,28,25772.2
975,0.25,0.291667,28,25807.8
975,0.25,0.333333,28,25844.2
975,0.25,0.375,28,25881.2
975,0.25,0.416667,28,25844.2
975,0.25,0.458333,28,25807.8
975,0.25,0.5,28,25772.2
975,0.25,0.541667,28,25737.5
975,0.25,0.583333,28,25704.2
975,0.291667,0.166667,28,25741.8
975,0.291667,0.208333,28,25774.1
975,0.291667,0.25,28,25807.8
975,0.291667,0.291667,28,25842.6
975,0.291667,0.333333,28,25878.1
975,0.291667,0.375,28,25878.1
975,0.291667,0.416667,28,25842.6
975,0.291667,0.458333,28,25807.8
975,0.291667,0.5,28,25774.1
975,0.291667,0.541667,28,25741.8
975,0.333333,0.166667,28,25779.9
975,0.333333,0.208333,28,25811.4
975,0.333333,0.25,28,25844.2
975,0.333333,0.291667,28,25878.1
975,0.333333,0.333333,28,25912.9
975,0.333333,0.375,28,25878.1
975,0.333333,0.416667,28,25844.2
975,0.333333,0.458333,28,25811.4
975,0.333333,0.5,28,25779.9
975,0.333333,0.833333,28,25631.5
975,0.375,0.166667,28,25818.5
975,0.375,0.208333,28,25849.2
975,0.375,0.25,28,25881.2
975,0.375,0.291667,28,25878.1
975,0.375,0.333333,28,25878.1
975,0.375,0.375,28,25881.2
975,0.375,0.416667,28,25849.2
975,0.375,0.458333,28,25818.5
975,0.375,0.791667,28,25667.3
975,0.375,0.833333,28,25667.3
975,0.416667,0.166667,28,25857.4
975,0.416667,0.208333,28,25849.2
975,0.416667,0.25,28,25844.2
975,0.416667,0.291667,28,25842.6
975,0.416667,0.333333,28,25844.2
975,0.416667,0.375,28,25849.2
975,0.416667,0.416667,28,25857.4
975,0.416667,0.75,28,25704.2
975,0.416667,0.791667,28,25701.8
975,0.416667,0.833333,28,25704.2
975,0.458333,0.166667,28,25818.5
975,0.458333,0.208333,28,25811.4
975,0.458333,0.25,28,25807.8
975,0.458333,0.291667,28,25807.8
975,0.458333,0.333333,28,25811.4
975,0.458333,0.375,28,25818.5
975,0.458333,0.708333,28,25741.8
975,0.458333,0.75,28,25737.5
975,0.458333,0.791667,28,25737.5
975,0.458333,0.833333,28,25741.8
975,0.5,0.166667,28,25779.9
975,0.5,0.208333,28,25774.1
975,0.5,0.25,28,25772.2
975,0.5,0.291667,28,25774.1
975,0.5,0.333333,28,25779.9
975,0.5,0.666667,28,25779.9
975,0.5,0.708333,28,25774.1
975,0.5,0.75,28,25772.2
975,0.5,0.791667,28,25774.1
975,0.5,0.833333,28,25779.9
975,0.541667,0.166667,28,25741.8
975,0.541667,0.208333,28,25737.5
