x,y
0,0
-1373.625,793.06276351559961
-2372.625,793.06276351559961
-1873.125,-72.096614865054548
-1873.1250000000002,1658.2221418962538
-874.125,1658.2221418962538
-1373.625,-937.25599324570885
-2372.625,-937.25599324570885
-1873.125,-1802.4153716263629
-874.125,-72.096614865054548
-374.62500000000006,793.06276351559961
124.87499999999989,1658.2221418962538
-374.625,2523.3815202769078
624.37499999999989,2523.3815202769078
-874.12500000000011,-1802.4153716263629
-374.62500000000011,-937.25599324570885
124.87499999999997,-72.096614865054548
624.375,793.06276351559961
1123.875,1658.2221418962538
124.875,-1802.4153716263629
624.375,-937.25599324570885
1123.875,-72.096614865054548
1623.375,793.06276351559961
1123.8749999999998,-1802.4153716263629
1623.3749999999998,-937.25599324570885
2122.875,-72.096614865054548
