date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,spill_energy,ending_inventory,projection_count,planned_energy,adjusted_energy
2025-02-01,26588.0911619491,2.4728592507017315e-13,-1526.775798819462,3.4056132136583985e-11,25061.315363129674,9.467981954003335e-12,3651.0081778535973,9248.97492943919,0,50264.194602937525,45442.96947690074
2025-02-02,58848.11591038597,4.352102678240044e-13,-2352.242662096246,4.189737978776975e-11,56495.873248289776,1.4143353155304794e-11,3557.134648994406,8732.975632220998,0,91939.56454817006,85816.1305516686
2025-02-03,59418.20582043762,2.322451564396033e-13,-2457.9392123958132,7.962712089693014e-11,56960.26660804189,2.134470378223341e-11,2317.040866582759,8263.487496542237,0,92871.79970753906,86598.71583914114
2025-02-04,62338.591484501725,2.2552626433025581e-13,-2755.9872159844035,5.886639797836323e-11,59582.60426851738,1.482192146795569e-11,3549.932190635047,8820.085631671673,0,96849.26809371625,89949.6351829938
2025-02-05,55890.69291689314,811.4984417816826,-1098.5553009745904,8.913992055603615e-11,55603.63605770032,2.3848922836577913e-11,1374.3144763632627,8135.256149707709,0,87804.73075615955,85911.53517570019
2025-02-06,60555.80741267276,6.542734354297864e-13,-2942.465335132784,40.7091430215899,57654.05122056157,6.968953697102819,1298.6879561541969,8691.366614410634,0,94363.60554555798,86594.08632594529
2025-02-07,24359.36186297272,1.8563923731562682e-13,-1488.308659042586,2.75136358141026e-11,22871.05320393016,8.640199666842818e-12,5966.268557920081,8126.276850002676,0,46264.77008961851,40959.959147183865
2025-02-08,18998.450641197138,880.6332279487965,-5.643020981285119,5.833966554291692e-11,19873.440848164704,1.7131185359176015e-11,1769.0601164841905,8389.905759571811,0,36813.382540435894,37375.027415131204
2025-02-09,56178.4111036088,16.641033229013342,-831.416572874971,6.647886863220264e-11,55363.63556396292,1.922728642966831e-11,2093.2973329902666,8500.43737666007,0,88367.76825231957,86184.00928375535
2025-02-10,53986.93465179879,3.4237359614053277e-13,-1977.131350109159,6.229294036153021e-11,52009.803301689695,1.9689583297122226e-11,1213.6863423632183,8366.359661482134,0,85125.19108798789,79828.84745585085
2025-02-11,52927.784452059466,4.2615223339153605,-1480.2788870936488,976.451305450342,52428.21839275008,203.21954636308513,269.8970269065534,8593.249562433824,0,83781.87445039394,80059.00095784097
2025-02-12,52623.87636032462,38.7958352653541,-1256.3145342150715,139.00401966725107,51545.361681042166,31.739700803122453,759.5253278656977,8175.621894058389,0,83383.82216227023,80063.74529213572
2025-02-13,51114.1486095704,3.0335627343447416e-13,-1550.975389443568,137.75721891316033,49700.93043904001,30.41361927249679,1848.9942071654746,7812.007820473991,0,81035.22740199437,77150.12123453818
2025-02-14,19295.987597949017,448.2003297022631,-68.03668390820808,4.997110991666886e-11,19676.151243743123,1.404032445861958e-11,3604.5083027122055,7712.040256661698,0,36956.065333621125,36950.98552378747
2025-02-15,19907.874831603593,1.7481056602264288e-13,-264.73675925956155,3.7280031506270464e-11,19643.13807234407,9.86233317235019e-12,3808.3162011450017,7976.409740128753,0,37704.396596618746,37049.06514181255
2025-02-16,54092.06482748595,847.5541276010874,-2353.486788620232,241.56745419455467,52827.69962066136,49.73997630183367,18.858161543679017,8048.04991620334,0,85769.15155842608,79750.34185004598
2025-02-17,52819.03332598551,356.21312783333474,-3002.0380393547766,550.76193618572,50723.97035064979,82.5785940997572,759.6867914908198,8030.751784985411,0,84536.1467997364,75903.68340427455
2025-02-18,48186.530850085604,563.9062339946909,-0.8210271838675589,37.52579250010845,48787.14184939654,8.248333333364709,841.8488028789402,8404.033535983794,0,76790.53137823746,77427.42818047715
2025-02-19,48229.005904478174,1063.9275173047135,-28.628576257128046,205.83339006575417,49470.13823559151,46.99928988829049,925.5895632880969,7768.925119320972,0,76533.31640376795,77461.96868658539
2025-02-20,49404.99955983389,99.8497144165438,-1209.4156323948978,155.0333462430339,48450.46698809857,33.09849407409459,1236.6094138997635,7072.243497070292,0,79339.19989551048,75730.69220782639
2025-02-21,18222.95867288248,1.966640184036805e-13,-35.049855883279356,3.453720864854404e-11,18187.908816999236,9.038103598868474e-12,5961.613056678775,6926.137618823075,0,35197.099117406324,35102.8014479921
