kind,date,emergency,kwh,cost_yuan
q2,2025-02-01,False,1.1155520951433573e-11,4.121105945387172e-11
q2,2025-02-02,False,1.2789769243681803e-11,4.2083257767444586e-11
q2,2025-02-03,False,1.5297985100914957e-11,5.690945314995588e-11
q2,2025-02-04,False,1.7564616427989677e-11,6.426563459172029e-11
q2,2025-02-05,False,1.7016832387639624e-11,6.841955313419134e-11
q2,2025-02-06,True,12.665110276884107,73.98324168239702
q2,2025-02-07,False,8.881784197001252e-12,2.908565477355296e-11
q2,2025-02-08,False,1.6790124846011167e-11,4.8839602584394016e-11
q2,2025-02-09,True,972.5158003136652,3319.5406151502116
q2,2025-02-10,False,1.1368683772161603e-11,3.536254666869354e-11
q2,2025-02-11,True,109.05335118563649,583.4483966279777
q2,2025-02-12,False,1.602984411874786e-11,5.993857143948844e-11
q2,2025-02-13,False,2.1884716261411086e-11,6.842486754976563e-11
q2,2025-02-14,False,1.9525714378687553e-11,6.607065472508112e-11
q2,2025-02-15,False,1.3088197192701045e-11,4.651209195571937e-11
q2,2025-02-16,True,92.1018383595364,361.8040505595
q2,2025-02-17,False,2.191313797084149e-11,7.935256007840507e-11
q2,2025-02-18,True,8.248333333355202,37.52579250007551
q2,2025-02-19,True,20.443110793203218,89.5306037188083
q2,2025-02-20,True,15.220372420572815,71.29222441794252
q2,2025-02-21,False,9.379164112033322e-12,3.185198238497833e-11
q2,2025-02-22,False,1.2846612662542611e-11,4.6930210828577396e-11
q2,2025-02-23,True,7.753445238113425,36.31713749530716
q2,2025-02-24,True,49.98722504555232,226.15106836334806
q2,2025-02-25,True,3.0574504219355916,13.390104122849033
q2,2025-02-26,False,1.7200463275912625e-11,5.853699303060011e-11
q2,2025-02-27,False,2.184208369726548e-11,8.479853619292043e-11
q2,2025-02-28,True,18.653383333341274,108.96373874170168
q2,2025-03-01,True,16.443333333345006,85.17646666670983
q2,2025-03-02,True,4172.078904473771,15460.348299057223
q2,2025-03-03,True,2873.774043070175,10154.101326805365
q2,2025-03-04,False,1.605937605120289e-11,5.1030265679763426e-11
q2,2025-03-05,False,1.7053025658242404e-11,6.061321045081058e-11
q2,2025-03-06,True,8.736116964137253,40.76272175464603
q2,2025-03-07,False,1.2299494756007334e-11,4.604021341947373e-11
q2,2025-03-08,True,11.753585250839961,40.543992322771075
q2,2025-03-09,False,1.1482370609883219e-11,4.13788923125935e-11
q2,2025-03-10,True,426.605817476488,952.403622656289
q2,2025-03-11,True,54.0288001063328,337.1388025502549
q2,2025-03-12,False,1.4647394408484615e-11,4.9381539746207183e-11
q2,2025-03-13,True,1997.6429177599775,7190.317802345682
q2,2025-03-14,False,1.057287590811029e-11,3.6991409047004705e-11
q2,2025-03-15,True,1.6074307186148644,7.9066181489758245
q2,2025-03-16,True,1.640000000021482,7.461180000080714
q2,2025-03-17,False,1.411137873219559e-11,6.054609968941804e-11
q2,2025-03-18,True,181.10530721218615,875.4375422957507
q2,2025-03-19,False,1.2485814465668099e-11,4.405756088947388e-11
q2,2025-03-20,True,316.0205992081771,1404.6672115104423
q2,2025-03-21,True,142.68418557348045,539.8611917625566
q2,2025-03-22,False,8.01492205937393e-12,2.4521852992620554e-11
q2,2025-03-23,True,68.88735370820723,411.6951270753631
q2,2025-03-24,False,2.2446045022661565e-11,8.485086411269549e-11
q2,2025-03-25,True,196.4288157373236,557.6974999435078
q2,2025-03-26,False,1.696065510259359e-11,5.5823662137299834e-11
q2,2025-03-27,False,1.6969536886790593e-11,5.6892459632251754e-11
q2,2025-03-28,True,60.336883333339266,259.4485983333537
q2,2025-03-29,True,48.28277941553009,224.3063178633099
q2,2025-03-30,False,1.893951662168547e-11,6.830996213125217e-11
q2,2025-03-31,False,1.8950174762721872e-11,6.215728731717717e-11
q2,2025-04-01,True,994.1126574202605,3093.5911917269495
q2,2025-04-02,True,2401.4694236315454,9029.625270027822
q2,2025-04-03,True,190.96003609651177,949.0432162606259
q2,2025-04-04,False,5.9401372709544376e-12,2.3450610342479195e-11
q2,2025-04-05,False,8.419931418757187e-12,3.000229753524764e-11
q2,2025-04-06,False,1.3553602684623911e-11,4.1825774843573525e-11
q2,2025-04-07,False,1.688249540165998e-11,5.894975174669526e-11
q2,2025-04-08,True,79.31538501937432,371.900615584152
q2,2025-04-09,True,457.47271400621605,1665.363048178577
q2,2025-04-10,False,1.9461765532469144e-11,6.627194792940827e-11
q2,2025-04-11,False,6.707523425575346e-12,2.6648820039554268e-11
q2,2025-04-12,False,5.9685589803848416e-12,2.3968198092916283e-11
q2,2025-04-13,True,49.29835550583403,308.6570038219777
q2,2025-04-14,True,61.205636171854685,374.1619704193496
q2,2025-04-15,False,1.3216094885137863e-11,5.082331000494377e-11
q2,2025-04-16,False,1.0749900969386772e-11,3.5299518530429455e-11
q2,2025-04-17,False,2.3061663689816214e-11,7.460588363761289e-11
q2,2025-04-18,False,8.355982572538778e-12,3.376504764673882e-11
q2,2025-04-19,False,5.4853899200679734e-12,1.803879001727182e-11
q2,2025-04-20,False,1.6650236744908398e-11,5.295749860856347e-11
