date,baseline_cost_yuan,candidate_cost_yuan,saving_yuan,baseline_emergency_kwh,candidate_emergency_kwh,baseline_spill_kwh,candidate_spill_kwh,baseline_ending_inventory_kwh,candidate_ending_inventory_kwh
2025-02-01,24439.985640618186,24439.985640618186,0.0,1.2381207170619746e-11,1.2381207170619746e-11,5963.032112580466,5963.032112580466,8982.20720603707,8982.20720603707
2025-02-02,58002.19306319653,58002.19306319653,0.0,1.3130829756846651e-11,1.3130829756846651e-11,8062.629365868157,8062.629365868157,8970.458239100075,8970.458239100075
2025-02-03,56172.752584741575,56172.752584741575,0.0,1.4864554032101296e-11,1.4864554032101296e-11,4162.997011151507,4162.997011151507,8626.062410608967,8626.062410608967
2025-02-04,56591.95270376591,56591.95270376591,0.0,1.9539925233402755e-11,1.9539925233402755e-11,3335.5596669688302,3335.5596669688302,8713.346278835406,8713.346278835406
2025-02-05,54861.932471369044,54861.932471369044,0.0,1.7625012560529285e-11,1.7625012560529285e-11,1799.1864089340133,1799.1864089340133,8307.85872967964,8307.85872967964
2025-02-06,56244.66638101817,56244.66638101817,0.0,12.368298934335385,12.368298934335385,3389.9587842112105,3389.9587842112105,8538.305175242855,8538.305175242855
2025-02-07,22297.597494878515,22297.597494878515,0.0,1.0842882147699129e-11,1.0842882147699129e-11,7878.6829189333985,7878.6829189333985,8033.777876187649,8033.777876187649
2025-02-08,20562.180753681234,20562.180753681234,0.0,14.180173330382734,14.180173330382734,4034.513440138392,4034.513440138392,8257.212838822792,8257.212838822792
2025-02-09,54307.95820027468,54307.95820027468,0.0,361.71731671826547,361.71731671826547,829.7178266652949,829.7178266652949,8199.391965780833,8199.391965780833
2025-02-10,53082.32130490143,53082.32130490143,0.0,1.539035565656377e-11,1.539035565656377e-11,5479.841597564649,5479.841597564649,7825.490518405567,7825.490518405567
2025-02-11,53456.92945262584,53456.92945262584,0.0,158.7379850301322,158.7379850301322,4214.412171359024,4214.412171359024,7926.739729088433,7926.739729088433
2025-02-12,52289.31711489318,52289.31711489318,0.0,1.951150352397235e-11,1.951150352397235e-11,3882.747956538112,3882.747956538112,7953.510891552877,7953.510891552877
2025-02-13,52162.74978084507,52162.74978084507,0.0,1.261923898709938e-11,1.261923898709938e-11,7689.732561144029,7689.732561144029,7590.982254306085,7590.982254306085
2025-02-14,19098.430927481702,19098.430927481702,0.0,1.4289014416135615e-11,1.4289014416135615e-11,2675.6289123665956,2675.6289123665956,7965.209444898602,7965.209444898602
2025-02-15,18984.251498333568,18984.251498333568,0.0,1.0196288258157438e-11,1.0196288258157438e-11,3633.0432757899694,3633.0432757899694,7767.761356626342,7767.761356626342
2025-02-16,50648.023041362496,50648.023041362496,0.0,244.07310000002005,244.07310000002005,371.45612324761674,371.45612324761674,8069.574650950885,8069.574650950885
2025-02-17,49962.24161316484,49962.24161316484,0.0,85.3453983547935,85.3453983547935,4366.588826972703,4366.588826972703,7993.431559548801,7993.431559548801
2025-02-18,49842.155570296556,49842.155570296556,0.0,2.85108776602333,2.85108776602333,3263.2111070764586,3263.2111070764586,8363.4917224999,8363.4917224999
2025-02-19,48177.9612739102,48177.9612739102,0.0,15.930698341447144,15.930698341447144,437.0780928026115,437.0780928026115,7773.669206315145,7773.669206315145
2025-02-20,47767.52845371119,47767.52845371119,0.0,29.232410868332586,29.232410868332586,1732.0223756643556,1732.0223756643556,7098.107818676241,7098.107818676241
2025-02-21,18157.580676782127,18157.580676782127,0.0,9.07363073565648e-12,9.07363073565648e-12,6248.636770607239,6248.636770607239,6644.866174533181,6644.866174533181
2025-02-22,18857.811732362414,18857.811732362414,0.0,1.0807355010911124e-11,1.0807355010911124e-11,3546.3493781084208,3546.3493781084208,8254.270536389238,8254.270536389238
2025-02-23,47505.2508169391,47505.2508169391,0.0,1.943689653671754e-11,1.943689653671754e-11,810.0681848573674,810.0681848573674,8222.200873695861,8222.200873695861
2025-02-24,46809.318734268105,46809.318734268105,0.0,46.83741238546358,46.83741238546358,3005.581537690923,3005.581537690923,8225.892645273721,8225.892645273721
2025-02-25,47878.43819334275,47878.43819334275,0.0,1.509431657240846,1.509431657240846,7383.69607124973,7383.69607124973,7994.1917087666325,7994.1917087666325
2025-02-26,47203.80053665698,47203.80053665698,0.0,67.99721848133964,67.99721848133964,2609.3910541722626,2609.3910541722626,8318.627127922791,8318.627127922791
2025-02-27,45607.88452519305,45607.88452519305,0.0,94.0710505561986,94.0710505561986,3189.8082309795714,3189.8082309795714,6648.554598011848,6648.554598011848
2025-02-28,17239.538684185798,17239.538684185798,0.0,1.1368683772161603e-11,1.1368683772161603e-11,7100.162093069078,7100.162093069078,6253.825830022319,6253.825830022319
2025-03-01,18786.424837115537,18786.424837115537,0.0,60.94093333334295,60.94093333334295,6773.029670922187,6773.029670922187,8170.719682379256,8170.719682379256
2025-03-02,58066.69791848928,58066.69791848928,0.0,2942.0804117101125,2942.0804117101125,1172.101566201705,1172.101566201705,7827.206668108245,7827.206668108245
2025-03-03,58303.002440200464,58303.002440200464,0.0,3323.4846977077173,3323.4846977077173,615.6198355077275,615.6198355077275,7899.282051883148,7899.282051883148
2025-03-04,46669.05848301186,46669.05848301186,0.0,1.5852208434807835e-11,1.5852208434807835e-11,1618.685599424045,1618.685599424045,8247.131166821488,8247.131166821488
2025-03-05,46551.21913919637,46551.21913919637,0.0,1.3411494137471891e-11,1.3411494137471891e-11,5421.84074434883,5421.84074434883,8063.090808399131,8063.090808399131
2025-03-06,46671.0657539457,46671.0657539457,0.0,1.6655121726216748e-11,1.6655121726216748e-11,6285.523416438889,6285.523416438889,6011.895265878781,6011.895265878781
2025-03-07,18007.818704349025,18007.818704349025,0.0,200.32787142724763,200.32787142724763,9210.077904753207,9210.077904753207,4970.351788375497,4970.351788375497
2025-03-08,18627.169737979137,18627.169737979137,0.0,203.5930966095935,203.5930966095935,9198.203153008624,9198.203153008624,8261.424294742952,8261.424294742952
2025-03-09,44936.64022803377,44936.64022803377,0.0,1.1835865620923869e-11,1.1835865620923869e-11,5141.132836629509,5141.132836629509,8517.041591090923,8517.041591090923
2025-03-10,48141.105225413325,48141.105225413325,0.0,1744.7767223824494,1744.7767223824494,1400.3848654396838,1400.3848654396838,7980.978507637034,7980.978507637034
2025-03-11,44387.22264290656,44387.22264290656,0.0,1.6767032207098964e-11,1.6767032207098964e-11,4293.958855950478,4293.958855950478,8350.928215328908,8350.928215328908
2025-03-12,42890.602028558984,42890.602028558984,0.0,1.6764811761049714e-11,1.6764811761049714e-11,4026.128963595943,4026.128963595943,7976.839361242116,7976.839361242116
2025-03-13,46670.76403299393,46670.76403299393,0.0,1848.3504709571216,1848.3504709571216,128.73711015774668,128.73711015774668,4381.58852375842,4381.58852375842
2025-03-14,15973.241205714916,15973.241205714916,0.0,30.33960564288014,30.33960564288014,10976.654174841375,10976.654174841375,4665.574252975416,4665.574252975416
2025-03-15,17557.420688688413,17557.420688688413,0.0,8.526512829121202e-12,8.526512829121202e-12,7164.842358315435,7164.842358315435,7697.201724368015,7697.201724368015
2025-03-16,42772.43883347887,42772.43883347887,0.0,1.6400000000223134,1.6400000000223134,2344.290003746124,2344.290003746124,8386.605774592028,8386.605774592028
2025-03-17,42265.336183016814,42265.336183016814,0.0,1.652722403377993e-11,1.652722403377993e-11,7186.5359758755585,7186.5359758755585,8572.674564026154,8572.674564026154
2025-03-18,41818.704098933194,41818.704098933194,0.0,1.8280488234267978e-11,1.8280488234267978e-11,3879.1405507324157,3879.1405507324157,8283.893143385367,8283.893143385367
2025-03-19,41159.736333412104,41159.736333412104,0.0,1.4930081476682844e-11,1.4930081476682844e-11,3843.098115078112,3843.098115078112,8340.46894596908,8340.46894596908
2025-03-20,39136.97603485569,39136.97603485569,0.0,33.829476862604785,33.829476862604785,647.3116531504783,647.3116531504783,4403.392243589749,4403.392243589749
2025-03-21,15031.514035345597,15031.514035345597,0.0,6.938449814697378e-12,6.938449814697378e-12,14617.353462046818,14617.353462046818,4025.8405988156514,4025.8405988156514
2025-03-22,17731.152601413996,17731.152601413996,0.0,1.0558665053395089e-11,1.0558665053395089e-11,10944.908809547138,10944.908809547138,8684.058955797034,8684.058955797034
2025-03-23,40924.20171427987,40924.20171427987,0.0,63.05513906436926,63.05513906436926,4498.722759366637,4498.722759366637,8128.544693072945,8128.544693072945
2025-03-24,39988.04137519485,39988.04137519485,0.0,1.8339108009968186e-11,1.8339108009968186e-11,3552.196530717897,3552.196530717897,8249.980679971519,8249.980679971519
2025-03-25,40304.38929233109,40304.38929233109,0.0,467.15734216460913,467.15734216460913,392.1336032350043,392.1336032350043,7806.32931418885,7806.32931418885
2025-03-26,39354.636754867206,39354.636754867206,0.0,1.6434853478131117e-11,1.6434853478131117e-11,5308.486527266811,5308.486527266811,8113.4664722999605,8113.4664722999605
2025-03-27,37926.72377596584,37926.72377596584,0.0,2.4845903112691303e-11,2.4845903112691303e-11,2564.428101449651,2564.428101449651,4550.786100490865,4550.786100490865
2025-03-28,15146.423225415045,15146.423225415045,0.0,37.757716666673886,37.757716666673886,15825.041440794681,15825.041440794681,4188.032891123263,4188.032891123263
2025-03-29,16564.916918642455,16564.916918642455,0.0,1.1553424883459229e-11,1.1553424883459229e-11,18348.71624369066,18348.71624369066,8042.780307591307,8042.780307591307
2025-03-30,38160.17900403944,38160.17900403944,0.0,1.8342660723646986e-11,1.8342660723646986e-11,3340.759940321711,3340.759940321711,8354.124329370226,8354.124329370226
2025-03-31,42208.990784259964,42208.990784259964,0.0,932.6135400779958,932.6135400779958,3195.0688893567235,3195.0688893567235,8225.17926180902,8225.17926180902
2025-04-01,41116.69828896178,41116.69828896178,0.0,1052.5358383785413,1052.5358383785413,261.6266620025713,261.6266620025713,8166.545850760442,8166.545850760442
2025-04-02,49595.94270598126,49595.94270598126,0.0,2871.2600879999914,2871.2600879999914,1489.6769925779092,1489.6769925779092,8345.337154602039,8345.337154602039
2025-04-03,36126.37568906995,36126.37568906995,0.0,1.6370904631912708e-11,1.6370904631912708e-11,4195.294682807295,4195.294682807295,3319.6620496062023,3319.6620496062023
2025-04-04,14334.677173692718,14334.677173692718,0.0,4.369837824924616e-12,4.369837824924616e-12,18608.457917119376,18608.457917119376,3847.1417332328656,3847.1417332328656
2025-04-05,16554.336655163934,16554.336655163934,0.0,1.1354472917446401e-11,1.1354472917446401e-11,13852.133369257432,13852.133369257432,8139.137112599858,8139.137112599858
2025-04-06,37421.469210863506,37421.469210863506,0.0,1.1198153515579179e-11,1.1198153515579179e-11,3601.354445567891,3601.354445567891,8406.293760605113,8406.293760605113
2025-04-07,36121.63357528247,36121.63357528247,0.0,2.2097879082139116e-11,2.2097879082139116e-11,3545.718808993099,3545.718808993099,8132.506879350703,8132.506879350703
2025-04-08,38567.86236647657,38567.86236647657,0.0,1.2491341294662561e-11,1.2491341294662561e-11,5710.448932232324,5710.448932232324,8185.337471076469,8185.337471076469
2025-04-09,38744.02806905397,38744.02806905397,0.0,240.70698465260594,240.70698465260594,557.2015741184381,557.2015741184381,8233.357919425833,8233.357919425833
2025-04-10,35834.15366052081,35834.15366052081,0.0,1.6227019727921288e-11,1.6227019727921288e-11,4672.853676164741,4672.853676164741,3903.4522017537806,3903.4522017537806
2025-04-11,13842.63336813082,13842.63336813082,0.0,5.4001247917767614e-12,5.4001247917767614e-12,19854.728888115467,19854.728888115467,3375.1464573658795,3375.1464573658795
2025-04-12,16328.992036438252,16328.992036438252,0.0,6.24389429049188e-12,6.24389429049188e-12,15971.397781168605,15971.397781168605,8376.33692840103,8376.33692840103
2025-04-13,36893.224599362016,36893.224599362016,0.0,1.8113510691364354e-11,1.8113510691364354e-11,3416.129698785507,3416.129698785507,8389.021298362217,8389.021298362217
2025-04-14,36303.852287582915,36303.852287582915,0.0,1.4587442365154857e-11,1.4587442365154857e-11,4915.385877765972,4915.385877765972,8333.925465872311,8333.925465872311
2025-04-15,36231.27546623738,36231.27546623738,0.0,2.0103030351492635e-11,2.0103030351492635e-11,6704.9937047827825,6704.9937047827825,8409.503894420412,8409.503894420412
2025-04-16,37513.79341278997,37513.79341278997,0.0,582.9551617186578,582.9551617186578,438.0695448925995,438.0695448925995,8429.039220340395,8429.039220340395
2025-04-17,34521.56205545559,34521.56205545559,0.0,1.4897527655932663e-11,1.4897527655932663e-11,5144.774622209424,5144.774622209424,3433.398862768001,3433.398862768001
2025-04-18,13150.969196476952,13150.969196476952,0.0,5.6843418860808015e-12,5.6843418860808015e-12,17572.390991672783,17572.390991672783,3286.2286739579104,3286.2286739579104
2025-04-19,15552.51501934956,15552.51501934956,0.0,4.604316927725449e-12,4.604316927725449e-12,17098.47496316676,17098.47496316676,8384.450343379016,8384.450343379016
2025-04-20,35203.47275018401,35203.47275018401,0.0,1.610089839232387e-11,1.610089839232387e-11,2773.1106324109232,2773.1106324109232,8659.083333333334,8659.083333333334
2025-04-21,36014.637800481316,36014.637800481316,0.0,1.4836132322670892e-11,1.4836132322670892e-11,8384.610100077245,8384.610100077245,8374.86429766928,8374.86429766928
2025-04-22,35158.26775213207,35158.26775213207,0.0,1.6468604258079722e-11,1.6468604258079722e-11,2885.418356356762,2885.418356356762,8180.849608896457,8180.849608896457
2025-04-23,35187.091066485074,35187.091066485074,0.0,1.7969625787372934e-11,1.7969625787372934e-11,3829.913319103654,3829.913319103654,8601.058020861174,8601.058020861174
2025-04-24,31917.650327718016,31917.650327718016,0.0,1.7280399333685637e-11,1.7280399333685637e-11,7408.582408332655,7408.582408332655,2584.453291793502,2584.453291793502
2025-04-25,12669.6843159631,12669.6843159631,0.0,5.6274984672199935e-12,5.6274984672199935e-12,21379.659513716644,21379.659513716644,2564.5072325217634,2564.5072325217634
2025-04-26,15279.030134030378,15279.030134030378,0.0,9.976020010071807e-12,9.976020010071807e-12,23569.21377255182,23569.21377255182,7815.85830770166,7815.85830770166
2025-04-27,37507.84698838509,37507.84698838509,0.0,851.646692363961,851.646692363961,3925.6525034830975,3925.6525034830975,8192.874887687789,8192.874887687789
2025-04-28,46469.93103238776,46469.93103238776,0.0,3971.905543441345,3971.905543441345,571.853777828981,571.853777828981,8114.692485961114,8114.692485961114
2025-04-29,35163.18747579703,35163.18747579703,0.0,278.8363444069255,278.8363444069255,4591.63654938242,4591.63654938242,8490.69687742481,8490.69687742481
2025-04-30,33782.72911120354,33782.72911120354,0.0,1.475086719437968e-11,1.475086719437968e-11,5010.87463871721,5010.87463871721,8061.704764820719,8061.704764820719
2025-05-01,43255.91943947523,43255.91943947523,0.0,1872.5049946052227,1872.5049946052227,7221.442343560653,7221.442343560653,1331.590144830404,1331.590144830404
2025-05-02,26527.54058903546,26527.54058903546,0.0,2604.893212475732,2604.893212475732,12362.363926604963,12362.363926604963,1539.4630029924788,1539.4630029924788
2025-05-03,25715.06696078318,25715.06696078318,0.0,1758.8550176758313,1758.8550176758313,16711.067520366916,16711.067520366916,7742.211144028578,7742.211144028578
2025-05-04,41460.52730311778,41460.52730311778,0.0,1145.9852224503406,1145.9852224503406,4092.6824747302308,4092.6824747302308,7565.6675665910425,7565.6675665910425
2025-05-05,43018.64534668959,43018.64534668959,0.0,929.7540485136614,929.7540485136614,4778.672103296414,4778.672103296414,7358.069426059508,7358.069426059508
2025-05-06,43167.8082225495,43167.8082225495,0.0,1206.0179372106077,1206.0179372106077,4996.920241929718,4996.920241929718,7035.32480492835,7035.32480492835
2025-05-07,46113.88387719008,46113.88387719008,0.0,1965.9969179537147,1965.9969179537147,817.4755114350621,817.4755114350621,7348.7131467174395,7348.7131467174395
2025-05-08,36428.38109445371,36428.38109445371,0.0,35.99925000001453,35.99925000001453,2543.4396580446387,2543.4396580446387,2984.310134624857,2984.310134624857
2025-05-09,16895.525325348906,16895.525325348906,0.0,5.172751116333529e-12,5.172751116333529e-12,18853.544546780053,18853.544546780053,3540.0,3540.0
2025-05-10,19346.712179750008,19346.712179750008,0.0,25.894133333338615,25.894133333338615,15674.470106070296,15674.470106070296,8640.0,8640.0
2025-05-11,38089.47965911418,38089.47965911418,0.0,33.2829804291112,33.2829804291112,2381.4347902494596,2381.4347902494596,8490.0,8490.0
2025-05-12,37746.60317671639,37746.60317671639,0.0,1.6825651982799172e-11,1.6825651982799172e-11,6339.344086621804,6339.344086621804,8490.0,8490.0
2025-05-13,40487.323913719025,40487.323913719025,0.0,1.1837641977763269e-11,1.1837641977763269e-11,8029.2735240102675,8029.2735240102675,9120.0,9120.0
2025-05-14,42083.56664589265,42083.56664589265,0.0,1.0530243343964685e-11,1.0530243343964685e-11,11580.95581237182,11580.95581237182,8970.0,8970.0
2025-05-15,36564.70806770093,36564.70806770093,0.0,1.4461321029557439e-11,1.4461321029557439e-11,6292.4198023195795,6292.4198023195795,3360.0,3360.0
2025-05-16,14217.920003154039,14217.920003154039,0.0,5.7980287238024175e-12,5.7980287238024175e-12,22051.430921737305,22051.430921737305,2570.6636117649523,2570.6636117649523
2025-05-17,19383.888502645383,19383.888502645383,0.0,8.881784197001252e-12,8.881784197001252e-12,16794.208665170117,16794.208665170117,8717.098313295746,8717.098313295746
2025-05-18,40065.56340759431,40065.56340759431,0.0,1.3452350344778097e-11,1.3452350344778097e-11,7120.408589568774,7120.408589568774,8880.0,8880.0
2025-05-19,39204.85932317778,39204.85932317778,0.0,24.704492463045693,24.704492463045693,11601.671904931383,11601.671904931383,9478.68009451306,9478.68009451306
2025-05-20,36328.71630678902,36328.71630678902,0.0,1.963940121640917e-11,1.963940121640917e-11,2056.6009496379547,2056.6009496379547,8155.340890170254,8155.340890170254
2025-05-21,38629.864645671354,38629.864645671354,0.0,525.0885348348382,525.0885348348382,5610.289443306192,5610.289443306192,7941.677109603151,7941.677109603151
2025-05-22,35289.5739262052,35289.5739262052,0.0,9.606537787476555e-12,9.606537787476555e-12,6187.791906494687,6187.791906494687,3120.0,3120.0
2025-05-23,15800.630311109973,15800.630311109973,0.0,8.000711204658728e-12,8.000711204658728e-12,19626.11721699904,19626.11721699904,3060.0,3060.0
2025-05-24,17568.310027667216,17568.310027667216,0.0,5.002220859751105e-12,5.002220859751105e-12,21227.778762998,21227.778762998,8970.0,8970.0
2025-05-25,35464.19622845197,35464.19622845197,0.0,1.283240180782741e-11,1.283240180782741e-11,6435.611649021186,6435.611649021186,8497.097607854434,8497.097607854434
2025-05-26,37128.41556252613,37128.41556252613,0.0,384.97465572047565,384.97465572047565,1305.451336400236,1305.451336400236,8576.15872547056,8576.15872547056
2025-05-27,37470.89656657381,37470.89656657381,0.0,1.3315570868144277e-11,1.3315570868144277e-11,6311.398431428337,6311.398431428337,9030.0,9030.0
2025-05-28,39720.827768927156,39720.827768927156,0.0,1.681854655544157e-11,1.681854655544157e-11,7784.073090378164,7784.073090378164,9688.7205,9688.7205
2025-05-29,33538.628297999065,33538.628297999065,0.0,17.817433333349577,17.817433333349577,2232.628600292699,2232.628600292699,2451.2478585746717,2451.2478585746717
2025-05-30,17775.866362581488,17775.866362581488,0.0,671.2129763349386,671.2129763349386,18926.88383300449,18926.88383300449,2207.4507927906334,2207.4507927906334
2025-05-31,19131.97431892298,19131.97431892298,0.0,4.490630090003833e-12,4.490630090003833e-12,18299.330522324854,18299.330522324854,8803.067224888102,8803.067224888102
2025-06-01,77523.39538960866,77523.39538960866,0.0,9475.735714364531,9475.735714364531,1.4470792619736272e-11,1.4470792619736272e-11,7217.683002278677,7217.683002278677
