endpoint,kind,date,original_bill,alternative_bill_same_trajectory,bill_increase,no_return_shadow_policy_bill
free,q2,2025-05-07,47281.86422841262,47281.86422841262,0.0,47281.86422841262
free,q2,2025-05-08,38106.42363234416,38106.42363234416,0.0,38106.42363234416
free,q2,2025-05-09,16505.946484608103,16505.946484608103,0.0,16505.946484608103
free,q2,2025-05-10,17982.728909206067,17982.728909206067,0.0,17982.728909206067
free,q2,2025-05-11,37803.9067737205,37803.9067737205,0.0,37803.9067737205
free,q2,2025-05-12,40580.96360674889,40580.96360674889,0.0,40580.96360674889
free,q2,2025-05-13,41928.10729023888,41928.10729023888,0.0,41928.10729023888
free,q2,2025-05-14,39972.04281941191,39972.04281941191,0.0,39972.04281941191
free,q2,2025-05-15,34296.99290932737,34296.99290932737,0.0,34296.99290932737
free,q2,2025-05-16,16345.353280913136,16345.353280913136,0.0,16345.353280913136
free,q2,2025-05-17,18922.317903903415,18922.317903903415,0.0,18922.317903903415
free,q2,2025-05-18,39598.555786375575,39598.555786375575,0.0,39598.555786375575
free,q2,2025-05-19,37351.1404465824,37351.1404465824,0.0,37351.1404465824
free,q2,2025-05-20,38632.721336450675,38632.721336450675,0.0,38632.721336450675
free,q2,2025-05-21,38980.65986218405,38980.65986218405,0.0,38980.65986218405
free,q2,2025-05-22,35929.85569898099,35929.85569898099,0.0,35929.85569898099
free,q2,2025-05-23,13989.383460636887,13989.383460636887,0.0,13989.383460636887
free,q2,2025-05-24,17608.845524967484,17608.845524967484,0.0,17608.845524967484
free,q2,2025-05-25,36534.06441913714,36534.06441913714,0.0,36534.06441913714
free,q2,2025-05-26,42193.87838334914,42193.87838334914,0.0,42193.87838334914
free,q2,2025-05-27,40411.199725792736,40411.199725792736,0.0,40411.199725792736
free,q2,2025-05-28,36473.065303437965,36473.065303437965,0.0,36473.065303437965
free,q2,2025-05-29,33893.60930651557,33893.60930651557,0.0,33893.60930651557
free,q2,2025-05-30,16082.306933800584,16082.306933800584,0.0,16082.306933800584
free,q2,2025-05-31,18661.695382772214,18661.695382772214,0.0,18661.695382772214
free,q2,2025-06-01,81346.25360837516,81346.25360837516,0.0,81346.25360837516
free,q2,2025-06-02,78097.66764450769,78097.66764450769,0.0,78097.66764450769
free,q2,2025-06-03,66550.31440399747,66550.31440399747,0.0,66550.31440399747
free,q2,2025-06-04,62246.86213134734,62246.86213134734,0.0,62246.86213134734
free,q2,2025-06-05,60912.5383999595,60912.5383999595,0.0,60912.5383999595
free,q2,2025-06-06,41629.98305666065,41629.98305666065,0.0,41629.98305666065
free,q2,2025-06-07,39056.06432573131,39056.06432573131,0.0,39056.06432573131
free,q2,2025-06-08,59299.20050478683,59299.20050478683,0.0,59299.20050478683
free,q2,2025-06-09,55879.4374995983,55879.4374995983,0.0,55879.4374995983
free,q2,2025-06-10,51046.54444073796,51046.54444073796,0.0,51046.54444073796
free,q2,2025-06-11,55153.23466116034,55153.23466116034,0.0,55153.23466116034
free,q2,2025-06-12,54864.464290478856,54864.464290478856,0.0,54864.464290478856
free,q2,2025-06-13,26418.892579138912,26418.892579138912,0.0,26418.892579138912
free,q2,2025-06-14,27830.609183281565,27830.609183281565,0.0,27830.609183281565
free,q2,2025-06-15,51799.45781947363,51799.45781947363,0.0,51799.45781947363
free,q2,2025-06-16,56676.214976843155,56676.214976843155,0.0,56676.214976843155
free,q2,2025-06-17,59053.135776879826,59053.135776879826,0.0,59053.135776879826
free,q2,2025-06-18,58528.2976650047,58528.2976650047,0.0,58528.2976650047
free,q2,2025-06-19,48924.02347791837,48924.02347791837,0.0,48924.02347791837
free,q2,2025-06-20,21363.09158145697,21363.09158145697,0.0,21363.09158145697
free,q2,2025-06-21,28888.198870329452,28888.198870329452,0.0,28888.198870329452
free,q2,2025-06-22,56363.180835402716,56363.180835402716,0.0,56363.180835402716
free,q2,2025-06-23,49150.50725517124,49150.50725517124,0.0,49150.50725517124
free,q2,2025-06-24,57001.08768848115,57001.08768848115,0.0,57001.08768848115
free,q2,2025-06-25,48391.851190981855,48391.851190981855,0.0,48391.851190981855
free,q2,2025-06-26,55742.83371863137,55742.83371863137,0.0,55742.83371863137
free,q2,2025-06-27,22860.137182879516,22860.137182879516,0.0,22860.137182879516
free,q2,2025-06-28,21385.218568079486,21385.218568079486,0.0,21385.218568079486
free,q2,2025-06-29,48602.60866868283,48602.60866868283,0.0,48602.60866868283
free,q2,2025-06-30,54243.0797906018,54243.0797906018,0.0,54243.0797906018
free,q2,2025-07-01,59944.94638360853,59944.94638360853,0.0,59944.94638360853
free,q2,2025-07-02,57779.12074898954,57779.12074898954,0.0,57779.12074898954
free,q2,2025-07-03,68630.53118175219,68630.53118175219,0.0,68630.53118175219
free,q2,2025-07-04,34541.96482655901,34541.96482655901,0.0,34541.96482655901
free,q2,2025-07-05,36565.62882229624,36565.62882229624,0.0,36565.62882229624
free,q2,2025-07-06,70750.05074017188,70750.05074017188,0.0,70750.05074017188
free,q2,2025-07-07,67286.7450455341,67286.7450455341,0.0,67286.7450455341
free,q2,2025-07-08,58440.044427507135,58440.044427507135,0.0,58440.044427507135
free,q2,2025-07-09,56974.1563503153,56974.1563503153,0.0,56974.1563503153
free,q2,2025-07-10,52298.53314663513,52298.53314663513,0.0,52298.53314663513
free,q2,2025-07-11,26535.62316407521,26535.62316407521,0.0,26535.62316407521
free,q2,2025-07-12,32855.288869406584,32855.288869406584,0.0,32855.288869406584
free,q2,2025-07-13,57823.46271237625,57823.46271237625,0.0,57823.46271237625
free,q2,2025-07-14,57943.600761570175,57943.600761570175,0.0,57943.600761570175
free,q2,2025-07-15,52020.256218672854,52020.256218672854,0.0,52020.256218672854
free,q2,2025-07-16,55519.11327400258,55519.11327400258,0.0,55519.11327400258
free,q2,2025-07-17,52803.38722069055,52803.38722069055,0.0,52803.38722069055
free,q2,2025-07-18,28698.656416636644,28698.656416636644,0.0,28698.656416636644
free,q2,2025-07-19,28218.695846988812,28218.695846988812,0.0,28218.695846988812
free,q2,2025-07-20,51656.85315481135,51656.85315481135,0.0,51656.85315481135
free,q2,2025-07-21,56106.351843622964,56106.351843622964,0.0,56106.351843622964
free,q2,2025-07-22,55107.746262136185,55107.746262136185,0.0,55107.746262136185
free,q2,2025-07-23,53576.13211791153,53576.13211791153,0.0,53576.13211791153
free,q2,2025-07-24,49718.8742167193,49718.8742167193,0.0,49718.8742167193
free,q2,2025-07-25,25292.91209141894,25292.91209141894,0.0,25292.91209141894
free,q2,2025-07-26,32177.79987942461,32177.79987942461,0.0,32177.79987942461
free,q2,2025-07-27,56891.30060952685,56891.30060952685,0.0,56891.30060952685
free,q2,2025-07-28,54093.326194964626,54093.326194964626,0.0,54093.326194964626
free,q2,2025-07-29,53924.13628325429,53924.13628325429,0.0,53924.13628325429
free,q2,2025-07-30,57452.05519373054,57452.05519373054,0.0,57452.05519373054
free,q2,2025-07-31,54860.01523276136,54860.01523276136,0.0,54860.01523276136
free,q2,2025-08-01,28303.947395796364,28303.947395796364,0.0,28303.947395796364
free,q2,2025-08-02,27359.5095252294,27359.5095252294,0.0,27359.5095252294
free,q2,2025-08-03,51193.19377529371,51193.19377529371,0.0,51193.19377529371
free,q2,2025-08-04,51425.86166753774,51425.86166753774,0.0,51425.86166753774
free,q2,2025-08-05,49938.720232760505,49938.720232760505,0.0,49938.720232760505
free,q2,2025-08-06,48641.126196083555,48641.126196083555,0.0,48641.126196083555
free,q2,2025-08-07,45222.22149036224,45222.22149036224,0.0,45222.22149036224
free,q2,2025-08-08,24421.437788534524,24421.437788534524,0.0,24421.437788534524
free,q2,2025-08-09,25292.650713478753,25292.650713478753,0.0,25292.650713478753
free,q2,2025-08-10,46519.182157291165,46519.182157291165,0.0,46519.182157291165
free,q2,2025-08-11,46794.769072760275,46794.769072760275,0.0,46794.769072760275
free,q2,2025-08-12,49087.57921823278,49087.57921823278,0.0,49087.57921823278
free,q2,2025-08-13,46538.19753380706,46538.19753380706,0.0,46538.19753380706
free,q2,2025-08-14,43732.49015443715,43732.49015443715,0.0,43732.49015443715
free,q2,2025-08-15,23428.180236591375,23428.180236591375,0.0,23428.180236591375
free,q2,2025-08-16,26163.20898087028,26163.20898087028,0.0,26163.20898087028
free,q2,2025-08-17,47119.86519806132,47119.86519806132,0.0,47119.86519806132
free,q2,2025-08-18,45706.81393305995,45706.81393305995,0.0,45706.81393305995
free,q2,2025-08-19,46139.735846107134,46139.735846107134,0.0,46139.735846107134
free,q2,2025-08-20,56123.13924025041,56123.13924025041,0.0,56123.13924025041
free,q2,2025-08-21,44829.24332541988,44829.24332541988,0.0,44829.24332541988
free,q2,2025-08-22,25983.343971938273,25983.343971938273,0.0,25983.343971938273
free,q2,2025-08-23,26053.21223170146,26053.21223170146,0.0,26053.21223170146
free,q2,2025-08-24,46493.73470280822,46493.73470280822,0.0,46493.73470280822
free,q2,2025-08-25,50353.11287308995,50353.11287308995,0.0,50353.11287308995
free,q2,2025-08-26,47665.96777074785,47665.96777074785,0.0,47665.96777074785
free,q2,2025-08-27,49182.434397681995,49182.434397681995,0.0,49182.434397681995
free,q2,2025-08-28,52374.19842628197,52374.19842628197,0.0,52374.19842628197
free,q2,2025-08-29,25918.10816515187,25918.10816515187,0.0,25918.10816515187
free,q2,2025-08-30,26471.855707353567,26471.855707353567,0.0,26471.855707353567
free,q2,2025-08-31,49080.75467494236,49080.75467494236,0.0,49080.75467494236
free,q2,2025-09-01,48964.542679330145,48964.542679330145,0.0,48964.542679330145
free,q2,2025-09-02,47015.55509135485,47015.55509135485,0.0,47015.55509135485
free,q2,2025-09-03,46427.97949294669,46427.97949294669,0.0,46427.97949294669
free,q2,2025-09-04,46360.62698051789,46360.62698051789,0.0,46360.62698051789
free,q2,2025-09-05,22306.721205944836,22306.721205944836,0.0,22306.721205944836
free,q2,2025-09-06,26261.376896086374,26261.376896086374,0.0,26261.376896086374
free,q2,2025-09-07,46144.73832744459,46144.73832744459,0.0,46144.73832744459
free,q2,2025-09-08,43850.53164619081,43850.53164619081,0.0,43850.53164619081
free,q2,2025-09-09,40389.62539946655,40389.62539946655,0.0,40389.62539946655
free,q2,2025-09-10,49208.38925294703,49208.38925294703,0.0,49208.38925294703
free,q2,2025-09-11,37058.962054884425,37058.962054884425,0.0,37058.962054884425
free,q2,2025-09-12,18242.41700173186,18242.41700173186,0.0,18242.41700173186
free,q2,2025-09-13,19718.69810063435,19718.69810063435,0.0,19718.69810063435
free,q2,2025-09-14,40801.05449240807,40801.05449240807,0.0,40801.05449240807
free,q2,2025-09-15,40591.92133647603,40591.92133647603,0.0,40591.92133647603
free,q2,2025-09-16,40645.01038300182,40645.01038300182,0.0,40645.01038300182
free,q2,2025-09-17,41950.498593978235,41950.498593978235,0.0,41950.498593978235
free,q2,2025-09-18,39542.28281796302,39542.28281796302,0.0,39542.28281796302
free,q2,2025-09-19,18315.82656314684,18315.82656314684,0.0,18315.82656314684
free,q2,2025-09-20,21221.260403369823,21221.260403369823,0.0,21221.260403369823
free,q2,2025-09-21,43520.11108097635,43520.11108097635,0.0,43520.11108097635
free,q2,2025-09-22,41734.472256393,41734.472256393,0.0,41734.472256393
free,q2,2025-09-23,44591.62552505582,44591.62552505582,0.0,44591.62552505582
free,q2,2025-09-24,42954.32523117754,42954.32523117754,0.0,42954.32523117754
free,q2,2025-09-25,42346.52151161633,42346.52151161633,0.0,42346.52151161633
free,q2,2025-09-26,18641.62339273269,18641.62339273269,0.0,18641.62339273269
free,q2,2025-09-27,26984.598817514016,26984.598817514016,0.0,26984.598817514016
free,q2,2025-09-28,43972.61810219825,43972.61810219825,0.0,43972.61810219825
free,q2,2025-09-29,44289.3020492862,44289.3020492862,0.0,44289.3020492862
free,q2,2025-09-30,45697.48426966195,45697.48426966195,0.0,45697.48426966195
free,q2,2025-10-01,44664.28970811651,44664.28970811651,0.0,44664.28970811651
free,q2,2025-10-02,40767.44562898339,40767.44562898339,0.0,40767.44562898339
free,q2,2025-10-03,17237.674083016005,17237.674083016005,0.0,17237.674083016005
